Time frequency,Income and living conditions indicator,Sex,Unit of measure,Age class,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,75 years or over,Finland,12.5,12.5,10.4,9.9,9.0,9.1,10.1,10.4,11.6,12.9,9.7,8.7
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,75 years or over,France,13.3,12.0,12.3,11.5,11.4,11.0,12.4,13.7,14.4 b,10.3,13.1 b,14.5
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,75 years or over,Croatia,29.5,25.6,27.2,20.9,22.0,23.0,27.6,26.2,28.1,25.4,27.9,31.0 b
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,75 years or over,Hungary,9.9,10.0,10.4,11.7,15.7,15.2,12.7,7.3,6.0,6.1,10.5,14.7
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,75 years or over,Ireland,22.8,19.6,37.1,19.5,6.2,8.9,6.9,7.7 b,9.6 b,11.2,10.9,7.9
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,75 years or over,Iceland,: u,: u,2.9 u,7.0 u,4.2 u,7.5 u,: u,: u,:,:,:,:
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,75 years or over,Italy,13.6,12.8,12.7,12.8,13.1,14.6,14.2,16.1,18.6,16.7,19.2,20.2
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,75 years or over,Lithuania,9.0,12.7,13.1,15.2,17.4,18.3,18.4,18.8,19.7,19.1,20.1,16.0
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,75 years or over,Luxembourg,11.4 u,11.5 u,13.6 u,10.6 u,24.9 bu,16.2 u,50.7 u,29.1 u,: u,14.1 bu,13.9 b,15.3
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,75 years or over,Latvia,11.3,8.7,9.8,14.6,19.3,21.4,23.3,25.1,25.9,26.0,25.5,24.2
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,75 years or over,Montenegro,:,29.4,14.3,20.2,25.5,28.5,23.2,24.5,24.7,20.2,24.3,:
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,75 years or over,North Macedonia,23.3,20.6,13.7,19.7,25.1,25.0,21.3,26.1,27.5,:,:,:
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,75 years or over,Malta,15.3,14.7,12.7,13.2,11.7,13.0,11.8,9.7,9.8,9.8,11.5,17.1
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,75 years or over,Netherlands,11.2,10.5,14.2,12.0,10.5 b,9.6,12.3,13.9,12.6,11.3,10.7,7.7
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,75 years or over,Norway,9.5,8.6,10.6,10.5,10.7,7.5,5.8 u,6.5 u,8.2,8.6 bu,7.3 u,7.9 bu
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,75 years or over,Poland,13.9,15.1,13.3,13.1,14.9,15.7,13.6,15.1,14.4,15.4,14.5,13.7
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,75 years or over,Portugal,10.3,11.4,20.6,16.7,15.9,13.5,13.2,12.8,15.0,17.9,15.4,15.9
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,75 years or over,Romania,17.8,18.8,19.2,20.3,19.6,20.8,25.3,23.7,23.0,25.0,24.4,24.4
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,75 years or over,Serbia,:,27.6,27.1,27.0,29.2,25.3,24.8,24.3,23.8,22.5,22.3,:
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,75 years or over,Sweden,11.7,10.5,9.9,8.5,9.3,10.7,12.4,10.4,9.0,9.1,11.3,15.1
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,75 years or over,Slovenia,19.3,19.2,18.4,19.3,21.6,19.9,19.7,17.5,17.4,13.8,14.1,14.6
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,75 years or over,Slovakia,10.6,6.9,10.6,9.2,8.0,5.9,7.5,12.4,10.9,27.7,10.5,15.1
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,75 years or over,Türkiye,35.4,30.6,35.5,33.9,34.1,34.2,34.8,32.9,33.7,23.6,22.9,23.7
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,75 years or over,United Kingdom,17.1 b,17.9,20.1,19.5,20.4,16.4 b,20.9,:,:,:,:,:
