Time frequency,Rail network segment (2020),Train category,Unit of measure\Time,2020.0
Annual,Hegyeshalom - Bra-Raj,Goods trains,Number,2796.0
Annual,Hegyeshalom - Bra-Raj,Passenger trains,Number,3499.0
Annual,Bif Gyorszabadhegy - Gyor,Goods trains,Number,12465.0
Annual,Bif Gyorszabadhegy - Gyor,Passenger trains,Number,27972.0
Annual,Gyor - Hegyeshalom,Goods trains,Number,9522.0
Annual,Gyor - Hegyeshalom,Passenger trains,Number,11814.0
Annual,Szombathely - Celldomolk,Goods trains,Number,763.0
Annual,Szombathely - Celldomolk,Passenger trains,Number,8142.0
Annual,Celldomolk - Bif Gyorszabadhegy,Goods trains,Number,521.0
Annual,Celldomolk - Bif Gyorszabadhegy,Passenger trains,Number,9411.0
Annual,Szentgotthard - Graz-Sze,Goods trains,Number,314.0
Annual,Szentgotthard - Graz-Sze,Passenger trains,Number,3484.0
Annual,Boba - Szekesfehervar,Goods trains,Number,2349.0
Annual,Boba - Szekesfehervar,Passenger trains,Number,7370.0
Annual,Erd - Budapest,Goods trains,Number,5586.0
Annual,Erd - Budapest,Passenger trains,Number,52358.0
Annual,Komarom - Kom-Kom,Goods trains,Number,2047.0
Annual,Komarom - Kom-Kom,Passenger trains,Number,2.0
Annual,Murakeresztur - Murakeresztur Hatar/Kotoriba,Goods trains,Number,400.0
Annual,Murakeresztur - Murakeresztur Hatar/Kotoriba,Passenger trains,Number,0.0
Annual,Gyekenyes - Gyekenyes Hatar/Botovo,Goods trains,Number,3719.0
Annual,Gyekenyes - Gyekenyes Hatar/Botovo,Passenger trains,Number,332.0
Annual,Kaposvar - Dombovar,Goods trains,Number,986.0
Annual,Kaposvar - Dombovar,Passenger trains,Number,5226.0
Annual,Dombovar - Pecs,Goods trains,Number,1292.0
Annual,Dombovar - Pecs,Passenger trains,Number,6258.0
Annual,Szob - Stu-Szob,Goods trains,Number,3824.0
Annual,Szob - Stu-Szob,Passenger trains,Number,2201.0
Annual,Budapest - Kunszentmiklos-Tass,Goods trains,Number,7087.0
Annual,Budapest - Kunszentmiklos-Tass,Passenger trains,Number,9471.0
Annual,Kiskunhalas - Kelebia,Goods trains,Number,2402.0
Annual,Kiskunhalas - Kelebia,Passenger trains,Number,3685.0
Annual,Cegled - Kecskemet,Goods trains,Number,1497.0
Annual,Cegled - Kecskemet,Passenger trains,Number,7165.0
Annual,Kiskunfelegyhaza - Kiskunhalas,Goods trains,Number,713.0
Annual,Kiskunfelegyhaza - Kiskunhalas,Passenger trains,Number,3212.0
Annual,Kiskunfelegyhaza - Szeged,Goods trains,Number,302.0
Annual,Kiskunfelegyhaza - Szeged,Passenger trains,Number,8517.0
Annual,Szolnok - Szajol,Goods trains,Number,9553.0
Annual,Szolnok - Szajol,Passenger trains,Number,25534.0
Annual,Szajol - Bekescsaba,Goods trains,Number,6030.0
Annual,Szajol - Bekescsaba,Passenger trains,Number,12625.0
Annual,Puspokladany - Biharkeresztes,Goods trains,Number,905.0
Annual,Puspokladany - Biharkeresztes,Passenger trains,Number,4267.0
Annual,Zahony - Cop-Zah,Goods trains,Number,241.0
Annual,Zahony - Cop-Zah,Passenger trains,Number,607.0
Annual,Zalalovo - Hod-Zal,Goods trains,Number,2970.0
Annual,Zalalovo - Hod-Zal,Passenger trains,Number,2198.0
Annual,Budapest - Vac,Goods trains,Number,4025.0
Annual,Budapest - Vac,Passenger trains,Number,53590.0
Annual,Hatvan - Fuzesabony,Goods trains,Number,5321.0
