Time frequency,Business trend indicator,Statistical classification of economic activities in the European Community (NACE Rev. 2),Unit of measure,Geopolitical entity (reporting)\Time,Décembre 2023,Janvier 2024,Février 2024,Mars 2024,Avril 2024,Mai 2024,Juin 2024,Juillet 2024,Août 2024,Septembre 2024,Octobre 2024,Novembre 2024
Monthly,Net turnover,MIG - durable consumer goods,"Index, 2021=100 (SCA)",Albania,123.0 i,106.1 i,109.8 i,104.9 i,111.4 i,104.9 i,98.0 i,99.3 i,87.3 i,92.5 i,:,:
Monthly,Net turnover,MIG - durable consumer goods,"Index, 2021=100 (SCA)",Austria,89.1,84.1,77.0,72.2,86.4,71.7,72.9,73.9,67.8,67.4,70.5,66.7 p
Monthly,Net turnover,MIG - durable consumer goods,"Index, 2021=100 (SCA)",Bosnia and Herzegovina,92.6,:,:,:,:,:,:,:,:,:,:,:
Monthly,Net turnover,MIG - durable consumer goods,"Index, 2021=100 (SCA)",Belgium,113.2,95.1,98.2,96.9,100.9,98.9,91.1,89.9,94.5,98.4,97.0,:
Monthly,Net turnover,MIG - durable consumer goods,"Index, 2021=100 (SCA)",Bulgaria,115.6 i,101.5 p,103.3 p,114.2 p,109.3 p,108.4 p,104.9 p,97.9 i,100.1 i,103.3 i,108.4 i,108.2 p
Monthly,Net turnover,MIG - durable consumer goods,"Index, 2021=100 (SCA)",Switzerland,123.9,122.9,121.1,114.7,129.4,121.5,88.1,122.5,132.1,122.5,:,:
Monthly,Net turnover,MIG - durable consumer goods,"Index, 2021=100 (SCA)",Cyprus,155.9,108.2,118.8,145.1,121.4,128.6,135.5,149.2,64.6,133.5,134.9 p,:
Monthly,Net turnover,MIG - durable consumer goods,"Index, 2021=100 (SCA)",Czechia,92.9 i,89.1 i,96.5 i,93.0 i,93.8 i,86.5 i,86.7 i,89.3 i,90.0 i,85.3 i,85.0 i,87.8 i
Monthly,Net turnover,MIG - durable consumer goods,"Index, 2021=100 (SCA)",Germany,102.5,100.0,104.7,102.0,106.6,101.3,105.9,101.2,100.3,100.4,98.5,98.9
Monthly,Net turnover,MIG - durable consumer goods,"Index, 2021=100 (SCA)",Denmark,95.1,89.9,87.8,90.8,91.8,88.0,89.6,90.4,90.9,90.5,97.8,98.5
Monthly,Net turnover,MIG - durable consumer goods,"Index, 2021=100 (SCA)",Euro area - 19 countries  (2015-2022),108.3,105.1,108.1,105.3,109.2,106.8,106.5,106.3,103.5,:,:,:
Monthly,Net turnover,MIG - durable consumer goods,"Index, 2021=100 (SCA)",Euro area – 20 countries (from 2023),108.4,105.1,108.3,105.6,109.2,107.1,106.8,106.4,104.0,105.9,105.8,:
Monthly,Net turnover,MIG - durable consumer goods,"Index, 2021=100 (SCA)",Estonia,101.7 i,77.5 i,79.2 i,81.3 i,80.0 i,82.3 i,80.2 i,89.6 i,81.6 i,83.4 i,79.0 i,83.2 i
Monthly,Net turnover,MIG - durable consumer goods,"Index, 2021=100 (SCA)",Greece,142.0 i,155.6 i,144.4 i,151.9 i,149.7 i,141.1 i,132.3 i,140.1 i,118.7 i,138.7 i,127.2 i,129.9 p
Monthly,Net turnover,MIG - durable consumer goods,"Index, 2021=100 (SCA)",Spain,108.1 p,107.0 p,109.3 p,107.7 p,108.9 p,108.1 p,107.7 p,108.3 p,107.5 p,109.5 p,108.1 p,:
Monthly,Net turnover,MIG - durable consumer goods,"Index, 2021=100 (SCA)",European Union - 27 countries (from 2020),106.2,103.4,106.2,104.3,107.1,105.3,105.1,103.7,103.0,103.3,104.5,:
Monthly,Net turnover,MIG - durable consumer goods,"Index, 2021=100 (SCA)",Finland,95.3,95.2,93.9,91.3,95.9,99.5,92.4,95.6,95.7,91.1,93.4,92.5
Monthly,Net turnover,MIG - durable consumer goods,"Index, 2021=100 (SCA)",France,115.3 p,112.0 p,114.0 p,110.6 p,110.5 p,118.7 p,110.5 p,109.7 p,109.6 p,110.5 p,108.2 p,:
Monthly,Net turnover,MIG - durable consumer goods,"Index, 2021=100 (SCA)",Croatia,121.7,102.4,110.6,113.0,113.6,116.6,112.6,111.5,110.6,165.4,107.6,:
Monthly,Net turnover,MIG - durable consumer goods,"Index, 2021=100 (SCA)",Hungary,90.9,86.9,93.0,93.5,100.8,92.9,89.6,84.8,84.9,81.4,90.5,90.7
Monthly,Net turnover,MIG - durable consumer goods,"Index, 2021=100 (SCA)",Ireland,127.0,131.0,134.3,137.7,131.2,132.6,143.6,129.6,139.0,139.2,129.2,116.0 p
Monthly,Net turnover,MIG - durable consumer goods,"Index, 2021=100 (SCA)",Italy,112.3,106.7,109.3,108.4,109.4,109.4,107.2,107.8,103.9,107.8,111.5,:
Monthly,Net turnover,MIG - durable consumer goods,"Index, 2021=100 (SCA)",Lithuania,111.8 i,109.3 i,107.8 i,113.4 i,114.2 i,116.1 i,114.4 i,119.6 i,117.6 i,118.6 i,119.7 i,119.0 i
Monthly,Net turnover,MIG - durable consumer goods,"Index, 2021=100 (SCA)",Latvia,113.6,115.9,115.5,105.0,110.7,117.1,117.4,113.7,114.1,125.4,124.5,123.0
Monthly,Net turnover,MIG - durable consumer goods,"Index, 2021=100 (SCA)",Montenegro,144.9 i,97.1 i,102.1 i,112.0 i,162.5 i,115.4 i,107.4 i,131.8 i,130.3 i,109.5 i,113.0 i,158.2 i
Monthly,Net turnover,MIG - durable consumer goods,"Index, 2021=100 (SCA)",North Macedonia,122.3 i,130.9 i,138.0 i,125.8 i,130.3 i,129.9 i,131.2 i,126.6 i,125.9 i,125.6 i,139.5 i,:
Monthly,Net turnover,MIG - durable consumer goods,"Index, 2021=100 (SCA)",Malta,200.8 p,168.8 p,170.5 p,178.6 p,181.5 p,151.1 p,208.4 p,174.2 p,184.6 p,144.6 p,157.1 p,:
Monthly,Net turnover,MIG - durable consumer goods,"Index, 2021=100 (SCA)",Netherlands,119.6,123.3 p,136.1 p,119.7 p,129.2 p,127.8 p,122.8 p,135.1 p,126.1 p,127.7 p,129.4 p,125.8 p
