Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Austria,:,:,:,47.8,57.9,25.3
Annual,Percentage,Belgium,:,:,:,44.0,39.6,30.3
Annual,Percentage,Bulgaria,:,:,:,85.7,66.3,67.8
Annual,Percentage,Switzerland,:,:,:,17.9,21.5,19.4
Annual,Percentage,Czechia,:,:,:,0.6,0.0,0.0
Annual,Percentage,Germany,:,:,:,4.4,9.0,14.8
Annual,Percentage,Denmark,:,:,:,15.6,21.7,26.4
Annual,Percentage,Estonia,:,:,:,0.0,1.1,1.4
Annual,Percentage,Greece,:,:,:,32.0,34.8,19.1
Annual,Percentage,Spain,:,:,:,10.1,7.7,8.2
Annual,Percentage,Finland,:,:,:,28.4,15.8,33.1
Annual,Percentage,Croatia,:,:,:,12.8,10.4,4.2
Annual,Percentage,Hungary,:,:,:,13.0,21.1,0.0
Annual,Percentage,Ireland,:,:,:,8.0,1.3,5.2
Annual,Percentage,Iceland,:,:,:,3.2,3.7,4.9
Annual,Percentage,Italy,:,:,:,23.0,21.2,21.4
Annual,Percentage,Liechtenstein,:,:,:,5.3,0.0,60.0
Annual,Percentage,Lithuania,:,:,:,13.2,3.6,6.8
Annual,Percentage,Luxembourg,:,:,:,9.3,11.2,15.9
Annual,Percentage,Latvia,:,:,:,9.2,3.1,12.1
Annual,Percentage,Malta,:,:,:,2.5,18.5,21.7
Annual,Percentage,Netherlands,:,:,:,35.5,47.1,57.4
Annual,Percentage,Norway,:,:,:,38.2,56.1,40.0
Annual,Percentage,Portugal,:,:,:,1.5,2.5,4.0
Annual,Percentage,Romania,:,:,:,57.1,10.5,17.0
Annual,Percentage,Sweden,13.0,11.1,10.5,13.4,14.4,11.6
Annual,Percentage,Slovenia,:,:,:,41.1,24.0,30.3
Annual,Percentage,Slovakia,:,:,:,55.9,51.8,16.9
