Time frequency,Unit of measure,Sex,Age class,Activity and employment status,Modalities of the variable for the ad-hoc module,International Standard Classification of Education (ISCED 1997),Geopolitical entity (reporting)\Time,2010.0
Annual,Thousand persons,Total,From 15 to 64 years,Employees,Fixed start and end of a working day or varying working time as decided by the employer,All ISCED 1997 levels,Austria,2164.1
Annual,Thousand persons,Total,From 15 to 64 years,Employees,Fixed start and end of a working day or varying working time as decided by the employer,All ISCED 1997 levels,Belgium,2896.0
Annual,Thousand persons,Total,From 15 to 64 years,Employees,Fixed start and end of a working day or varying working time as decided by the employer,All ISCED 1997 levels,Bulgaria,2420.0
Annual,Thousand persons,Total,From 15 to 64 years,Employees,Fixed start and end of a working day or varying working time as decided by the employer,All ISCED 1997 levels,Cyprus,260.3
Annual,Thousand persons,Total,From 15 to 64 years,Employees,Fixed start and end of a working day or varying working time as decided by the employer,All ISCED 1997 levels,Czechia,2816.0
Annual,Thousand persons,Total,From 15 to 64 years,Employees,Fixed start and end of a working day or varying working time as decided by the employer,All ISCED 1997 levels,Germany,19635.2
Annual,Thousand persons,Total,From 15 to 64 years,Employees,Fixed start and end of a working day or varying working time as decided by the employer,All ISCED 1997 levels,Denmark,1483.6
Annual,Thousand persons,Total,From 15 to 64 years,Employees,Fixed start and end of a working day or varying working time as decided by the employer,All ISCED 1997 levels,Estonia,383.5
Annual,Thousand persons,Total,From 15 to 64 years,Employees,Fixed start and end of a working day or varying working time as decided by the employer,All ISCED 1997 levels,Greece,2060.3
Annual,Thousand persons,Total,From 15 to 64 years,Employees,Fixed start and end of a working day or varying working time as decided by the employer,All ISCED 1997 levels,Spain,13691.9
Annual,Thousand persons,Total,From 15 to 64 years,Employees,Fixed start and end of a working day or varying working time as decided by the employer,All ISCED 1997 levels,European Union - 27 countries (from 2020),110006.1
Annual,Thousand persons,Total,From 15 to 64 years,Employees,Fixed start and end of a working day or varying working time as decided by the employer,All ISCED 1997 levels,European Union - 28 countries (2013-2020),125479.7
Annual,Thousand persons,Total,From 15 to 64 years,Employees,Fixed start and end of a working day or varying working time as decided by the employer,All ISCED 1997 levels,Finland,920.3
Annual,Thousand persons,Total,From 15 to 64 years,Employees,Fixed start and end of a working day or varying working time as decided by the employer,All ISCED 1997 levels,France,14606.2
Annual,Thousand persons,Total,From 15 to 64 years,Employees,Fixed start and end of a working day or varying working time as decided by the employer,All ISCED 1997 levels,Croatia,1209.4
Annual,Thousand persons,Total,From 15 to 64 years,Employees,Fixed start and end of a working day or varying working time as decided by the employer,All ISCED 1997 levels,Hungary,2974.7
Annual,Thousand persons,Total,From 15 to 64 years,Employees,Fixed start and end of a working day or varying working time as decided by the employer,All ISCED 1997 levels,Ireland,1029.0
Annual,Thousand persons,Total,From 15 to 64 years,Employees,Fixed start and end of a working day or varying working time as decided by the employer,All ISCED 1997 levels,Iceland,79.6
Annual,Thousand persons,Total,From 15 to 64 years,Employees,Fixed start and end of a working day or varying working time as decided by the employer,All ISCED 1997 levels,Italy,10760.3
Annual,Thousand persons,Total,From 15 to 64 years,Employees,Fixed start and end of a working day or varying working time as decided by the employer,All ISCED 1997 levels,Lithuania,940.3
Annual,Thousand persons,Total,From 15 to 64 years,Employees,Fixed start and end of a working day or varying working time as decided by the employer,All ISCED 1997 levels,Luxembourg,153.8
Annual,Thousand persons,Total,From 15 to 64 years,Employees,Fixed start and end of a working day or varying working time as decided by the employer,All ISCED 1997 levels,Latvia,690.9
Annual,Thousand persons,Total,From 15 to 64 years,Employees,Fixed start and end of a working day or varying working time as decided by the employer,All ISCED 1997 levels,North Macedonia,352.2
Annual,Thousand persons,Total,From 15 to 64 years,Employees,Fixed start and end of a working day or varying working time as decided by the employer,All ISCED 1997 levels,Malta,113.5
Annual,Thousand persons,Total,From 15 to 64 years,Employees,Fixed start and end of a working day or varying working time as decided by the employer,All ISCED 1997 levels,Netherlands,5344.5
Annual,Thousand persons,Total,From 15 to 64 years,Employees,Fixed start and end of a working day or varying working time as decided by the employer,All ISCED 1997 levels,Norway,1102.2
Annual,Thousand persons,Total,From 15 to 64 years,Employees,Fixed start and end of a working day or varying working time as decided by the employer,All ISCED 1997 levels,Poland,10251.5
Annual,Thousand persons,Total,From 15 to 64 years,Employees,Fixed start and end of a working day or varying working time as decided by the employer,All ISCED 1997 levels,Portugal,3333.1
Annual,Thousand persons,Total,From 15 to 64 years,Employees,Fixed start and end of a working day or varying working time as decided by the employer,All ISCED 1997 levels,Romania,5152.3
Annual,Thousand persons,Total,From 15 to 64 years,Employees,Fixed start and end of a working day or varying working time as decided by the employer,All ISCED 1997 levels,Sweden,2283.5
Annual,Thousand persons,Total,From 15 to 64 years,Employees,Fixed start and end of a working day or varying working time as decided by the employer,All ISCED 1997 levels,Slovenia,690.1
Annual,Thousand persons,Total,From 15 to 64 years,Employees,Fixed start and end of a working day or varying working time as decided by the employer,All ISCED 1997 levels,Slovakia,1741.9
Annual,Thousand persons,Total,From 15 to 64 years,Employees,Fixed start and end of a working day or varying working time as decided by the employer,All ISCED 1997 levels,United Kingdom,15473.6
