Time frequency,Unit of measure,Country of citizenship,Sex,Age class,Decision,Geopolitical entity (reporting)\Time,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Austria,1180.0,2050.0,1740.0,835.0,2985.0,4195.0,4350.0,3260.0,2645.0,2465.0,2930.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Belgium,370.0,440.0,395.0,320.0,290.0,475.0,330.0,275.0,595.0,225.0,585.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Bulgaria,0.0,5.0,0.0,0.0,5.0,0.0,10.0,0.0,5.0,5.0,0.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Switzerland,50.0,45.0,70.0,95.0,115.0,170.0,155.0,150.0,120.0,100.0,35.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Cyprus,10.0,10.0,45.0,25.0,15.0,5.0,15.0,0.0,15.0,10.0,15.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Czechia,0.0,5.0,0.0,0.0,0.0,5.0,10.0,0.0,10.0,25.0,10.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Germany,2960.0,4330.0,5170.0,8515.0,30590.0,19980.0,13275.0,7895.0,8110.0,8565.0,6500.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Denmark,265.0,160.0,210.0,205.0,245.0,200.0,125.0,120.0,40.0,110.0,140.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Estonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Greece,325.0,805.0,1355.0,770.0,510.0,175.0,295.0,480.0,730.0,665.0,655.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Spain,15.0,0.0,5.0,15.0,10.0,45.0,10.0,20.0,55.0,60.0,40.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,European Union - 27 countries (from 2020),11080.0,13290.0,14080.0,17485.0,42865.0,35005.0,31360.0,21090.0,26345.0,26330.0,23535.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Finland,55.0,80.0,50.0,185.0,530.0,925.0,665.0,640.0,865.0,385.0,190.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,France,4270.0,4245.0,3830.0,4510.0,5400.0,6015.0,9335.0,6115.0,10015.0,10515.0,9460.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Croatia,0.0,0.0,0.0,0.0,20.0,15.0,5.0,35.0,70.0,20.0,50.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Hungary,25.0,20.0,25.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Ireland,55.0,90.0,180.0,205.0,30.0,185.0,360.0,410.0,300.0,485.0,415.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Iceland,5.0,0.0,15.0,5.0,40.0,30.0,15.0,55.0,10.0,5.0,0.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Italy,5.0,10.0,0.0,385.0,385.0,825.0,895.0,615.0,750.0,815.0,920.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Liechtenstein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Lithuania,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,440.0,315.0,400.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Luxembourg,0.0,5.0,15.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,15.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Latvia,5.0,0.0,0.0,0.0,5.0,0.0,10.0,0.0,15.0,10.0,5.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Montenegro,:,:,:,:,:,10.0,5.0,10.0,10.0,5.0,10.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Malta,0.0,10.0,30.0,25.0,25.0,0.0,5.0,0.0,0.0,0.0,5.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Netherlands,450.0,260.0,255.0,340.0,480.0,400.0,350.0,440.0,770.0,1035.0,580.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Norway,345.0,240.0,200.0,130.0,145.0,110.0,80.0,50.0,75.0,55.0,50.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Poland,5.0,5.0,10.0,20.0,0.0,20.0,5.0,0.0,0.0,5.0,15.0,0.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Portugal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Romania,390.0,5.0,10.0,5.0,5.0,15.0,25.0,30.0,10.0,10.0,25.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Sweden,685.0,750.0,745.0,1120.0,1340.0,1515.0,1260.0,740.0,890.0,590.0,565.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Slovenia,0.0,0.0,5.0,5.0,0.0,0.0,15.0,5.0,5.0,5.0,0.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Slovakia,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,10.0,5.0,5.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,United Kingdom,3770.0,2700.0,4030.0,6170.0,6170.0,7510.0,9220.0,:,:,:,:,:
Annual,Person,Extra-EU27 (from 2020),Total,Total,Humanitarian status,Austria,0.0,20.0,115.0,190.0,335.0,420.0,685.0,1290.0,1810.0,1080.0,335.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Total,Humanitarian status,Belgium,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,:
Annual,Person,Extra-EU27 (from 2020),Total,Total,Humanitarian status,Bulgaria,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,:
Annual,Person,Extra-EU27 (from 2020),Total,Total,Humanitarian status,Switzerland,150.0,100.0,55.0,40.0,45.0,120.0,70.0,125.0,75.0,55.0,50.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Total,Humanitarian status,Cyprus,25.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Total,Humanitarian status,Czechia,5.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Total,Humanitarian status,Germany,2045.0,1730.0,1615.0,1935.0,10765.0,15975.0,14300.0,15520.0,14005.0,14560.0,4220.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Total,Humanitarian status,Denmark,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Total,Humanitarian status,Estonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Total,Humanitarian status,Greece,365.0,775.0,140.0,4900.0,955.0,325.0,640.0,370.0,0.0,0.0,0.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Total,Humanitarian status,Spain,5.0,10.0,0.0,5.0,5.0,10.0,95.0,115.0,50.0,40.0,35.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Total,Humanitarian status,European Union - 27 countries (from 2020),3450.0,3580.0,3180.0,10115.0,13230.0,30555.0,26560.0,24250.0,26110.0,27955.0,14895.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Total,Humanitarian status,Finland,85.0,80.0,30.0,75.0,225.0,320.0,300.0,120.0,95.0,80.0,95.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Total,Humanitarian status,France,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,:
Annual,Person,Extra-EU27 (from 2020),Total,Total,Humanitarian status,Croatia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,:
Annual,Person,Extra-EU27 (from 2020),Total,Total,Humanitarian status,Hungary,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Total,Humanitarian status,Ireland,0.0,0.0,0.0,0.0,0.0,40.0,170.0,135.0,600.0,850.0,490.0,:
