Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage of total employment,Austria,2.9 be,3.1 be,3.3 e,3.3 be,3.3 e,3.5 e,3.5 e,3.6 b,3.6,3.7,3.6,4.0,4.2,4.4,4.5,4.3,4.5,4.5 b,5.0,5.3
Annual,Percentage of total employment,Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1.5 be,1.7 e,2.0 e
Annual,Percentage of total employment,Belgium,3.4 e,3.5 be,3.7 e,4.1 e,3.9 e,4.1 e,4.4 e,4.0 be,4.3,4.2,4.2,4.2,4.2,4.9 b,5.2,5.0,5.0,5.6 b,5.6,5.4
Annual,Percentage of total employment,Bulgaria,2.2 e,2.2 be,2.4 e,2.4 e,2.4 be,2.4 e,2.5 be,2.2 be,2.5 e,2.5 e,2.5 e,2.9 e,3.0 e,3.1 e,3.3 e,3.1,3.3,3.5 b,3.8 b,4.3
Annual,Percentage of total employment,Switzerland,:,:,:,:,:,:,:,4.3 b,4.7,4.8,4.8,4.8,5.0,4.8,5.0,5.5,5.4,5.5 b,5.7,5.7
Annual,Percentage of total employment,Cyprus,2.2 e,2.3 be,2.3 e,2.6 e,2.6 e,2.4 be,2.5 e,2.5 be,2.6 e,2.7 e,2.8 e,2.7,2.7,2.9,3.2,2.7,3.1,3.9 b,4.6,5.4 e
Annual,Percentage of total employment,Czechia,3.4 e,3.7 be,3.9 e,4.3 e,4.6 e,4.6 e,4.6 be,3.5 b,3.4,3.7,3.7,3.5,3.7,3.6,4.0,4.0,4.2,4.6 b,4.5,4.3
Annual,Percentage of total employment,Germany,3.3 e,3.6 be,3.6 be,3.6 e,3.6 e,3.7 e,3.9 be,3.1 be,3.5 b,3.5,3.6,3.7,3.7,3.8,3.9,4.0,4.7 b,4.9 b,5.0,4.9
Annual,Percentage of total employment,Denmark,4.3 e,4.1 be,4.5 e,4.5 e,4.8 be,4.7 e,4.8 e,4.3 be,4.7 e,4.8 e,4.5 e,4.5 e,4.8 be,5.0 be,4.9 e,5.1 e,5.3 e,5.6 b,5.7,5.9 b
Annual,Percentage of total employment,Estonia,3.2 e,2.5 be,2.9 e,3.4 e,3.7 e,3.8 e,4.1 e,3.4 b,3.8,4.1,3.9,4.2,5.1 e,5.3,5.4,5.8,6.2 e,6.2 b,6.6,6.7 e
Annual,Percentage of total employment,Greece,2.8 be,2.8 be,2.8 e,2.8 e,2.8 e,2.8 be,2.9 e,1.8 be,1.9 e,2.0 e,1.7 e,1.6 e,1.8 e,2.0 e,2.2 e,2.0 e,2.1 e,2.4 b,2.5,2.4
Annual,Percentage of total employment,Spain,2.8 e,2.9 be,3.0 be,3.1 e,3.1 e,3.2 e,3.4 e,3.1 be,3.2 e,3.3 e,3.2 e,3.2 e,3.4 e,3.5 e,3.6 e,3.7 e,3.9 e,4.1 bd,4.3 d,4.4 d
Annual,Percentage of total employment,European Union - 27 countries (from 2020),3.1 e,3.3 be,3.4 e,3.4 e,3.5 e,3.6 e,3.6 e,3.0 be,3.2 e,3.3 e,3.4 e,3.5 e,3.6 e,3.7 e,3.8 e,4.0 e,4.3 e,4.5 be,4.6 e,4.8 e
Annual,Percentage of total employment,Finland,5.2 e,5.4 be,5.5 e,5.6 be,5.5 be,5.5 e,5.7 e,5.7 b,6.1,6.3,6.3,6.4,6.6,6.7,6.7,6.8,7.6,7.4 b,7.6,7.6
Annual,Percentage of total employment,France,4.0 e,4.0 be,4.2 be,3.9 e,3.9 e,4.1 e,4.1 e,2.7 be,2.7 e,3.0 b,3.2 b,3.4,3.6,3.8,3.9,4.2,4.5,4.5 bd,4.3 d,4.7 d
Annual,Percentage of total employment,Croatia,1.6 e,1.9 be,2.0 be,2.1 e,2.3 e,2.3 e,2.2 e,2.4 be,2.5 e,2.6 e,2.7 e,2.7 e,3.3,3.3 e,3.5 e,3.2 e,3.7 e,3.6 be,3.7 e,4.3 be
Annual,Percentage of total employment,Hungary,4.4 e,4.2 be,4.3 e,4.3 e,4.4 e,4.2 e,4.3 e,2.7 b,3.2,3.5,3.5,3.6,3.6,3.6,3.7,3.4,3.8 e,3.9 be,4.1 e,4.2 e
Annual,Percentage of total employment,Ireland,3.7 e,3.5 be,3.4 e,3.5 be,3.5 e,3.8 e,4.0 e,4.7 be,4.8 e,4.7 e,4.8 e,4.6 e,4.9 e,5.0 be,4.8 e,4.9 e,5.7 e,6.3 be,6.3 e,6.2 e
Annual,Percentage of total employment,Iceland,:,:,:,:,:,:,:,3.7 be,3.4 e,3.9 e,4.1 e,4.4 e,4.5 e,4.7 e,4.3 e,4.3 e,4.7 be,4.0 be,4.2 e,4.5 e
Annual,Percentage of total employment,Italy,2.9 be,3.0 be,3.1 e,3.1 e,3.1 e,3.2 e,3.2 e,3.0 be,3.1 e,3.2 e,3.3 e,3.3 e,3.3 e,3.4 e,3.6 be,3.5 e,3.6 e,3.8 be,3.9 e,4.1 e
Annual,Percentage of total employment,Lithuania,1.8 e,1.6 bu,1.4 u,1.7,1.9,1.8,1.8,1.8 be,1.9,1.8 e,1.7,2.1 e,2.5,2.7,2.7,3.1 e,3.3,3.8 b,4.4,4.9 e
Annual,Percentage of total employment,Luxembourg,3.9 e,4.2 be,3.3 e,3.6 be,4.8 e,4.6 b,4.6,4.3 b,5.0,4.7,5.1,5.0 b,5.1,5.2,5.9 e,6.1 e,6.3,6.7 b,7.7,8.0
Annual,Percentage of total employment,Latvia,2.8 e,3.0 be,2.7 e,2.6 e,2.8 e,2.7 e,2.8 e,2.5 be,2.2 e,2.4 e,2.5 e,2.7 e,2.7 e,2.8 e,2.5 e,3.1 e,3.6 e,3.8 b,4.4,4.4
Annual,Percentage of total employment,Montenegro,:,:,:,:,:,:,:,1.8 be,1.9 e,2.1 e,2.3 e,2.4 e,2.1 e,2.3 e,1.9 e,1.8 e,2.5 e,:,:,:
Annual,Percentage of total employment,North Macedonia,:,:,:,:,:,:,:,1.3 b,1.3,1.3,1.5 e,1.8,1.8 e,1.6,1.6,1.9,2.3 e,:,:,:
Annual,Percentage of total employment,Malta,5.4 be,4.8 be,4.0 e,5.9,5.5 e,4.7 e,4.7,3.4 be,3.4 e,3.3,3.6,3.8,3.9 e,4.3,4.8,4.6,4.4 e,4.8 be,5.0,4.7
Annual,Percentage of total employment,Netherlands,4.1,4.0 b,3.8 b,3.7,3.8,3.8,3.9,4.6 be,4.5,4.7 b,4.8,5.0,5.1,5.1,5.3,5.6,5.9,6.7 b,7.2,6.9
Annual,Percentage of total employment,Norway,:,:,:,:,:,:,:,4.3 b,4.4,4.5,4.5 e,4.5 e,4.2 e,4.6,4.5,4.6,5.0 e,5.4 be,5.1,5.3
Annual,Percentage of total employment,Poland,2.5 be,2.6 be,2.8 e,3.0 e,3.0 e,3.2 e,3.0 be,2.3 b,2.5,2.6,2.6,2.6 e,2.7 e,2.8,3.0,3.2 b,3.5,3.7 b,3.7,4.3
Annual,Percentage of total employment,Portugal,2.3 e,2.4 be,2.6 e,2.8 e,2.6 e,2.8 e,2.9 e,1.9 be,2.1 e,2.4 e,3.1 e,2.9 e,3.0 e,2.8 e,3.1 e,3.5 e,3.9 e,4.5 b,4.3,4.5
Annual,Percentage of total employment,Romania,:,1.4 be,2.0 e,2.1 e,2.1 e,2.1 e,1.9 be,1.5 be,1.6 e,1.6 e,1.6,1.9,2.0,2.1,2.2,2.3 e,2.4,2.6 b,2.8 e,2.6
Annual,Percentage of total employment,Serbia,:,:,:,:,:,:,:,:,:,1.9 e,2.0 b,2.2 e,2.3 e,2.3,2.4,2.6 e,2.8 e,3.3 b,3.4,4.3 b
Annual,Percentage of total employment,Sweden,5.7 e,6.2 be,6.1 e,6.1 e,6.3 e,6.4 e,6.4 e,5.6 b,5.8,5.7,5.8,6.1,6.3,6.6,6.8 b,7.0,7.5 e,8.0 b,8.6,8.7 e
Annual,Percentage of total employment,Slovenia,3.2 e,3.6 be,3.7 e,3.4 e,3.7 e,3.8 e,3.8 e,3.6 b,3.3,3.4,3.5,3.6 e,3.5,3.8,4.0 e,3.9 e,4.4 e,4.8 b,4.5,3.8
Annual,Percentage of total employment,Slovakia,2.8 e,3.1 be,3.5 e,3.7 e,3.5 e,3.5 e,3.7 e,2.7 b,2.5,2.6,2.8,2.8,2.9,2.8,3.2 e,3.7,4.2,4.3 b,4.3,4.2
Annual,Percentage of total employment,Türkiye,:,:,:,:,:,:,:,1.0 be,1.2 be,1.1 e,1.2 be,1.2 e,1.2 e,1.3 e,1.3 e,1.3 e,1.4 e,1.4 b,1.5,1.5
Annual,Percentage of total employment,United Kingdom,:,:,:,:,:,:,:,4.8 be,5.0 e,4.9 e,5.0 e,5.2 e,5.3 e,5.2 e,5.4 e,5.6 e,:,:,:,:
Annual,Thousand persons,Austria,106.1 be,116.0 be,126.0 e,128.3 be,133.2 e,138.8 e,140.8 e,145.0 b,147.0,152.6,149.3,166.6,178.6,187.8,191.8,184.6,193.5,192.5 b,220.6,237.4
Annual,Thousand persons,Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,17.6 be,19.3 e,24.3 e
Annual,Thousand persons,Belgium,142.8 e,146.9 be,155.9 e,178.3 e,173.5 e,181.5 e,198.4 e,181.5 be,194.9,189.3,192.4,188.4,193.8,228.6 b,244.8,238.9,240.8,272.1 b,277.5,272.6
Annual,Thousand persons,Bulgaria,63.8 e,66.1 be,73.5 e,78.9 e,80.8 be,77.8 e,75.3 be,66.5 be,72.2 e,74.7 e,74.2 e,88.1 e,91.7 e,96.4 e,103.5 e,101.2,103.3,108.0 b,111.3 b,126.1
Annual,Thousand persons,Switzerland,:,:,:,:,:,:,:,183.5 b,203.8,207.5,213.6,215.2,226.9,223.0,233.6,256.4,254.2,255.7 b,267.0,273.0
Annual,Thousand persons,Cyprus,7.3 e,7.9 be,8.2 e,9.9 e,9.9 e,9.2 be,9.6 e,9.8 be,9.8 e,10.0 e,10.0 e,9.6,9.9,10.8,12.8,11.2,12.8,16.6 b,20.4,24.7 e
Annual,Thousand persons,Czechia,159.5 e,176.7 be,188.3 e,209.6 e,228.2 e,225.7 e,225.9 be,170.4 b,164.2,182.4,184.9,177.1,188.7,189.2,211.6,213.8,219.8,240.6 b,232.9,217.9
Annual,Thousand persons,Germany,1185.7 e,1311.8 be,1329.4 be,1356.7 e,1403.9 e,1412.5 e,1460.9 be,1202.3 be,1353.5 b,1397.2,1417.9,1465.6,1541.1,1555.9,1622.7,1686.9,1933.9 b,2013.2 b,2114.0,2107.6
Annual,Thousand persons,Denmark,118.4 e,112.3 be,126.0 e,127.2 e,133.6 be,126.8 e,127.0 e,113.5 be,123.5 e,126.1 e,121.0 e,121.3 e,133.6 be,138.7 be,139.5 e,147.2 e,151.2 e,162.3 b,170.9,176.8 b
Annual,Thousand persons,Estonia,19.1 e,15.3 be,19.1 e,22.1 e,24.1 e,22.8 e,23.2 e,20.8 b,23.3,25.7,24.5,26.5,32.8 e,34.2,35.6,38.2,40.3 e,40.1 b,44.5,46.5 e
Annual,Thousand persons,Greece,122.6 be,123.2 be,124.9 e,128.7 e,127.5 e,127.6 be,128.4 e,73.2 be,69.2 e,70.2 e,60.2 e,57.6 e,66.7 e,75.9 e,85.0 e,79.8 e,80.0 e,93.4 b,103.1,100.5
Annual,Thousand persons,Spain,511.9 e,552.6 be,594.6 be,637.1 e,639.8 e,611.7 e,631.3 e,578.0 be,560.3 e,557.1 e,561.1 e,569.4 e,615.0 e,655.9 e,696.0 e,731.5 e,742.8 e,805.0 bd,880.4 d,935.9 d
