Time frequency,Energy consumption,product,unit,geo\TIME_PERIOD,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Consumption from 1 000 kWh to 2 499 kWh - band DB,6000.0,PC,AL,:,:,:,0.0000 e,:,74.0000 e,:
Annual,Consumption from 1 000 kWh to 2 499 kWh - band DB,6000.0,PC,AT,15.1,15.5,15.3,16.3,16.0,15.1,16.3
Annual,Consumption from 1 000 kWh to 2 499 kWh - band DB,6000.0,PC,BA,10.841,11.1388,11.1351,10.5761,10.6627,10.837,10.5446
Annual,Consumption from 1 000 kWh to 2 499 kWh - band DB,6000.0,PC,BE,16.9961,18.2751,19.9409,21.4815,21.0313,20.661,21.6359
Annual,Consumption from 1 000 kWh to 2 499 kWh - band DB,6000.0,PC,BG,14.6,15.0077,15.693,14.2419,14.1649,13.5228,13.3845
Annual,Consumption from 1 000 kWh to 2 499 kWh - band DB,6000.0,PC,CY,:,13.1282,11.7442,10.3994,11.0514,16.0995,14.7792
Annual,Consumption from 1 000 kWh to 2 499 kWh - band DB,6000.0,PC,CZ,18.0,18.0,17.0,18.0,18.0,18.0,18.0
Annual,Consumption from 1 000 kWh to 2 499 kWh - band DB,6000.0,PC,DE,28.0,25.0,29.7335,28.24,26.175,27.22,28.74
Annual,Consumption from 1 000 kWh to 2 499 kWh - band DB,6000.0,PC,DK,15.0,15.0,17.2,17.2,17.2,17.2,17.2
Annual,Consumption from 1 000 kWh to 2 499 kWh - band DB,6000.0,PC,EA,10.3328,13.1567,17.5418,21.0497,20.257,:,:
Annual,Consumption from 1 000 kWh to 2 499 kWh - band DB,6000.0,PC,EE,16.448,15.0059,15.018,13.9439,19.1099,12.864,11.7741
Annual,Consumption from 1 000 kWh to 2 499 kWh - band DB,6000.0,PC,EL,10.62,17.58,16.49,19.33,15.04,17.5402,24.96
Annual,Consumption from 1 000 kWh to 2 499 kWh - band DB,6000.0,PC,ES,:,:,27.6551,23.7456,26.3,27.0,29.8995
Annual,Consumption from 1 000 kWh to 2 499 kWh - band DB,6000.0,PC,EU27_2020,14.0855,16.8473,21.5528,20.9759,20.2456,20.8312,:
Annual,Consumption from 1 000 kWh to 2 499 kWh - band DB,6000.0,PC,FI,7.79,8.0,8.0,7.8,7.141,7.1694,8.01
Annual,Consumption from 1 000 kWh to 2 499 kWh - band DB,6000.0,PC,FR,9.1465,9.1336,9.5802,9.9613,9.4079,9.6008,10.495
Annual,Consumption from 1 000 kWh to 2 499 kWh - band DB,6000.0,PC,GE,:,46.9,48.1,47.8,47.6,46.1,47.8
Annual,Consumption from 1 000 kWh to 2 499 kWh - band DB,6000.0,PC,HR,16.72,15.82,15.9208,16.6823,15.3677,15.9656,17.0981
Annual,Consumption from 1 000 kWh to 2 499 kWh - band DB,6000.0,PC,HU,28.6421,29.0652,28.6981,30.9861,29.3768,28.8734,36.343
Annual,Consumption from 1 000 kWh to 2 499 kWh - band DB,6000.0,PC,IE,10.4303,9.2126,10.2388,10.2948,8.7769,10.3132,10.949
Annual,Consumption from 1 000 kWh to 2 499 kWh - band DB,6000.0,PC,IS,8.4429,8.1853,9.5666,10.1627,9.7325,10.6345,10.4507
Annual,Consumption from 1 000 kWh to 2 499 kWh - band DB,6000.0,PC,IT,:,34.6772,39.307,39.637,37.506,36.67,39.5476
Annual,Consumption from 1 000 kWh to 2 499 kWh - band DB,6000.0,PC,LI,:,11.474,11.6463,12.0872,11.571,12.8126,14.4001
Annual,Consumption from 1 000 kWh to 2 499 kWh - band DB,6000.0,PC,LT,32.5389,30.3511,31.3925,30.2798,27.6581,26.2176,29.0674
Annual,Consumption from 1 000 kWh to 2 499 kWh - band DB,6000.0,PC,LU,11.44,12.86,12.79,13.51,12.07,11.8,12.4
Annual,Consumption from 1 000 kWh to 2 499 kWh - band DB,6000.0,PC,LV,39.8055,30.8,30.78,27.7212,28.6315,31.6096,34.6993
Annual,Consumption from 1 000 kWh to 2 499 kWh - band DB,6000.0,PC,MD,43.8234,44.2637,44.6213,45.9658,45.0351,44.2833,43.9646
Annual,Consumption from 1 000 kWh to 2 499 kWh - band DB,6000.0,PC,ME,7.8782,8.3565,8.502,8.7251,9.3182,8.189,7.7562
Annual,Consumption from 1 000 kWh to 2 499 kWh - band DB,6000.0,PC,MK,7.4487,7.5173,6.4439,6.9733,6.9244,7.648,8.6312
Annual,Consumption from 1 000 kWh to 2 499 kWh - band DB,6000.0,PC,MT,15.5249,15.3481,11.7103,11.689,10.6486,9.7875,10.701
Annual,Consumption from 1 000 kWh to 2 499 kWh - band DB,6000.0,PC,NL,20.0,20.0,22.0,24.0,24.0,26.0,29.0
Annual,Consumption from 1 000 kWh to 2 499 kWh - band DB,6000.0,PC,NO,1.45,1.45,1.45,1.45,1.45,0.4863,0.728
Annual,Consumption from 1 000 kWh to 2 499 kWh - band DB,6000.0,PC,PL,34.9061,35.9254,41.5792,34.2113,33.7872,36.2167,37.411
Annual,Consumption from 1 000 kWh to 2 499 kWh - band DB,6000.0,PC,PT,28.3,28.48,29.3,28.1,25.436,25.754,26.23
Annual,Consumption from 1 000 kWh to 2 499 kWh - band DB,6000.0,PC,RO,42.7418,38.6821,39.9289,40.673,39.4763,38.4284,40.1688
Annual,Consumption from 1 000 kWh to 2 499 kWh - band DB,6000.0,PC,RS,8.1134,8.6925,8.9095,8.9171,7.0348,7.7769,8.5404
Annual,Consumption from 1 000 kWh to 2 499 kWh - band DB,6000.0,PC,SE,6.0,6.0,6.0,6.52,6.52,6.52,6.8543
Annual,Consumption from 1 000 kWh to 2 499 kWh - band DB,6000.0,PC,SI,12.2,12.0,11.9691,12.1,10.7731,10.8043,11.7287
Annual,Consumption from 1 000 kWh to 2 499 kWh - band DB,6000.0,PC,SK,25.1,25.0,24.5,23.9,22.6,22.6,23.2
Annual,Consumption from 1 000 kWh to 2 499 kWh - band DB,6000.0,PC,TR,39.7229,43.1282,41.0488,43.1974,45.1494,46.7352,45.9408
Annual,Consumption from 1 000 kWh to 2 499 kWh - band DB,6000.0,PC,UA,:,32.6792,31.9777,31.7388,:,:,:
Annual,Consumption from 1 000 kWh to 2 499 kWh - band DB,6000.0,PC,XK,4.6096,4.2767,19.9244,15.89,13.9281,15.4643,15.5289
Annual,Consumption from 2 500 kWh to 4 999 kWh - band DC,6000.0,PC,AL,:,:,:,0.0000 e,:,7.0000 e,:
Annual,Consumption from 2 500 kWh to 4 999 kWh - band DC,6000.0,PC,AT,32.2,30.8,31.4,31.0,30.5,29.1,29.2
Annual,Consumption from 2 500 kWh to 4 999 kWh - band DC,6000.0,PC,BA,32.9671,33.4098,32.9579,31.7598,31.7552,31.5196,31.7244
Annual,Consumption from 2 500 kWh to 4 999 kWh - band DC,6000.0,PC,BE,37.2059,37.659,38.1135,37.8797,37.2221,36.4334,33.3704
Annual,Consumption from 2 500 kWh to 4 999 kWh - band DC,6000.0,PC,BG,30.7,31.2526,31.6627,30.5378,30.0049,29.782,29.7903
Annual,Consumption from 2 500 kWh to 4 999 kWh - band DC,6000.0,PC,CY,:,35.8898,34.0899,32.1711,33.2978,39.0886,38.4738
Annual,Consumption from 2 500 kWh to 4 999 kWh - band DC,6000.0,PC,CZ,24.0,23.0,21.0,19.0,22.0,22.0,22.0
Annual,Consumption from 2 500 kWh to 4 999 kWh - band DC,6000.0,PC,DE,42.0,39.0,36.6468,38.1,37.986,36.63,34.3
Annual,Consumption from 2 500 kWh to 4 999 kWh - band DC,6000.0,PC,DK,27.0,27.0,26.7,27.7,27.7,27.7,27.7
