Time frequency,Age class,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2006.0,2009.0,2012.0,2014.0,2017.0,2020.0
Annual,15 years or over,Females,Percentage of total population,Austria,24.0,27.0,26.0,23.0,23.0,21.0
Annual,15 years or over,Females,Percentage of total population,Belgium,22.0,27.0,24.0,23.0,17.0,20.0
Annual,15 years or over,Females,Percentage of total population,Bulgaria,30.0,30.0,31.0,25.0,28.0,28.0
Annual,15 years or over,Females,Percentage of total population,Cyprus,16.0,16.0,19.0,19.0,17.0,16.0
Annual,15 years or over,Females,Percentage of total population,Czechia,23.0,19.0,23.0,19.0,21.0,26.0
Annual,15 years or over,Females,Percentage of total population,Germany,25.0,19.0,22.0,21.0,23.0,19.0
Annual,15 years or over,Females,Percentage of total population,Denmark,29.0,26.0,24.0,23.0,18.0,16.0
Annual,15 years or over,Females,Percentage of total population,Estonia,24.0,20.0,19.0,16.0,15.0,16.0
Annual,15 years or over,Females,Percentage of total population,Greece,37.0,39.0,34.0,33.0,32.0,38.0
Annual,15 years or over,Females,Percentage of total population,Spain,28.0,28.0,26.0,25.0,25.0,27.0
Annual,15 years or over,Females,Percentage of total population,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",27.0,25.0,24.0,22.0,22.0,22.0
Annual,15 years or over,Females,Percentage of total population,European Union - 27 countries (from 2020),26 e,25 e,23 e,22 e,23 e,22.0
Annual,15 years or over,Females,Percentage of total population,European Union - 28 countries (2013-2020),:,:,:,22.0,22.0,:
Annual,15 years or over,Females,Percentage of total population,Finland,22.0,16.0,22.0,17.0,16.0,16.0
Annual,15 years or over,Females,Percentage of total population,France,27.0,28.0,25.0,29.0,32.0,27.0
Annual,15 years or over,Females,Percentage of total population,Croatia,25.0,26.0,:,30.0,31.0,32.0
Annual,15 years or over,Females,Percentage of total population,Hungary,29.0,32.0,28.0,23.0,23.0,23.0
Annual,15 years or over,Females,Percentage of total population,Ireland,29.0,32.0,30.0,22.0,18.0,17.0
Annual,15 years or over,Females,Percentage of total population,Italy,24.0,25.0,21.0,17.0,17.0,18.0
Annual,15 years or over,Females,Percentage of total population,Lithuania,20.0,18.0,19.0,16.0,19.0,14.0
Annual,15 years or over,Females,Percentage of total population,Luxembourg,23.0,18.0,24.0,19.0,17.0,17.0
Annual,15 years or over,Females,Percentage of total population,Latvia,21.0,23.0,22.0,18.0,21.0,22.0
Annual,15 years or over,Females,Percentage of total population,Malta,22.0,17.0,21.0,17.0,19.0,18.0
Annual,15 years or over,Females,Percentage of total population,Netherlands,27.0,22.0,19.0,19.0,17.0,11.0
Annual,15 years or over,Females,Percentage of total population,Poland,30.0,28.0,26.0,24.0,26.0,20.0
Annual,15 years or over,Females,Percentage of total population,Portugal,14.0,17.0,14.0,18.0,19.0,16.0
Annual,15 years or over,Females,Percentage of total population,Romania,20.0,20.0,22.0,22.0,19.0,23.0
Annual,15 years or over,Females,Percentage of total population,Sweden,22.0,20.0,13.0,12.0,9.0,8.0
Annual,15 years or over,Females,Percentage of total population,Slovenia,21.0,21.0,25.0,23.0,24.0,25.0
Annual,15 years or over,Females,Percentage of total population,Slovakia,19.0,17.0,17.0,13.0,19.0,16.0
Annual,15 years or over,Females,Percentage of total population,United Kingdom,32.0,25.0,26.0,20.0,18.0,13.0
Annual,15 years or over,Males,Percentage of total population,Austria,38.0,41.0,40.0,28.0,34.0,31.0
Annual,15 years or over,Males,Percentage of total population,Belgium,30.0,34.0,30.0,28.0,21.0,21.0
Annual,15 years or over,Males,Percentage of total population,Bulgaria,42.0,49.0,42.0,45.0,45.0,49.0
Annual,15 years or over,Males,Percentage of total population,Cyprus,48.0,49.0,42.0,44.0,39.0,39.0
Annual,15 years or over,Males,Percentage of total population,Czechia,35.0,34.0,35.0,30.0,38.0,35.0
Annual,15 years or over,Males,Percentage of total population,Germany,36.0,31.0,31.0,34.0,28.0,28.0
Annual,15 years or over,Males,Percentage of total population,Denmark,35.0,32.0,27.0,23.0,19.0,15.0
Annual,15 years or over,Males,Percentage of total population,Estonia,45.0,47.0,36.0,29.0,33.0,22.0
Annual,15 years or over,Males,Percentage of total population,Greece,48.0,46.0,46.0,43.0,41.0,46.0
Annual,15 years or over,Males,Percentage of total population,Spain,40.0,41.0,40.0,34.0,31.0,22.0
Annual,15 years or over,Males,Percentage of total population,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",37.0,34.0,32.0,31.0,30.0,28.0
Annual,15 years or over,Males,Percentage of total population,European Union - 27 countries (from 2020),38 e,35 e,33 e,32 e,32 e,28.0
Annual,15 years or over,Males,Percentage of total population,European Union - 28 countries (2013-2020),:,:,:,31.0,30.0,:
Annual,15 years or over,Males,Percentage of total population,Finland,29.0,26.0,28.0,20.0,24.0,14.0
Annual,15 years or over,Males,Percentage of total population,France,39.0,38.0,31.0,34.0,40.0,29.0
Annual,15 years or over,Males,Percentage of total population,Croatia,42.0,39.0,:,37.0,40.0,41.0
Annual,15 years or over,Males,Percentage of total population,Hungary,44.0,46.0,38.0,38.0,31.0,34.0
Annual,15 years or over,Males,Percentage of total population,Ireland,28.0,30.0,28.0,21.0,20.0,19.0
Annual,15 years or over,Males,Percentage of total population,Italy,39.0,28.0,28.0,26.0,33.0,29.0
Annual,15 years or over,Males,Percentage of total population,Lithuania,50.0,43.0,43.0,38.0,41.0,45.0
Annual,15 years or over,Males,Percentage of total population,Luxembourg,29.0,32.0,30.0,24.0,25.0,29.0
Annual,15 years or over,Males,Percentage of total population,Latvia,53.0,50.0,52.0,45.0,47.0,43.0
Annual,15 years or over,Males,Percentage of total population,Malta,29.0,35.0,34.0,23.0,30.0,22.0
Annual,15 years or over,Males,Percentage of total population,Netherlands,31.0,25.0,28.0,26.0,22.0,13.0
Annual,15 years or over,Males,Percentage of total population,Poland,40.0,38.0,38.0,33.0,33.0,32.0
Annual,15 years or over,Males,Percentage of total population,Portugal,35.0,30.0,32.0,34.0,33.0,27.0
Annual,15 years or over,Males,Percentage of total population,Romania,42.0,40.0,39.0,33.0,38.0,38.0
Annual,15 years or over,Males,Percentage of total population,Sweden,15.0,12.0,12.0,11.0,5.0,6.0
Annual,15 years or over,Males,Percentage of total population,Slovenia,25.0,32.0,30.0,39.0,32.0,28.0
Annual,15 years or over,Males,Percentage of total population,Slovakia,32.0,35.0,30.0,29.0,34.0,34.0
Annual,15 years or over,Males,Percentage of total population,United Kingdom,33.0,32.0,28.0,23.0,17.0,12.0
Annual,15 years or over,Total,Percentage of total population,Austria,31.0,34.0,33.0,26.0,28.0,25.0
Annual,15 years or over,Total,Percentage of total population,Belgium,26.0,30.0,27.0,25.0,19.0,21.0
Annual,15 years or over,Total,Percentage of total population,Bulgaria,36.0,39.0,36.0,35.0,36.0,38.0
Annual,15 years or over,Total,Percentage of total population,Cyprus,31.0,32.0,30.0,31.0,28.0,28.0
Annual,15 years or over,Total,Percentage of total population,Czechia,29.0,26.0,29.0,24.0,29.0,30.0
Annual,15 years or over,Total,Percentage of total population,Germany,30.0,25.0,26.0,27.0,25.0,23.0
Annual,15 years or over,Total,Percentage of total population,Denmark,32.0,29.0,26.0,23.0,19.0,16.0
Annual,15 years or over,Total,Percentage of total population,Estonia,33.0,32.0,26.0,22.0,23.0,18.0
Annual,15 years or over,Total,Percentage of total population,Greece,42.0,42.0,40.0,38.0,37.0,42.0
Annual,15 years or over,Total,Percentage of total population,Spain,34.0,35.0,33.0,29.0,27.0,24.0
