Time frequency,Unit of measure,Age class,Sex,Geopolitical entity (reporting)\Time,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Less than 18 years,Females,Albania,:,:,12.9,13.2,12.2,12.4,11.5,:,:
Annual,Percentage,Less than 18 years,Females,Austria,7.3,6.4,8.4,5.9,7.2,5.0,6.3,4.4,4.5
Annual,Percentage,Less than 18 years,Females,Belgium,13.0,14.3,14.3,12.4,9.4,10.2,9.3,9.6,9.0
Annual,Percentage,Less than 18 years,Females,Bulgaria,14.5,16.0,14.6,11.0,11.4,11.2,11.6,11.7,8.9
Annual,Percentage,Less than 18 years,Females,Switzerland,3.8,4.1,5.1,3.9,5.9,3.3,3.4,3.9,4.0
Annual,Percentage,Less than 18 years,Females,Cyprus,10.2,8.9,8.1,7.9,5.4,3.7,4.4,1.8,2.8
Annual,Percentage,Less than 18 years,Females,Czechia,8.5,8.0,5.0,3.4,3.4,4.0,6.3,5.7,6.4
Annual,Percentage,Less than 18 years,Females,Germany,6.7,8.6,6.5,6.5,5.5,9.5 b,10.8,10.6,10.4
Annual,Percentage,Less than 18 years,Females,Denmark,8.3,8.1,6.4,6.5,4.3,5.5,5.2,3.5,5.7
Annual,Percentage,Less than 18 years,Females,Euro area - 19 countries  (2015-2022),8.5,8.7,7.9,7.4,6.7,8.1,9.1,:,:
Annual,Percentage,Less than 18 years,Females,Euro area – 20 countries (from 2023),8.6,8.7,8.0,7.5,6.7,8.1,9.2,8.3,8.0
Annual,Percentage,Less than 18 years,Females,Estonia,5.9,3.6,4.0,4.0,3.9,2.8,3.5,2.5,4.3
Annual,Percentage,Less than 18 years,Females,Greece,10.1,10.3,9.4,9.0,7.5,7.6,7.1,4.5,4.5
Annual,Percentage,Less than 18 years,Females,Spain,12.1,10.8,10.0,7.7,8.8,7.0,9.2,6.5,6.5
Annual,Percentage,Less than 18 years,Females,European Union - 27 countries (from 2020),8.4,8.4,7.6,7.1,6.3,7.4,8.2,7.6,7.4
Annual,Percentage,Less than 18 years,Females,Finland,6.4,8.1,7.2,7.9,6.1 b,6.7,6.7,8.4 b,5.7
Annual,Percentage,Less than 18 years,Females,France,7.1,7.1,7.3,7.8,6.8,9.6 b,11.0,10.6 b,10.0
