Time frequency,Unit of measure,Degree of urbanisation,Geopolitical entity (reporting)\Time,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Cities,Luxembourg,41.9,40.5,41.7,43.9,45.5,45.5,46.1,43.8,44.6,33.3 b,33.7,35.7,31.2,31.5 b,38.3,33.7,33.6,26.8 b,32.5 b,42.3 b,46.0
Annual,Percentage,Cities,Latvia,:,:,2.8,1.7,2.3,2.4,3.0,3.8,8.1,11.0 b,9.0,8.0,6.4,5.6,6.0,5.2,5.1,4.8,4.4,4.2,4.0
Annual,Percentage,Cities,North Macedonia,:,:,:,:,:,:,:,:,:,:,:,:,:,9.3,11.6,12.6,10.5,12.1,:,:,:
Annual,Percentage,Cities,Malta,:,:,67.7,67.9,67.1,69.0,68.6,68.4,70.1,67.9 b,68.4,68.4,67.0,67.3,71.4,72.2,71.7,71.7,68.8,70.2,63.4
Annual,Percentage,Cities,Netherlands,:,:,60.4,59.9,59.0,60.0,59.6,58.7,57.7,53.2 b,48.5,46.5,44.3,45.1 b,46.3,47.1,47.5,46.7,55.5,55.1,54.2
Annual,Percentage,Cities,Norway,:,44.9,45.2,46.1,46.7,45.7,44.2,47.3,47.0,47.7 b,47.5,:,37.2,37.3,38.1,36.6,36.9,37.7,36.6 b,37.5,39.4
Annual,Percentage,Cities,Poland,:,:,5.7,6.5,7.0,7.2,7.2,7.3,7.8,7.1 b,7.4,8.0,9.2,10.0,10.3,9.4,9.8,10.1 b,9.7,9.7,10.5 b
Annual,Percentage,Cities,Portugal,:,23.3,20.1,21.2,22.0,21.9,21.5,18.7,26.4,29.0 b,27.8,30.4,29.6,30.1,29.6,28.2,29.1,28.3,26.7,30.9,30.6
Annual,Percentage,Cities,Romania,:,:,:,:,2.5,1.9,2.1,2.7,2.4,2.7 b,2.5,2.0,1.6,1.8,2.8,3.0,3.3,3.4,2.8,2.8,2.5
Annual,Percentage,Cities,Serbia,:,:,:,:,:,:,:,:,:,:,:,3.6,3.8,3.7,2.7,3.1,4.1,3.1,4.5,4.5,:
Annual,Percentage,Cities,Sweden,:,25.4,29.3,29.3,28.7,28.5 b,27.6,25.3,22.3,22.0 b,26.1,24.6,24.5,24.3,28.9,27.3,26.9,26.7,26.8,26.8,25.6
Annual,Percentage,Cities,Slovenia,:,:,9.0,8.3,8.7,8.8,8.6,8.8,22.6 b,24.2 b,25.9,25.5,27.6,27.7,25.8,27.9,27.2,26.7,27.1,27.7,28.5
Annual,Percentage,Cities,Slovakia,:,:,4.1,3.7,4.0,3.6,4.4,5.3,6.3,5.8 b,4.5,7.7,6.9,7.0,7.7,7.9,7.4,7.9,5.5,5.2,5.7
Annual,Percentage,Cities,United Kingdom,:,:,42.1,42.2,42.4,42.5,40.5,40.8,39.8,43.9 b,43.7,45.0,44.9,44.9,56.8 b,50.5,:,:,:,:,:
Annual,Percentage,Towns and suburbs,Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3.6,4.2,5.2,5.6,5.6,:,:
Annual,Percentage,Towns and suburbs,Austria,42.2,38.4,38.8,38.7,39.6,39.4 b,42.2,45.6,40.9,33.4,32.2,31.3,33.5,31.2,31.5,32.0,30.7,30.8,33.1,29.8,31.7
Annual,Percentage,Towns and suburbs,Belgium,47.5,73.2,78.9,74.2,73.4,72.6,76.1,74.3,80.1,79.2 b,79.6,78.2,76.9,74.3 b,71.0,64.5,64.4 b,64.3,65.4,66.1,65.6
Annual,Percentage,Towns and suburbs,Bulgaria,:,:,:,12.6,11.3,7.4,8.5,9.9,8.7,10.9 b,9.6,10.2,12.4,11.8 b,12.3,13.2,14.0,14.1,12.8,13.9,16.3
Annual,Percentage,Towns and suburbs,Switzerland,:,:,:,:,47.5,48.5,48.9,54.5,55.4,50.0 b,51.1,50.1 b,48.6,48.4,48.3,48.3,47.2,46.5,46.5,46.2,44.2
Annual,Percentage,Towns and suburbs,Cyprus,:,:,71.6,75.4,80.4,76.3 b,70.7,69.8,72.2,68.2 b,68.3,68.3,66.9,65.1,68.1,68.6,70.3,70.8,72.9,69.7,68.3
Annual,Percentage,Towns and suburbs,Czechia,:,:,15.8,14.6,14.4,16.2,19.6,21.5,23.2,20.2 b,19.1,20.0,20.0,21.9,24.1,24.8,25.2,23.9,23.4,23.7,24.7
Annual,Percentage,Towns and suburbs,Germany,:,:,43.4,42.8,46.9,44.9,45.6,45.2,45.5,41.6 b,40.4,40.8,40.6,39.3,39.5,39.6,39.7,39.8 b,38.8,37.3,36.5
Annual,Percentage,Towns and suburbs,Denmark,44.9,46.0,45.1,46.5,47.6,49.2,49.1,49.3,52.4,48.8 b,46.1,47.9,49.2,48.2,47.2,45.4,48.1,46.3,45.0,46.0,47.7
Annual,Percentage,Towns and suburbs,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,:,:,:,:,43.5 e,43.5 e,43.5 e,42.7 e,40.5 e,39.7 e,39.7 e,38.3 e,37.9 e,37.7 e,37.9 e,37.5,37.8,39.5,:,:
Annual,Percentage,Towns and suburbs,Euro area - 18 countries (2014),:,:,41.7,41.9,42.6,42.9,43.5,43.5,42.7,40.5,39.6,39.7,38.3,37.9,37.7,37.9,37.5,37.8,:,:,:
Annual,Percentage,Towns and suburbs,Euro area - 19 countries  (2015-2022),:,:,41.7,41.9,42.9,42.9,43.5,43.5,42.7,40.4,39.6,39.6,38.3,37.9,37.7,37.9,37.5,37.8,39.5,:,:
Annual,Percentage,Towns and suburbs,Euro area – 20 countries (from 2023),:,:,:,:,:,:,:,:,:,:,:,39.4,38.0,37.6,37.4,37.6,37.2,37.5,38.8,38.9,38.2
Annual,Percentage,Towns and suburbs,Estonia,:,0.0,14.7,8.0,10.2,8.2,10.3,12.6,20.0,28.0 b,22.4,30.7 b,29.8,30.3,31.0,38.1,36.9,35.2,30.3,28.2,26.7
