Time frequency,Type of household,Unit of measure,Geopolitical entity (reporting)\Time,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Households with dependent children,Percentage,Albania,:,:,:,19.8,19.3,18.1,15.7,15.8,:,:
Annual,Households with dependent children,Percentage,Austria,8.0,9.9,9.9,9.4,10.2,8.2,8.1,8.7,10.3,10.2
Annual,Households with dependent children,Percentage,Belgium,6.0,5.4,5.7,6.2,6.6,6.2 b,5.1,4.3,4.1,4.8
Annual,Households with dependent children,Percentage,Bulgaria,12.9,9.9,14.1 b,12.9,13.3,11.2,12.8,13.0,12.6,15.1
Annual,Households with dependent children,Percentage,Switzerland,7.6 b,10.3,10.3,10.3,10.0,9.9,10.6,8.8,10.4,11.8
Annual,Households with dependent children,Percentage,Cyprus,5.8,7.4,8.2,7.9,7.3,6.9,7.6,6.9,7.5,6.2
Annual,Households with dependent children,Percentage,Czechia,4.9,4.9,4.6,4.7,4.8,5.0,5.0,4.1,4.5,4.1
Annual,Households with dependent children,Percentage,Germany,9.4,9.4,9.6,9.5,9.4,8.2,8.6 b,9.3,7.4,6.8
Annual,Households with dependent children,Percentage,Denmark,5.1,4.9,4.7,4.4,3.7,4.0,3.7 b,4.5,4.5,3.8
Annual,Households with dependent children,Percentage,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",10.5 e,10.7 e,10.9 e,10.9 e,10.9 e,10.4,9.9 b,10.2,:,:
Annual,Households with dependent children,Percentage,Euro area - 18 countries (2014),10.5,10.7,10.9,10.9,10.9,10.4,9.9 b,:,:,:
Annual,Households with dependent children,Percentage,Euro area - 19 countries  (2015-2022),10.5,10.7,10.9,10.9,10.9,10.4,9.9 b,10.2,:,:
Annual,Households with dependent children,Percentage,Euro area – 20 countries (from 2023),10.4,10.7,10.8,10.9,10.8,10.3,9.9,10.1,10.0,9.9
Annual,Households with dependent children,Percentage,Estonia,12.6 b,12.1,11.0,10.4,9.7,11.3,10.2,9.7,9.6,10.2
Annual,Households with dependent children,Percentage,Greece,15.8,15.7,15.4,14.6,13.5,11.9,11.4,13.8,13.6,13.5
