Time frequency,Unit of measure,International Standard Classification of Education (ISCED 2011),Geopolitical entity (partner),Sex,Geopolitical entity (reporting)\Time,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Percentage,Tertiary education (levels 5-8),European Union - 27 countries (from 2020),Total,Austria,:,:,11.1,11.3,11.7,11.8,12.1,12.4,13.1,13.7
Annual,Percentage,Tertiary education (levels 5-8),European Union - 27 countries (from 2020),Total,Belgium,:,:,5.5,5.5,5.2,4.4,5.1,5.5 bd,5.5,5.6
Annual,Percentage,Tertiary education (levels 5-8),European Union - 27 countries (from 2020),Total,Bulgaria,:,:,1.6,1.9,2.4,2.9,3.2,3.3,3.5,3.7
Annual,Percentage,Tertiary education (levels 5-8),European Union - 27 countries (from 2020),Total,Switzerland,:,:,11.3,11.5,11.5,11.4,11.3,11.5,11.6,11.9
Annual,Percentage,Tertiary education (levels 5-8),European Union - 27 countries (from 2020),Total,Cyprus,:,:,8.6,8.0,8.3,8.5,9.0,8.9,8.6,8.4
Annual,Percentage,Tertiary education (levels 5-8),European Union - 27 countries (from 2020),Total,Czechia,:,:,6.6,6.9,7.3,7.7,8.0,8.0,7.8,7.6
Annual,Percentage,Tertiary education (levels 5-8),European Union - 27 countries (from 2020),Total,Germany,:,:,2.0,2.1,2.1,2.4,2.3,2.6 bd,2.5,2.7
Annual,Percentage,Tertiary education (levels 5-8),European Union - 27 countries (from 2020),Total,Denmark,:,:,6.6,7.1,7.0,6.9,6.6,6.3,6.2,6.3
Annual,Percentage,Tertiary education (levels 5-8),European Union - 27 countries (from 2020),Total,Estonia,:,:,2.9,3.5,3.8,4.1,4.2,4.1,3.8,3.6
Annual,Percentage,Tertiary education (levels 5-8),European Union - 27 countries (from 2020),Total,Greece,:,:,2.0,2.3,2.0,2.1,2.0,2.0,2.1,2.1
Annual,Percentage,Tertiary education (levels 5-8),European Union - 27 countries (from 2020),Total,Spain,:,:,1.3,0.9,1.1,1.1,1.2,1.2,1.2,1.2
