Time frequency,Income quantile,Unit of measure,Geopolitical entity (reporting)\Time,2020.0
Annual,First quintile,Purchasing power standard (PPS),Austria,162.0
Annual,First quintile,Purchasing power standard (PPS),Belgium,: u
Annual,First quintile,Purchasing power standard (PPS),Bulgaria,: u
Annual,First quintile,Purchasing power standard (PPS),Cyprus,: u
Annual,First quintile,Purchasing power standard (PPS),Germany,126 e
Annual,First quintile,Purchasing power standard (PPS),Denmark,112 u
Annual,First quintile,Purchasing power standard (PPS),Estonia,: u
Annual,First quintile,Purchasing power standard (PPS),Greece,36 u
Annual,First quintile,Purchasing power standard (PPS),Spain,52.0
Annual,First quintile,Purchasing power standard (PPS),France,96 e
Annual,First quintile,Purchasing power standard (PPS),Croatia,: u
Annual,First quintile,Purchasing power standard (PPS),Hungary,: u
Annual,First quintile,Purchasing power standard (PPS),Lithuania,: u
Annual,First quintile,Purchasing power standard (PPS),Luxembourg,: u
Annual,First quintile,Purchasing power standard (PPS),Latvia,: u
Annual,First quintile,Purchasing power standard (PPS),Malta,: u
Annual,First quintile,Purchasing power standard (PPS),Netherlands,179.0
Annual,First quintile,Purchasing power standard (PPS),Poland,32.0
Annual,First quintile,Purchasing power standard (PPS),Serbia,: u
Annual,First quintile,Purchasing power standard (PPS),Slovenia,72 u
Annual,First quintile,Purchasing power standard (PPS),Slovakia,17.0
Annual,Second quintile,Purchasing power standard (PPS),Austria,298.0
Annual,Second quintile,Purchasing power standard (PPS),Belgium,85 u
Annual,Second quintile,Purchasing power standard (PPS),Bulgaria,: u
Annual,Second quintile,Purchasing power standard (PPS),Cyprus,104 u
Annual,Second quintile,Purchasing power standard (PPS),Germany,259 e
Annual,Second quintile,Purchasing power standard (PPS),Denmark,143 u
Annual,Second quintile,Purchasing power standard (PPS),Estonia,60 u
Annual,Second quintile,Purchasing power standard (PPS),Greece,19 u
Annual,Second quintile,Purchasing power standard (PPS),Spain,88.0
Annual,Second quintile,Purchasing power standard (PPS),France,174 e
Annual,Second quintile,Purchasing power standard (PPS),Croatia,: u
Annual,Second quintile,Purchasing power standard (PPS),Hungary,: u
Annual,Second quintile,Purchasing power standard (PPS),Lithuania,: u
Annual,Second quintile,Purchasing power standard (PPS),Luxembourg,327 u
Annual,Second quintile,Purchasing power standard (PPS),Latvia,: u
Annual,Second quintile,Purchasing power standard (PPS),Montenegro,: u
Annual,Second quintile,Purchasing power standard (PPS),Malta,: u
Annual,Second quintile,Purchasing power standard (PPS),Netherlands,270.0
Annual,Second quintile,Purchasing power standard (PPS),Poland,25.0
Annual,Second quintile,Purchasing power standard (PPS),Serbia,: u
Annual,Second quintile,Purchasing power standard (PPS),Slovenia,186.0
Annual,Second quintile,Purchasing power standard (PPS),Slovakia,49.0
Annual,Third quintile,Purchasing power standard (PPS),Austria,497.0
Annual,Third quintile,Purchasing power standard (PPS),Belgium,346.0
Annual,Third quintile,Purchasing power standard (PPS),Bulgaria,: u
Annual,Third quintile,Purchasing power standard (PPS),Cyprus,226 u
Annual,Third quintile,Purchasing power standard (PPS),Germany,383 e
Annual,Third quintile,Purchasing power standard (PPS),Denmark,267.0
Annual,Third quintile,Purchasing power standard (PPS),Estonia,166.0
Annual,Third quintile,Purchasing power standard (PPS),Greece,86.0
Annual,Third quintile,Purchasing power standard (PPS),Spain,122.0
Annual,Third quintile,Purchasing power standard (PPS),France,367 e
Annual,Third quintile,Purchasing power standard (PPS),Croatia,113 u
Annual,Third quintile,Purchasing power standard (PPS),Hungary,48 u
Annual,Third quintile,Purchasing power standard (PPS),Lithuania,: u
Annual,Third quintile,Purchasing power standard (PPS),Luxembourg,988.0
Annual,Third quintile,Purchasing power standard (PPS),Latvia,123 u
Annual,Third quintile,Purchasing power standard (PPS),Montenegro,: u
