Time frequency,Unit of measure,Materials,Environment indicator,Geopolitical entity (reporting)\Time,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Tonnes per capita,Total,Raw material consumption,Austria,:,:,:,:,:,:,:,:,25.078,24.389,24.446,25.949,24.557,23.832,24.295,23.374,23.73,23.638,23.947,23.583,22.265,24.866 i,24.366 i,21.741 i
Annual,Tonnes per capita,Total,Raw material consumption,Belgium,:,:,:,:,:,:,:,:,16.141,13.95,13.677,15.513,14.069,13.377,14.489,14.526,14.008,13.431,14.92,12.822,12.985,13.587 i,12.486 i,13.6 i
Annual,Tonnes per capita,Total,Raw material consumption,Bulgaria,:,:,:,:,:,:,:,:,19.935 i,16.479 i,14.065 i,15.34 i,15.657 i,16.208 i,17.598 i,18.414 i,18.001 i,16.989 i,19.044 i,21.443 i,21.277 i,22.29 i,25.237 i,22.313 i
Annual,Tonnes per capita,Total,Raw material consumption,Switzerland,20.157,20.919,20.409,19.682,19.74,19.817,20.021,20.369,20.379,20.342,18.455,19.755,19.05,19.282,18.314,18.428,18.945,18.256,17.351,17.01,16.184,15.616,15.956,14.907 i
Annual,Tonnes per capita,Total,Raw material consumption,Cyprus,:,:,:,:,:,:,:,:,41.372,35.57,31.123,28.802,20.694,15.271,15.134,15.362,16.967,20.197,19.368,20.505,19.563,20.655,20.86 i,21.34 i
Annual,Tonnes per capita,Total,Raw material consumption,Czechia,:,:,:,:,:,:,:,:,20.098,16.51,17.002,17.271,14.982,15.314,16.141,16.988,16.688,17.85,17.83,17.336,16.042,18.252,19.73 i,18.849 i
Annual,Tonnes per capita,Total,Raw material consumption,Germany,:,:,:,:,:,:,:,:,17.05 i,16.039 i,15.399,17.07,16.007,15.949,16.059,15.316,15.665,16.089,16.21,15.982,15.271,15.376 e,15.742 i,14.423 i
Annual,Tonnes per capita,Total,Raw material consumption,Denmark,:,:,:,:,:,:,:,:,28.89,24.873,18.151,21.297,22.581,21.365,21.128,23.102,23.335,22.867,23.184,24.237,22.505 i,22.6 i,23.114 i,21.292 i
Annual,Tonnes per capita,Total,Raw material consumption,Estonia,:,:,:,:,:,:,:,:,27.015,25.422,23.653,26.241,27.188,26.624,24.299,25.447,24.55,28.867,30.579,28.676,28.366,26.865,27.812 i,30.174 i
Annual,Tonnes per capita,Total,Raw material consumption,Greece,:,:,:,:,:,:,:,:,27.488 i,23.879 i,18.801 i,17.057 i,15.392 i,14.29 i,14.685 i,13.739 i,13.273 i,13.08 i,12.521 i,12.578 i,11.243 i,11.044 i,11.704 i,11.713 i
