Time frequency,Country/region of birth,Unit of measure,Geopolitical entity (reporting)\Time,2021.0
Annual,EU-countries except reporting country,Percentage,Austria,20.7
Annual,EU-countries except reporting country,Percentage,Belgium,18.6
Annual,EU-countries except reporting country,Percentage,Bulgaria,: u
Annual,EU-countries except reporting country,Percentage,Cyprus,41.1 u
Annual,EU-countries except reporting country,Percentage,Czechia,: u
Annual,EU-countries except reporting country,Percentage,Germany,35.8 u
Annual,EU-countries except reporting country,Percentage,Denmark,33.7
Annual,EU-countries except reporting country,Percentage,Estonia,: u
Annual,EU-countries except reporting country,Percentage,Greece,27.9
Annual,EU-countries except reporting country,Percentage,Spain,16.6 u
Annual,EU-countries except reporting country,Percentage,European Union (aggregate changing according to the context),25.8 e
Annual,EU-countries except reporting country,Percentage,Finland,41.7
Annual,EU-countries except reporting country,Percentage,France,16.9
Annual,EU-countries except reporting country,Percentage,Croatia,: u
Annual,EU-countries except reporting country,Percentage,Hungary,: u
Annual,EU-countries except reporting country,Percentage,Ireland,: u
Annual,EU-countries except reporting country,Percentage,Lithuania,: u
Annual,EU-countries except reporting country,Percentage,Luxembourg,30.6
Annual,EU-countries except reporting country,Percentage,Latvia,: u
Annual,EU-countries except reporting country,Percentage,Montenegro,: u
Annual,EU-countries except reporting country,Percentage,Malta,: u
Annual,EU-countries except reporting country,Percentage,Netherlands,26.6 u
Annual,EU-countries except reporting country,Percentage,Poland,: u
Annual,EU-countries except reporting country,Percentage,Portugal,: u
Annual,EU-countries except reporting country,Percentage,Romania,: u
Annual,EU-countries except reporting country,Percentage,Serbia,16.2 u
Annual,EU-countries except reporting country,Percentage,Sweden,33.1 u
Annual,EU-countries except reporting country,Percentage,Slovenia,: u
Annual,EU-countries except reporting country,Percentage,Slovakia,46.6 u
Annual,EU-countries except reporting country,Percentage,Kosovo*,: u
Annual,Reporting country,Percentage,Austria,20.0
Annual,Reporting country,Percentage,Belgium,20.3
Annual,Reporting country,Percentage,Bulgaria,9.5
Annual,Reporting country,Percentage,Cyprus,29.2
Annual,Reporting country,Percentage,Czechia,14.4
Annual,Reporting country,Percentage,Germany,16.6
Annual,Reporting country,Percentage,Denmark,27.3
Annual,Reporting country,Percentage,Estonia,27.3
Annual,Reporting country,Percentage,Greece,24.4
Annual,Reporting country,Percentage,Spain,14.8
Annual,Reporting country,Percentage,European Union (aggregate changing according to the context),19.7 e
Annual,Reporting country,Percentage,Finland,36.8
Annual,Reporting country,Percentage,France,20.1
Annual,Reporting country,Percentage,Croatia,15.3
Annual,Reporting country,Percentage,Hungary,44.1
Annual,Reporting country,Percentage,Ireland,23.1
Annual,Reporting country,Percentage,Lithuania,17.0
Annual,Reporting country,Percentage,Luxembourg,30.1
Annual,Reporting country,Percentage,Latvia,17.4
Annual,Reporting country,Percentage,Montenegro,7.3
Annual,Reporting country,Percentage,Malta,15.7
Annual,Reporting country,Percentage,Netherlands,19.5
Annual,Reporting country,Percentage,Poland,11.6
Annual,Reporting country,Percentage,Portugal,11.0
