Time frequency,Housing,Unit of measure,Geopolitical entity (reporting)\Time,1991.0
Annual,Conventional dwellings,Number,Austria,3393271.0
Annual,Conventional dwellings,Number,Belgium,3953125.0
Annual,Conventional dwellings,Number,Switzerland,3159977.0
Annual,Conventional dwellings,Number,Germany,26279522.0
Annual,Conventional dwellings,Number,Denmark,2374970.0
Annual,Conventional dwellings,Number,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",115174863.0
Annual,Conventional dwellings,Number,Greece,4651902.0
Annual,Conventional dwellings,Number,Spain,17206363.0
Annual,Conventional dwellings,Number,European Union - 15 countries (1995-2004),149719888.0
Annual,Conventional dwellings,Number,Finland,2209556.0
Annual,Conventional dwellings,Number,France,25751908.0
Annual,Conventional dwellings,Number,Départements d'outre-mer (NUTS 2010),473038.0
Annual,Conventional dwellings,Number,Ireland,1006018.0
Annual,Conventional dwellings,Number,Italy,25028522.0
Annual,Conventional dwellings,Number,Liechtenstein,11388.0
Annual,Conventional dwellings,Number,Luxembourg,141430.0
Annual,Conventional dwellings,Number,Netherlands,6052000.0
Annual,Conventional dwellings,Number,Portugal,4153148.0
Annual,Conventional dwellings,Number,Sweden,3989565.0
Annual,Conventional dwellings,Number,United Kingdom,23528588.0
Annual,Conventional dwellings reserved for seasonal or secondary use,Number,Austria,287489.0
Annual,Conventional dwellings reserved for seasonal or secondary use,Number,Germany,225690.0
Annual,Conventional dwellings reserved for seasonal or secondary use,Number,Greece,1566208.0
Annual,Conventional dwellings reserved for seasonal or secondary use,Number,Spain,2994348.0
Annual,Conventional dwellings reserved for seasonal or secondary use,Number,Finland,26800.0
Annual,Conventional dwellings reserved for seasonal or secondary use,Number,France,2809444.0
Annual,Conventional dwellings reserved for seasonal or secondary use,Number,Départements d'outre-mer (NUTS 2010),22140.0
Annual,Conventional dwellings reserved for seasonal or secondary use,Number,Italy,3487919.0
Annual,Conventional dwellings reserved for seasonal or secondary use,Number,Luxembourg,2050.0
Annual,Conventional dwellings reserved for seasonal or secondary use,Number,Netherlands,13000.0
Annual,Conventional dwellings reserved for seasonal or secondary use,Number,Portugal,659069.0
Annual,Conventional dwellings reserved for seasonal or secondary use,Number,Sweden,53135.0
Annual,Conventional dwellings reserved for seasonal or secondary use,Number,United Kingdom,279494.0
Annual,Vacant conventional dwellings,Number,Austria,155907.0
Annual,Vacant conventional dwellings,Number,Switzerland,359024.0
Annual,Vacant conventional dwellings,Number,Germany,467258.0
Annual,Vacant conventional dwellings,Number,Denmark,123858.0
Annual,Vacant conventional dwellings,Number,Greece,620.0
Annual,Vacant conventional dwellings,Number,Spain,2475639.0
Annual,Vacant conventional dwellings,Number,Finland,152104.0
Annual,Vacant conventional dwellings,Number,France,1893808.0
Annual,Vacant conventional dwellings,Number,Départements d'outre-mer (NUTS 2010),40746.0
Annual,Vacant conventional dwellings,Number,Italy,1804690.0
Annual,Vacant conventional dwellings,Number,Liechtenstein,1002.0
Annual,Vacant conventional dwellings,Number,Luxembourg,6383.0
Annual,Vacant conventional dwellings,Number,Netherlands,135000.0
Annual,Vacant conventional dwellings,Number,Portugal,440159.0
Annual,Vacant conventional dwellings,Number,Sweden,17062.0
Annual,Vacant conventional dwellings,Number,United Kingdom,1066508.0
Annual,Non conventional housing (excl. homelessness),Number,Belgium,: m
Annual,Non conventional housing (excl. homelessness),Number,Switzerland,144478.0
Annual,Non conventional housing (excl. homelessness),Number,Germany,315927.0
Annual,Non conventional housing (excl. homelessness),Number,Denmark,207746.0
Annual,Non conventional housing (excl. homelessness),Number,Greece,5670.0
Annual,Non conventional housing (excl. homelessness),Number,Spain,28072.0
Annual,Non conventional housing (excl. homelessness),Number,France,19700.0
Annual,Non conventional housing (excl. homelessness),Number,Ireland,421.0
Annual,Non conventional housing (excl. homelessness),Number,Italy,20765.0
Annual,Non conventional housing (excl. homelessness),Number,Liechtenstein,66.0
Annual,Non conventional housing (excl. homelessness),Number,Luxembourg,2400.0
Annual,Non conventional housing (excl. homelessness),Number,Netherlands,178000.0
Annual,Non conventional housing (excl. homelessness),Number,Portugal,27642.0
Annual,Non conventional housing (excl. homelessness),Number,Sweden,53813.0
Annual,Non conventional housing (excl. homelessness),Number,United Kingdom,109980.0
