Time frequency,Unit of measure,Age class,International Statistical Classification of Diseases and Related Health Problems (ICD-10 2010),Sex,Geopolitical entity (reporting)\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0
Annual,Rate,Total,Malignant neoplasms (C00-C97),Females,Austria,205.15,206.3,198.24,202.41,194.97,192.8,187.07,187.97,187.21,185.46,181.73
Annual,Rate,Total,Malignant neoplasms (C00-C97),Females,Belgium,206.39,197.98,200.54,195.93,194.39,190.45,188.79,182.17,182.82,178.24,176.12
Annual,Rate,Total,Malignant neoplasms (C00-C97),Females,Bulgaria,170.16,183.25,175.17,178.96,179.27,172.2,172.07,172.5,178.15,181.93,170.95
Annual,Rate,Total,Malignant neoplasms (C00-C97),Females,Switzerland,177.3,178.62,176.4,173.13,175.41,174.51,170.04,168.34,165.89,160.31,155.54
Annual,Rate,Total,Malignant neoplasms (C00-C97),Females,Cyprus,149.65,148.2,151.02,140.36,159.52,145.81,159.61,164.45,154.71,152.17,165.42
Annual,Rate,Total,Malignant neoplasms (C00-C97),Females,Czechia,232.16,232.27,223.48,219.77,216.28,214.81,209.83,213.06,212.06,208.33,203.73
Annual,Rate,Total,Malignant neoplasms (C00-C97),Females,Germany,209.53,206.27,205.37,202.16,202.42,204.14,200.33,199.58,198.72,194.96,192.77
Annual,Rate,Total,Malignant neoplasms (C00-C97),Females,Denmark,270.23,272.75,258.44,258.31,250.08,255.41,242.98,239.45,242.34,231.88,230.63
Annual,Rate,Total,Malignant neoplasms (C00-C97),Females,Estonia,213.75,209.49,207.27,217.78,213.07,210.23,207.65,208.8,201.81,190.9,190.92
Annual,Rate,Total,Malignant neoplasms (C00-C97),Females,Greece,170.71,172.61,175.91,173.54,174.13,178.73,171.61,170.71,171.93,172.82,170.22
Annual,Rate,Total,Malignant neoplasms (C00-C97),Females,Spain,162.23,159.98,160.37,155.94,155.51,155.34,155.09,151.41,150.88,150.47,149.53
Annual,Rate,Total,Malignant neoplasms (C00-C97),Females,European Union - 27 countries (from 2020),201.02,200.17,197.77,196.33,196.86,196.13,193.94,192.07,190.49,188.1,183.98
Annual,Rate,Total,Malignant neoplasms (C00-C97),Females,Finland,183.23,182.69,182.04,178.32,177.61,179.49,176.85,173.97,175.17,173.56,169.49
Annual,Rate,Total,Malignant neoplasms (C00-C97),Females,France,179.56,179.95,176.95,178.17,179.24,179.88,178.76,174.52,174.39,171.76,169.87
Annual,Rate,Total,Malignant neoplasms (C00-C97),Females,Croatia,245.12,241.45 d,242.5 d,247.05,243.35,240.69,236.49,231.24,224.76,221.83,227.27
Annual,Rate,Total,Malignant neoplasms (C00-C97),Females,Hungary,268.09 d,271.44 d,268.56 d,266.47,267.25,262.2,263.0,258.25,252.97,251.92,245.1
Annual,Rate,Total,Malignant neoplasms (C00-C97),Females,Ireland,250.96,240.77,243.99,248.25,231.65,240.36,228.6,224.1,218.63,219.56,211.63
Annual,Rate,Total,Malignant neoplasms (C00-C97),Females,Iceland,220.74,228.5,221.16,221.18,224.31,245.34,211.73,202.76,207.45,201.87,197.95
Annual,Rate,Total,Malignant neoplasms (C00-C97),Females,Italy,195.5,194.2,189.96,187.26,188.13,184.96,184.18,183.38,180.26,179.08,176.96
Annual,Rate,Total,Malignant neoplasms (C00-C97),Females,Liechtenstein,222.17,173.35,254.04,192.76,157.44,194.11,157.56,117.61,146.32,177.01,146.39
Annual,Rate,Total,Malignant neoplasms (C00-C97),Females,Lithuania,199.99,192.79,192.18,188.77,198.87,197.06,193.69,190.82,191.76,195.86,184.35
Annual,Rate,Total,Malignant neoplasms (C00-C97),Females,Luxembourg,207.83,214.68,196.34,193.98,202.39,179.56,201.74,184.4,179.96,173.45,157.2
Annual,Rate,Total,Malignant neoplasms (C00-C97),Females,Latvia,217.1,218.9,215.54,211.98,219.6,211.67,212.85,215.75,212.71,221.92,205.62
Annual,Rate,Total,Malignant neoplasms (C00-C97),Females,Malta,200.48,210.78,186.52,176.75,182.24,184.85,177.08,196.86,172.47,166.87,154.22
Annual,Rate,Total,Malignant neoplasms (C00-C97),Females,Netherlands,246.75,241.9,233.12,232.75,234.36,236.01,227.75,224.2,224.3,220.63,217.12
Annual,Rate,Total,Malignant neoplasms (C00-C97),Females,Norway,215.55,215.51,210.32,211.93,203.17,205.9,203.3,201.67,194.7,188.89,191.19
Annual,Rate,Total,Malignant neoplasms (C00-C97),Females,Poland,220.84,224.48,219.75,222.0,228.81,224.35,222.37,223.67,220.57,216.1,202.88
Annual,Rate,Total,Malignant neoplasms (C00-C97),Females,Portugal,172.14,168.93,167.38,166.71,166.31,168.82,166.85,166.69,170.65,167.05,160.59
Annual,Rate,Total,Malignant neoplasms (C00-C97),Females,Romania,190.25,191.38,194.07,194.27,197.91,198.09,198.5,198.22,191.54,188.6,176.93
Annual,Rate,Total,Malignant neoplasms (C00-C97),Females,Serbia,229.11,233.46,228.97,232.39,226.3,232.41,233.01,233.2,227.0,225.51,223.63
Annual,Rate,Total,Malignant neoplasms (C00-C97),Females,Sweden,204.13,207.58,207.8,203.3,200.82,198.92,202.28,192.76,191.22,186.86,184.85
Annual,Rate,Total,Malignant neoplasms (C00-C97),Females,Slovenia,236.44,227.3,234.73,223.71,233.27,228.63,230.66,238.32,218.82,219.74,205.03
Annual,Rate,Total,Malignant neoplasms (C00-C97),Females,Slovakia,231.58,233.21,234.39,239.02,237.5,233.3,231.37,231.92,218.19,227.74,209.63
Annual,Rate,Total,Malignant neoplasms (C00-C97),Females,Türkiye,122.19 d,122.37 d,128.65 d,126.82 d,125.62 d,124.76 d,121.72 d,121.52 d,112.03 d,108.58 d,108.83 d
Annual,Rate,Total,Malignant neoplasms (C00-C97),Females,United Kingdom,240.54 d,242.05,236.4,234.8,231.85,232.97,228.58,224.0,:,:,:
