Time frequency,Unit of measure,Land use,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Square kilometre,Land area - total,Armenia,28493.0,28486.0,28483.0,28480.0,28478.0,28477.0,28470.0,28468.0,28468.0,28467.0,28466.0,28465.0,28465.0,28464.0,28464.0,28228 d,28204.0,28204.0
Annual,Square kilometre,Land area - total,Azerbaijan,82659.0,82637.0,82629.0,82627.0,82622.0,82655.0,82658.0,82658.0,82659.0,82663.0,82655.0,82670.0,82662.0,82654.0,82654.0,82646.0,82650.0,82650.0
Annual,Square kilometre,Land area - total,Belarus,202833.0,202904.0,202901.0,202902.0,202898.0,202902.0,202910.0,202899.0,202908.0,202973.0,202978.0,202988.0,202988.0,202980.0,202965.0,202976.0,:,:
Annual,Square kilometre,Land area - total,Moldova,32886 d,32884 d,32883 d,32883 d,32882 d,32850 d,32851 d,32854 d,32878 d,32879 d,32880 d,32885 d,32887 d,32882 d,32883 d,32882 d,32884 d,32880 d
Annual,Square kilometre,Land area - total,Ukraine,579337 d,579379 d,579361 d,579332 d,579323 d,579316 d,579313 d,579321 d,579319 d,579320 d,579285 d,579285 d,579288 d,579300 d,579397 d,579395 d,579395 d,579395 d
Annual,Square kilometre,Total area,Armenia,29743.0,29743.0,29743.0,29743.0,29743.0,29743.0,29743.0,29743.0,29743.0,29743.0,29743.0,29743.0,29743.0,29743.0,29743.0,29743.0,29743.0,29743.0
Annual,Square kilometre,Total area,Azerbaijan,86600.0,86600.0,86600.0,86600.0,86600.0,86600.0,86600.0,86600.0,86600.0,86600.0,86600.0,86600.0,86600.0,86600.0,86600.0,86600.0,86600.0,86600.0
Annual,Square kilometre,Total area,Belarus,207600.0,207600.0,207600.0,207600.0,207600.0,207600.0,207600.0,207600.0,207600.0,207600.0,207600.0,207600.0,207600.0,207600.0,207600.0,207609.0,:,:
Annual,Square kilometre,Total area,Georgia,69700.0,69700.0,69700.0,69700.0,69700.0,69700.0,69700.0,69700.0,69700.0,69700.0,69700.0,69700.0,69700.0,69700.0,69700.0,69700.0,69700.0,69700.0
Annual,Square kilometre,Total area,Moldova,33846 d,33846 d,33846 d,33846 d,33846 d,33846 d,33846 d,33846 d,33846 d,33846 d,33846 d,33846 d,33847 d,33847 d,33847 d,33847 d,33849 d,33849 d
Annual,Square kilometre,Total area,Ukraine,603548 d,603548 d,603548 d,603548 d,603548 d,603548 d,603548 d,603549 d,603549 d,603549 d,603549 d,603549 d,603549 d,603549 d,603549 d,603549 d,603549 d,603549 d
