Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,2021.0
Annual,Percentage,Austria,80.3
Annual,Percentage,Belgium,88.9
Annual,Percentage,Bulgaria,94.8
Annual,Percentage,Switzerland,85.0
Annual,Percentage,Cyprus,78.5
Annual,Percentage,Czechia,93.4
Annual,Percentage,Germany,: u
Annual,Percentage,Denmark,: u
Annual,Percentage,Euro area – 20 countries (from 2023),75.3 u
Annual,Percentage,Estonia,91.1
Annual,Percentage,Greece,94.3
Annual,Percentage,Spain,65.5
Annual,Percentage,European Union - 27 countries (from 2020),78.4 u
Annual,Percentage,Finland,73.9 u
Annual,Percentage,France,61.8
Annual,Percentage,Croatia,68.7
Annual,Percentage,Hungary,93.8 u
Annual,Percentage,Ireland,87.7
Annual,Percentage,Italy,96.0
Annual,Percentage,Lithuania,93.4
Annual,Percentage,Luxembourg,78.4
Annual,Percentage,Latvia,67.7
Annual,Percentage,Montenegro,94.5
Annual,Percentage,Malta,82.8
Annual,Percentage,Netherlands,85.6 u
Annual,Percentage,Poland,90.5
Annual,Percentage,Portugal,71.7
Annual,Percentage,Romania,94.0
Annual,Percentage,Serbia,90.7
Annual,Percentage,Sweden,0.0 n
Annual,Percentage,Slovenia,89.3
Annual,Percentage,Slovakia,89.7
