Time frequency,Business trend indicator,Statistical classification of economic activities in the European Community (NACE Rev. 2),Unit of measure,Geopolitical entity (reporting)\Time,Décembre 2023,Janvier 2024,Février 2024,Mars 2024,Avril 2024,Mai 2024,Juin 2024,Juillet 2024,Août 2024,Septembre 2024,Octobre 2024,Novembre 2024
Monthly,Production (volume),MIG - intermediate goods,"Index, 2021=100 (SCA)",Austria,96.4,92.3,94.3,93.9,93.5,93.5,92.0,93.1,91.4,90.1,90.8,91.0 p
Monthly,Production (volume),MIG - intermediate goods,"Index, 2021=100 (SCA)",Bosnia and Herzegovina,90.4,:,:,:,:,:,:,:,:,:,:,:
Monthly,Production (volume),MIG - intermediate goods,"Index, 2021=100 (SCA)",Belgium,85.5,85.0,87.6,89.9,88.8,87.0,87.6,86.7,88.3,87.8,88.9,89.6
Monthly,Production (volume),MIG - intermediate goods,"Index, 2021=100 (SCA)",Bulgaria,98.7,95.5 p,98.8 p,96.7 p,99.8 p,95.9 p,99.0 p,95.6,99.3,102.4,96.3,97.2 p
Monthly,Production (volume),MIG - intermediate goods,"Index, 2021=100 (SCA)",Switzerland,95.2,91.7,93.4,92.6,91.3,91.5,95.8,93.5,91.1,95.0,:,:
Monthly,Production (volume),MIG - intermediate goods,"Index, 2021=100 (SCA)",Cyprus,100.5,98.5,100.3,102.5,99.9,100.9,99.8,101.7,100.7,100.9,102.6,80.0
Monthly,Production (volume),MIG - intermediate goods,"Index, 2021=100 (SCA)",Czechia,93.3,93.3,94.9,93.5,93.2,92.2,92.9,91.8,92.9,91.7,92.1,91.7
Monthly,Production (volume),MIG - intermediate goods,"Index, 2021=100 (SCA)",Germany,83.9,87.6,88.7,88.7,88.0,85.7,87.7,85.0,84.9,83.6,84.3,84.7
Monthly,Production (volume),MIG - intermediate goods,"Index, 2021=100 (SCA)",Denmark,89.2,87.3,89.1,90.3,94.5,90.3,90.5,91.4,92.7,90.0,93.5,93.0
Monthly,Production (volume),MIG - intermediate goods,"Index, 2021=100 (SCA)",Euro area - 19 countries  (2015-2022),89.9,91.9,92.2,92.0,91.6,90.9,91.4,90.1,89.9,:,:,:
Monthly,Production (volume),MIG - intermediate goods,"Index, 2021=100 (SCA)",Euro area – 20 countries (from 2023),88.4,89.6,90.7,90.0,90.4,88.9,89.1,88.7,88.8,87.5,87.8,88.2
Monthly,Production (volume),MIG - intermediate goods,"Index, 2021=100 (SCA)",Estonia,80.1,74.5,77.8,77.1,75.1,79.2,77.5,77.2,77.0,76.6,78.3,80.2
