Time frequency,Kind of business partners,Sourcing activity,Statistical classification of economic activities in the European Community (NACE Rev. 2),Economical indicator for structural business statistics,Unit of measure,Geopolitical entity (reporting)\Time,2007.0,2012.0,2018.0,2021.0
Annual,Within enterprise group abroad,International sourcing in the reference period,Total - all NACE activities,Enterprises - number,Standardised percentage,Austria,:,:,0.58,3.63
Annual,Within enterprise group abroad,International sourcing in the reference period,Total - all NACE activities,Enterprises - number,Standardised percentage,Belgium,:,11.46,:,:
Annual,Within enterprise group abroad,International sourcing in the reference period,Total - all NACE activities,Enterprises - number,Standardised percentage,Bulgaria,:,6.25,0.3,0.91
Annual,Within enterprise group abroad,International sourcing in the reference period,Total - all NACE activities,Enterprises - number,Standardised percentage,Czechia,3.42,:,:,:
Annual,Within enterprise group abroad,International sourcing in the reference period,Total - all NACE activities,Enterprises - number,Standardised percentage,Germany,11.61,:,1.26,1.45
Annual,Within enterprise group abroad,International sourcing in the reference period,Total - all NACE activities,Enterprises - number,Standardised percentage,Denmark,15.02,18.25,8.02,6.27
Annual,Within enterprise group abroad,International sourcing in the reference period,Total - all NACE activities,Enterprises - number,Standardised percentage,Estonia,:,4.09,:,:
Annual,Within enterprise group abroad,International sourcing in the reference period,Total - all NACE activities,Enterprises - number,Standardised percentage,European Union (aggregate changing according to the context),9.25,5.36,2.19,2.28
Annual,Within enterprise group abroad,International sourcing in the reference period,Total - all NACE activities,Enterprises - number,Standardised percentage,Finland,17.48,15.94,7.84,6.02
Annual,Within enterprise group abroad,International sourcing in the reference period,Total - all NACE activities,Enterprises - number,Standardised percentage,France,:,0.54,:,:
Annual,Within enterprise group abroad,International sourcing in the reference period,Total - all NACE activities,Enterprises - number,Standardised percentage,Hungary,:,:,2.84,3.97
Annual,Within enterprise group abroad,International sourcing in the reference period,Total - all NACE activities,Enterprises - number,Standardised percentage,Ireland,22.1,9.13,:,3.14
Annual,Within enterprise group abroad,International sourcing in the reference period,Total - all NACE activities,Enterprises - number,Standardised percentage,Italy,9.28,:,2.7,2.05
Annual,Within enterprise group abroad,International sourcing in the reference period,Total - all NACE activities,Enterprises - number,Standardised percentage,Lithuania,:,0.63,0.6,1.2
Annual,Within enterprise group abroad,International sourcing in the reference period,Total - all NACE activities,Enterprises - number,Standardised percentage,Latvia,:,2.67,1.31,1.93
Annual,Within enterprise group abroad,International sourcing in the reference period,Total - all NACE activities,Enterprises - number,Standardised percentage,Malta,:,:,:,1.55
Annual,Within enterprise group abroad,International sourcing in the reference period,Total - all NACE activities,Enterprises - number,Standardised percentage,Netherlands,10.38,7.85,4.69,4.04
Annual,Within enterprise group abroad,International sourcing in the reference period,Total - all NACE activities,Enterprises - number,Standardised percentage,Norway,1.98,8.87,4.93,9.53
Annual,Within enterprise group abroad,International sourcing in the reference period,Total - all NACE activities,Enterprises - number,Standardised percentage,Poland,:,:,1.43,0.68
Annual,Within enterprise group abroad,International sourcing in the reference period,Total - all NACE activities,Enterprises - number,Standardised percentage,Portugal,7.83,8.77,4.33,2.77
Annual,Within enterprise group abroad,International sourcing in the reference period,Total - all NACE activities,Enterprises - number,Standardised percentage,Romania,:,1.26,1.88,:
Annual,Within enterprise group abroad,International sourcing in the reference period,Total - all NACE activities,Enterprises - number,Standardised percentage,Sweden,5.17,11.36,1.91,3.01
Annual,Within enterprise group abroad,International sourcing in the reference period,Total - all NACE activities,Enterprises - number,Standardised percentage,Slovenia,15.14,:,:,:
Annual,Within enterprise group abroad,International sourcing in the reference period,Total - all NACE activities,Enterprises - number,Standardised percentage,Slovakia,:,8.61,2.38,:
Annual,Outside enterprise group abroad,International sourcing in the reference period,Total - all NACE activities,Enterprises - number,Standardised percentage,Austria,:,:,7.38,5.89
Annual,Outside enterprise group abroad,International sourcing in the reference period,Total - all NACE activities,Enterprises - number,Standardised percentage,Belgium,:,4.6,:,:
Annual,Outside enterprise group abroad,International sourcing in the reference period,Total - all NACE activities,Enterprises - number,Standardised percentage,Bulgaria,:,4.3,0.32,0.24
Annual,Outside enterprise group abroad,International sourcing in the reference period,Total - all NACE activities,Enterprises - number,Standardised percentage,Czechia,1.16,:,:,:
Annual,Outside enterprise group abroad,International sourcing in the reference period,Total - all NACE activities,Enterprises - number,Standardised percentage,Germany,3.56,:,0.6,: u
Annual,Outside enterprise group abroad,International sourcing in the reference period,Total - all NACE activities,Enterprises - number,Standardised percentage,Denmark,14.95,13.59,5.33,3.86
Annual,Outside enterprise group abroad,International sourcing in the reference period,Total - all NACE activities,Enterprises - number,Standardised percentage,Estonia,:,5.64,:,:
Annual,Outside enterprise group abroad,International sourcing in the reference period,Total - all NACE activities,Enterprises - number,Standardised percentage,European Union (aggregate changing according to the context),4.12,3.59,1.29,0.54
Annual,Outside enterprise group abroad,International sourcing in the reference period,Total - all NACE activities,Enterprises - number,Standardised percentage,Finland,8.5,7.26,5.28,1.94
Annual,Outside enterprise group abroad,International sourcing in the reference period,Total - all NACE activities,Enterprises - number,Standardised percentage,France,:,2.27,:,:
Annual,Outside enterprise group abroad,International sourcing in the reference period,Total - all NACE activities,Enterprises - number,Standardised percentage,Hungary,:,:,1.6,2.24
Annual,Outside enterprise group abroad,International sourcing in the reference period,Total - all NACE activities,Enterprises - number,Standardised percentage,Ireland,21.63,3.34,:,3.4
Annual,Outside enterprise group abroad,International sourcing in the reference period,Total - all NACE activities,Enterprises - number,Standardised percentage,Italy,4.17,:,0.77,0.61
Annual,Outside enterprise group abroad,International sourcing in the reference period,Total - all NACE activities,Enterprises - number,Standardised percentage,Lithuania,:,0.21,0.32,0.36
Annual,Outside enterprise group abroad,International sourcing in the reference period,Total - all NACE activities,Enterprises - number,Standardised percentage,Latvia,:,5.0,0.69,0.78
Annual,Outside enterprise group abroad,International sourcing in the reference period,Total - all NACE activities,Enterprises - number,Standardised percentage,Malta,:,:,:,0.0
Annual,Outside enterprise group abroad,International sourcing in the reference period,Total - all NACE activities,Enterprises - number,Standardised percentage,Netherlands,4.36,2.7,1.72,0.09
Annual,Outside enterprise group abroad,International sourcing in the reference period,Total - all NACE activities,Enterprises - number,Standardised percentage,Norway,1.2,4.75,1.99,2.06
Annual,Outside enterprise group abroad,International sourcing in the reference period,Total - all NACE activities,Enterprises - number,Standardised percentage,Poland,:,:,0.6,0.09
Annual,Outside enterprise group abroad,International sourcing in the reference period,Total - all NACE activities,Enterprises - number,Standardised percentage,Portugal,5.87,8.49,4.51,0.59
Annual,Outside enterprise group abroad,International sourcing in the reference period,Total - all NACE activities,Enterprises - number,Standardised percentage,Romania,:,1.24,2.61,:
Annual,Outside enterprise group abroad,International sourcing in the reference period,Total - all NACE activities,Enterprises - number,Standardised percentage,Sweden,1.19,3.69,1.36,0.24
Annual,Outside enterprise group abroad,International sourcing in the reference period,Total - all NACE activities,Enterprises - number,Standardised percentage,Slovenia,6.79,:,:,:
Annual,Outside enterprise group abroad,International sourcing in the reference period,Total - all NACE activities,Enterprises - number,Standardised percentage,Slovakia,:,4.07,1.89,:
Annual,Total,International sourcing in the reference period,Total - all NACE activities,Enterprises - number,Standardised percentage,Austria,:,:,7.96,4.19
Annual,Total,International sourcing in the reference period,Total - all NACE activities,Enterprises - number,Standardised percentage,Belgium,:,16.38,:,:
Annual,Total,International sourcing in the reference period,Total - all NACE activities,Enterprises - number,Standardised percentage,Bulgaria,:,9.38,0.57,1.02
Annual,Total,International sourcing in the reference period,Total - all NACE activities,Enterprises - number,Standardised percentage,Czechia,4.5,:,:,:
Annual,Total,International sourcing in the reference period,Total - all NACE activities,Enterprises - number,Standardised percentage,Germany,13.23,:,1.69,1.62
Annual,Total,International sourcing in the reference period,Total - all NACE activities,Enterprises - number,Standardised percentage,Denmark,25.34,25.24,11.83,8.63
Annual,Total,International sourcing in the reference period,Total - all NACE activities,Enterprises - number,Standardised percentage,Estonia,:,8.75,:,:
Annual,Total,International sourcing in the reference period,Total - all NACE activities,Enterprises - number,Standardised percentage,European Union (aggregate changing according to the context),11.69,9.35,3.21,2.69
Annual,Total,International sourcing in the reference period,Total - all NACE activities,Enterprises - number,Standardised percentage,Finland,21.97,20.62,10.66,7.12
Annual,Total,International sourcing in the reference period,Total - all NACE activities,Enterprises - number,Standardised percentage,France,:,5.91,:,:
Annual,Total,International sourcing in the reference period,Total - all NACE activities,Enterprises - number,Standardised percentage,Hungary,:,:,4.0,5.36
Annual,Total,International sourcing in the reference period,Total - all NACE activities,Enterprises - number,Standardised percentage,Ireland,33.62,11.76,:,7.49
Annual,Total,International sourcing in the reference period,Total - all NACE activities,Enterprises - number,Standardised percentage,Italy,11.95,:,3.3,2.44
Annual,Total,International sourcing in the reference period,Total - all NACE activities,Enterprises - number,Standardised percentage,Lithuania,:,0.74,0.88,1.52
Annual,Total,International sourcing in the reference period,Total - all NACE activities,Enterprises - number,Standardised percentage,Latvia,:,6.83,1.06,2.47
Annual,Total,International sourcing in the reference period,Total - all NACE activities,Enterprises - number,Standardised percentage,Malta,:,:,:,3.48
