Time frequency,Unit of measure,Age class,Sex,Geopolitical entity (reporting)\Time,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Less than 65 years,Females,Albania,:,:,13.8,13.2,12.6,12.1,12.0,:,:
Annual,Percentage,Less than 65 years,Females,Austria,6.7,7.3,7.7,6.3,6.5,5.9,7.7,5.7,5.2
Annual,Percentage,Less than 65 years,Females,Belgium,16.0,17.1,15.8,14.2,13.2,12.6,12.1,12.0,11.2
Annual,Percentage,Less than 65 years,Females,Bulgaria,11.2,11.7,10.7,8.6,9.1,8.3,8.6,8.9,7.1
Annual,Percentage,Less than 65 years,Females,Switzerland,5.8,5.8,6.1,6.1,6.6,5.7,5.9,5.8,5.3
Annual,Percentage,Less than 65 years,Females,Cyprus,10.9,10.6,9.5,8.4,7.1,5.6,5.8,4.4,4.8
Annual,Percentage,Less than 65 years,Females,Czechia,7.2,7.0,5.8,4.5,4.6,4.7,5.7,4.9,5.4
Annual,Percentage,Less than 65 years,Females,Germany,9.7,10.0,8.9,8.4,8.0,8.5 b,9.8,10.0,10.0
Annual,Percentage,Less than 65 years,Females,Denmark,12.5,11.7,10.0,10.7,9.5,9.7,10.3,9.3,11.1
Annual,Percentage,Less than 65 years,Females,Euro area - 19 countries  (2015-2022),11.2,11.2,10.2,9.6,9.3,9.6,10.4,:,:
Annual,Percentage,Less than 65 years,Females,Euro area – 20 countries (from 2023),11.2,11.2,10.2,9.6,9.2,9.6,10.5,9.6,9.1
Annual,Percentage,Less than 65 years,Females,Estonia,5.5,4.7,4.4,4.8,4.6,4.0,4.5,4.5,5.4
Annual,Percentage,Less than 65 years,Females,Greece,16.7,17.1,15.5,15.1,13.9,13.0,12.9,10.3,9.2
Annual,Percentage,Less than 65 years,Females,Spain,15.1,14.9,13.1,11.4,11.9,10.5,12.2,9.4,8.7
Annual,Percentage,Less than 65 years,Females,European Union - 27 countries (from 2020),10.4,10.4,9.4,8.9,8.5,8.7,9.4,8.6,8.3
