Time frequency,Unit of measure,Sex,Age class,Activity and employment status,International Standard Classification of Occupations 2008 (ISCO-08),Geopolitical entity (reporting)\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Total,Austria,14.1,13.7,12.6,12.1,11.7,11.4,11.3,11.0,10.4,9.7,8.4 b,8.1,7.9
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Total,Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,7.9 b,7.8,7.2
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Total,Belgium,9.2 b,9.3,10.4,10.1,10.0,9.8,10.1 b,9.3,9.5,9.5,9.3 b,9.3,8.6
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Total,Bulgaria,3.8 b,3.1,2.7,2.3,1.9,1.9,1.4,1.3,1.1 b,1.0,1.2 b,0.7,0.4
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Total,Switzerland,5.0,4.7,4.7,4.4,4.3,4.3,4.1,4.0,3.8,3.6,7.8 b,7.2,7.2
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Total,Cyprus,12.4,12.2,13.0,12.1,12.6,12.5,11.7,10.7,10.0,9.3,9.9 b,9.7,9.9
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Total,Czechia,15.0 b,14.3,13.2,12.1,12.2,11.8,11.5,11.4,11.0,9.4,6.3 b,8.1,7.4
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Total,Germany,9.9 b,10.0 b,9.4,8.9,8.6,8.2,7.7,7.2,6.9,6.0 b,6.4 b,6.0,5.3
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Total,Denmark,5.3,5.3,5.2,5.2,5.4,5.1 b,5.1 b,4.7,4.1,4.2,6.0 b,5.6,5.1 b
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Total,Euro area – 20 countries (from 2023),10.7,10.5,10.3,10.0,9.8,9.6,9.3,9.0,8.7,8.0,8.0 b,7.8,7.4
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Total,Estonia,4.7,4.6,4.4,4.2,4.0,3.7,3.6,3.6,3.6,2.9,2.9 b,2.2,1.9
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Total,Greece,16.8,17.2,18.3,18.5,18.6,19.4,18.2,17.2,16.6,16.1,14.3 b,12.6,11.6
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Total,Spain,10.8,10.5,10.8,10.5,9.8,9.1,8.4,8.0,7.2,6.4,7.0 bd,7.3 d,6.7 d
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Total,European Union - 27 countries (from 2020),10.4,10.1,9.9,9.7,9.4,9.1,8.8,8.5,8.2,7.4,7.4 b,7.3,6.9
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Total,Finland,8.2,8.0,7.6,7.8,7.8,7.8,7.4,7.5,7.5,7.0,6.4 b,6.0,5.6
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Total,France,14.0,13.7,12.8,12.2 b,12.0,12.3,11.9,11.9,12.0,11.7,10.0 bd,10.2 d,9.9 d
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Total,Croatia,7.0,5.4 b,4.9,4.8,6.0,5.8,5.5,6.2,6.3,5.8,4.6 b,4.5,3.7
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Total,Hungary,4.0,3.8,4.0,4.6,4.7,3.7,3.8,3.3 b,3.0,1.9,3.0 b,2.6,2.3
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Total,Ireland,7.3,7.0,7.0,7.3,8.2,8.2,9.3 b,9.8,10.0,9.4,8.6 b,9.2,7.8
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Total,Iceland,18.4,18.6,19.3,19.4,20.0,19.2,17.7,17.1,15.3,14.0 b,14.0 b,13.5,13.3
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Total,Italy,10.7,9.8,10.1,10.3,10.5,10.3,10.6,10.6 b,10.1,8.9,9.7 b,9.4,9.6
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Total,Lithuania,0.9,0.7,0.5,0.6,0.9,0.8,0.9,0.7,0.7,0.9,0.8 b,0.8,1.1
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Total,Luxembourg,5.2,5.9,5.6,6.2,5.4 b,5.4,5.3,4.1,4.2,3.9,7.6 b,6.6,6.0
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Total,Latvia,3.7,3.3,3.1,3.2,3.4,3.3,2.5,2.3,2.1,2.2,1.6 b,1.3,1.1
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Total,Montenegro,9.8,10.9,10.4,10.0,11.4,8.5,9.3,12.6,13.4,12.1,:,:,:
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Total,North Macedonia,15.0,11.9,11.3,10.9,12.0,9.4,10.5,9.6,6.8,4.2,:,:,:
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Total,Malta,8.6,8.3,7.5,7.3,7.8,7.1,7.2,8.3,9.9,8.8,5.5 b,4.5,4.6
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Total,Netherlands,5.0,4.7,4.6 b,4.9,4.8,4.8,4.6,4.6,4.5,3.8,5.9 b,5.8,5.5
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Total,Norway,3.1,3.3,3.3,3.5,3.1,3.2,3.0,2.9,2.6,2.4,4.3 b,4.9,4.9
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Total,Poland,14.4,14.7,14.5,14.0,13.2,12.7,11.8,11.0,10.5 b,9.1,7.8 b,7.8,7.5
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Total,Portugal,12.1 b,12.6,12.7,12.9,11.4,10.8,11.0,10.4,10.4,8.7,9.7 b,9.2,9.0
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Total,Romania,3.3,3.4,3.4,3.2,2.7,2.6,2.3,2.0,2.2,2.1,2.6 b,2.2,1.8
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Total,Serbia,16.7,17.5,15.7,14.5 b,13.2,10.7,9.0,8.1,7.6,11.2,10.9 b,10.3,8.4
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Total,Sweden,4.9,4.9,4.8,4.6,4.6,4.4,4.2,4.1 b,4.1,3.6,7.6 b,7.5,7.3
