Time frequency,Unit of measure,Hazard class,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Thousand tonnes,Hazardous,Algeria,:,:,:,253.2 de,257.7 de,262.4 de,267.2 de,272.1 de,277.3 de,282.6 de,288.1 de,293.9 de,299.8 de,306.0 de,312.4 de,319.0 de,325.9 de,333.1 de
Annual,Thousand tonnes,Hazardous,Egypt,:,:,:,:,:,:,3845.3 e,5583.0 e,9476.1 e,3071.6 e,3097.1 e,3490.4 e,:,:,:,:,:,:
Annual,Thousand tonnes,Hazardous,Israel,321.0,311.1,291.9,321.0,303.6,305.6,324.3,356.2,345.3,331.1,310.9,296.6,317.5,322.7,349.7,343.5,374.7,390.8
Annual,Thousand tonnes,Hazardous,Morocco,:,:,:,0.3,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Hazardous,Palestine*,0.0 e,0.0 e,0.0 e,0.0 e,0.0 e,0.0 e,0.0 e,0.0 e,0.0 e,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Hazardous and non-hazardous - total,Algeria,:,:,10300.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Hazardous and non-hazardous - total,Egypt,54800.0,58300.0,62000.0,66000.0,70000.0,72800.0,42471.1 bd,28702.5 d,53062.0 di,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Hazardous and non-hazardous - total,Morocco,:,:,:,:,:,7946.0,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Hazardous and non-hazardous - total,Palestine*,1057.0 de,1080.0 de,1119.0 de,1149.0 de,1178.0 de,1209.0 de,1239.0 de,1268.0 de,1298.0 de,1328.0 de,1358.0 de,1388.0 de,1417.0 de,1453.0 de,1489.0 de,1526.0 de,:,1701.0 e
