Time frequency,Indicator used in Euro_Med,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
Annual,"Educational attainment at age 25 and above, male, ISCED 3-4 (%)",Morocco,10.3,10.6,10.8,11.3,11.8,12.0,12.3,12.3,12.1,12.7,12.7,12.8,:,:
Annual,"Educational attainment at age 25 and above, male, ISCED 3-4 (%)",Palestine*,15.8,19.9,16.3,16.7,16.3,15.6,15.9,16.4,16.5,15.7,15.4,15.5,16.1,17.0
Annual,"Educational attainment at age 25 and above, male, ISCED 5-6 (%)",Algeria,:,7.8,:,8.6,:,:,:,10.1,11.0,:,12.0,:,:,:
Annual,"Educational attainment at age 25 and above, male, ISCED 5-6 (%)",Egypt,16.0,16.0 b,15.9 b,16.4,17.7,17.0,17.0,17.4 p,16.5 p,16.3 p,16.8 p,16.6 p,18.5 p,:
Annual,"Educational attainment at age 25 and above, male, ISCED 5-6 (%)",Israel,38.9,38.5,38.9,39.6,40.2,40.5,41.9,41.0 b,42.2,43.4,44.0,44.7,45.4,45.2
Annual,"Educational attainment at age 25 and above, male, ISCED 5-6 (%)",Lebanon,:,:,17.5 e,:,19.5,:,:,18.6,:,:,:,:,:,:
Annual,"Educational attainment at age 25 and above, male, ISCED 5-6 (%)",Morocco,7.8,9.2,8.8,8.4,9.3,9.4,9.2,9.2,9.4,9.2,9.8,10.6,:,:
Annual,"Educational attainment at age 25 and above, male, ISCED 5-6 (%)",Palestine*,19.7,14.6,12.0,12.0,22.3,22.3,23.5,23.9,23.7,23.7,24.3,24.2,24.3,25.0
Annual,"Educational attainment at age 25 and above, female, ISCED 0-1 (%)",Algeria,:,18.4,:,15.7,:,:,:,17.6,17.9,:,16.6,:,:,:
Annual,"Educational attainment at age 25 and above, female, ISCED 0-1 (%)",Egypt,13.8 d,9.7 bd,8.7 bd,9.6 d,6.6 d,6.2 d,9.9 d,10.5 p,9.5 dp,5.8 dp,7.4 dp,5.4 p,2.9 p,:
Annual,"Educational attainment at age 25 and above, female, ISCED 0-1 (%)",Israel,14.4,13.8,13.0,12.7,12.4,12.1,11.6,7.2 b,6.9,6.8,6.5,6.1,5.9,6.1
Annual,"Educational attainment at age 25 and above, female, ISCED 0-1 (%)",Lebanon,:,:,28.4 e,:,24.9,:,:,27.8,:,:,:,:,:,:
Annual,"Educational attainment at age 25 and above, female, ISCED 0-1 (%)",Morocco,14.4,14.4,14.7,14.8,15.0,16.6,16.3,16.2,16.2,16.7,16.7,:,:,:
