Time frequency,Business trend indicator,Statistical classification of economic activities in the European Community (NACE Rev. 2),Seasonal adjustment,Unit of measure,Geopolitical entity (reporting)\Time,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Production (volume),Total business economy except financial and insurance activities,"Calendar adjusted data, not seasonally adjusted data","Index, 2015=100",Euro area - 19 countries  (2015-2022),:,:,:,:,:,100.0 i,102.6 i,105.9 i,108.2 i,109.5 i,102.1,107.5 i,111.7 i,:
Annual,Production (volume),Total business economy except financial and insurance activities,"Calendar adjusted data, not seasonally adjusted data","Index, 2015=100",Euro area – 20 countries (from 2023),:,:,:,:,:,100.0 i,102.6 i,105.9 i,108.2 i,109.5 i,102.1,107.6 i,111.8 i,:
Annual,Production (volume),Total business economy except financial and insurance activities,"Calendar adjusted data, not seasonally adjusted data","Index, 2015=100",European Union - 27 countries (from 2020),:,:,:,:,:,100.0 i,102.7 i,106.3 i,108.9 i,110.5 i,103.3 i,109.1 i,114.1 i,:
Annual,Production (volume),Total business economy except financial and insurance activities,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Austria,:,:,:,:,:,:,:,:,:,:,:,100.0 p,105.8 p,104.7 p
Annual,Production (volume),Total business economy except financial and insurance activities,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Belgium,:,:,:,:,:,:,:,:,:,:,:,100.0 p,103.5 p,100.3 p
Annual,Production (volume),Total business economy except financial and insurance activities,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Bulgaria,:,:,:,:,:,:,:,:,:,:,:,100.0 i,110.3 i,106.6 p
Annual,Production (volume),Total business economy except financial and insurance activities,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Cyprus,:,:,:,:,:,:,:,:,:,:,:,: @C,: @C,: @C
Annual,Production (volume),Total business economy except financial and insurance activities,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Germany,:,:,:,:,:,96.3 p,99.0 p,101.9 p,103.4 p,103.3 p,96.1 p,100.0 p,103.1 p,102.6 p
Annual,Production (volume),Total business economy except financial and insurance activities,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Euro area - 19 countries  (2015-2022),:,:,:,:,:,94.0 i,96.3 i,99.5 i,101.5 i,102.3 i,94.6 i,100.0,105.1,105.3
Annual,Production (volume),Total business economy except financial and insurance activities,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Euro area – 20 countries (from 2023),:,:,:,:,:,94.0 i,96.3 i,99.5 i,101.5 i,102.4 i,94.6 i,100.0,104.9,105.1
Annual,Production (volume),Total business economy except financial and insurance activities,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Estonia,:,:,:,:,:,:,:,:,:,:,88.8 i,100.0 i,105.8 i,100.6 i
Annual,Production (volume),Total business economy except financial and insurance activities,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Greece,:,:,:,:,:,:,:,:,:,:,:,100.0 p,109.5 p,114.8 p
Annual,Production (volume),Total business economy except financial and insurance activities,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",European Union - 27 countries (from 2020),:,:,:,:,:,92.6 i,95.0 i,98.4 i,100.6 i,101.7 i,94.4 i,100.0,105.2,105.3
Annual,Production (volume),Total business economy except financial and insurance activities,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Finland,84.9 i,88.3 i,87.9 i,86.0 i,86.2 i,87.3 i,90.7 i,94.6 i,97.4 i,99.3 i,95.6 i,100.0 i,103.8 i,101.8 i
Annual,Production (volume),Total business economy except financial and insurance activities,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Croatia,86.1 i,84.0 i,80.5 i,80.3 i,80.1 i,83.8 i,86.7 i,89.2 i,96.2 i,99.2 i,89.2 i,100.0 i,107.5 i,109.0 i
Annual,Production (volume),Total business economy except financial and insurance activities,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Italy,:,:,:,:,:,:,:,:,:,:,:,100.0 i,105.5 i,106.0 i
Annual,Production (volume),Total business economy except financial and insurance activities,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Lithuania,:,:,:,:,:,:,:,:,:,:,:,100.0 i,104.1 i,104.3 i
