Time frequency,Unit of measure,Degree of urbanisation,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Cities,Austria,8.3 b,10.3,10.7 b,9.9,8.4,8.0,8.4,7.2 b,6.1,5.3,5.4,5.7,6.4,7.1,7.5,6.7,7.7 b,7.4,7.9
Annual,Percentage,Cities,Belgium,15.4 b,15.0,15.0,14.1,12.1,11.8,11.6 b,11.1 b,10.0,9.6,9.8,11.4,11.4 b,8.3,9.1,9.2,9.1 b,9.7,9.6
Annual,Percentage,Cities,Bulgaria,:,9.8,9.7,10.3 b,9.7,8.6 b,6.3 b,5.6 b,5.4,4.8,5.4,6.3,6.6,6.9,7.6 b,7.2,7.1 b,6.2,5.0
Annual,Percentage,Cities,Switzerland,:,:,:,:,:,11.3 b,10.7,8.5 b,8.4,7.3,7.4,7.5,8.8,8.6,7.9,7.5,6.3 b,6.0,6.1
Annual,Percentage,Cities,Cyprus,19.4 b,17.2,15.7,13.0,11.6 b,11.3,10.3,10.0 b,9.6,6.7,6.1,7.4,7.9,7.6,8.1,8.4,9.8 b,10.5,8.6
Annual,Percentage,Cities,Czechia,15.8 b,17.1 b,17.6,17.8,16.9,18.0,17.9 b,17.5 b,16.3,16.1,16.1,15.7,16.3,15.8,14.4,14.3,13.9 b,13.5,12.5
Annual,Percentage,Cities,Germany,11.1 b,10.9 b,11.0,11.2,9.9,10.1 b,9.7 b,8.6 b,7.9,7.7,7.5,7.2,7.1,7.3,7.3,6.7 b,7.0 b,7.8,7.9
Annual,Percentage,Cities,Denmark,5.6 b,6.1,6.9,7.2 b,5.1,4.1,4.2,4.1 b,5.1,6.3,5.9,5.0 b,5.1 b,5.3,5.0,4.7,4.5 b,2.3,3.6 b
Annual,Percentage,Cities,Euro area – 20 countries (from 2023),15.9 b,15.5,15.2,14.3,12.2,12.0,11.8,9.8 b,9.1,9.0,9.1,9.2,9.7,9.6,9.2,8.8,8.4 b,9.0,8.7
Annual,Percentage,Cities,Estonia,5.1 b,7.2,9.2,10.4,3.1,0.2,5.9,7.3 b,8.2,9.9,8.9,10.2,7.4,7.5,9.3,5.4,3.9 b,3.5,4.9
Annual,Percentage,Cities,Greece,28.0 b,26.6,26.8,25.6,22.3 b,21.1,19.2,16.4 b,15.9,14.2,14.4,14.9,17.1,19.1,17.1,14.8,16.7 b,17.1,15.9
Annual,Percentage,Cities,Spain,21.1 b,20.4 b,18.1,15.8,11.4,10.7,9.7,7.8 b,7.0,7.0,7.9,8.2,9.4,10.0,9.7,9.2,8.0 bd,8.9 d,8.0 d
Annual,Percentage,Cities,European Union - 27 countries (from 2020),15.5 b,14.9,14.8,14.2,12.2,12.0,11.8,10.1 b,9.5,9.5,9.4,9.5,9.8,9.8,9.6,9.2,8.6 b,8.9,8.5
Annual,Percentage,Cities,Finland,3.2 b,3.8,3.4 b,5.0 b,3.3 b,4.0,4.4,3.2 b,2.0,1.4,1.8,4.0,4.7,3.9,3.1,3.9,2.6 b,1.6,0.3
Annual,Percentage,Cities,France,10.8 b,10.0 b,10.0,9.4,8.5,9.4,9.4,8.5 b,7.9 b,7.3 b,6.3,6.9,8.0,7.8,7.0,6.8,5.8 bd,6.1 d,6.2 d
Annual,Percentage,Cities,Croatia,12.0 b,10.6 b,13.2,12.2,8.0,8.5,9.1,5.1 b,1.8,7.0,6.4,5.1,3.2,3.9,5.1,5.9,4.7 b,4.0,2.5
Annual,Percentage,Cities,Hungary,12.4 b,11.8,13.1,13.3,12.0,10.1,11.5,10.4 b,11.6,13.0,13.8,12.6,14.0,13.3 b,14.2,13.7,8.3 b,7.1,7.0
Annual,Percentage,Cities,Ireland,16.1 b,16.4,15.2 b,13.7,8.8,7.4,7.2,6.6 b,8.4,10.2,10.4,10.0,10.5 b,9.7,10.9,11.8,6.8 b,9.9,8.4
Annual,Percentage,Cities,Iceland,:,:,:,:,:,:,:,2.2 b,5.4,5.6,5.2,6.8,6.9,5.6,4.6,5.2 b,6.9 b,4.8,5.7
Annual,Percentage,Cities,Italy,24.3 b,23.9,24.4,23.0,22.1,21.3,20.8,17.3 b,16.1,16.1,17.1,17.1,16.7,16.3 b,15.3,16.1,16.1 b,16.9,16.7
Annual,Percentage,Cities,Lithuania,7.2 b,6.0,7.1,4.8,-2.0,-2.8,0.4,2.1 b,3.7,3.3,2.2,2.6,0.2,2.4,1.8,0.7,0.9 b,0.0,1.2
Annual,Percentage,Cities,Luxembourg,17.2 b,14.8,13.1 b,13.8,17.1 b,16.0,17.2,15.3 b,10.1,11.9,11.1 b,7.2,6.7,4.6,8.1,7.3,6.9 b,3.7,5.4
Annual,Percentage,Cities,Latvia,10.8 b,10.7,10.8,8.0,0.8,-0.8,2.8,4.0 b,3.8,5.1,4.0,2.3,5.0,5.1,3.6,3.0,6.0 b,5.1,2.2
Annual,Percentage,Cities,North Macedonia,:,:,:,:,:,:,:,:,:,:,:,:,:,17.3,17.8,15.5,:,:,:
Annual,Percentage,Cities,Malta,44.8 b,43.9,41.1,38.5,37.5,36.7,35.5,32.9 b,27.6,27.0,27.1,26.7,26.4,24.2,21.4,17.1,18.8 b,15.1,13.4
Annual,Percentage,Cities,Netherlands,15.1 b,15.1 b,14.3,14.2,12.8,12.0,11.4,10.0 b,9.6 b,10.5,9.7,9.9,9.4,9.3,8.7,8.5,7.5 b,8.1,7.7
Annual,Percentage,Cities,Norway,8.0 b,:,:,:,:,6.2,4.7,4.4 b,4.1,4.2,3.6,2.7,2.1,3.7,5.0,3.9,4.2 b,4.6,5.5
Annual,Percentage,Cities,Poland,:,12.7,13.5,14.1,13.1,12.4 b,13.0,12.2 b,11.7,12.0,11.7,11.1,11.7,11.6,12.1 b,11.2,10.2 b,9.2,8.5
Annual,Percentage,Cities,Portugal,9.6 b,10.4,8.9,9.3,8.4,7.4,4.6 b,2.4 b,3.2,4.7,4.2,3.9,4.9,4.7,4.3,3.3,3.9 b,5.1,4.0
Annual,Percentage,Cities,Romania,:,:,:,:,12.0,12.5 b,12.8,13.7 b,13.6,14.4,12.8,12.2,11.4,13.1,13.1,12.3,11.0 b,9.6,10.8
Annual,Percentage,Cities,Serbia,:,:,:,:,:,:,:,:,:,10.5 b,10.2,9.0,8.9,11.0,10.6,9.7,9.9 b,9.0,8.5
Annual,Percentage,Cities,Sweden,4.5 b,4.5,5.0,4.7,4.8,5.8,4.9,4.2 b,5.2,4.7,4.2,3.7,4.3,3.8 b,4.7,4.9,3.8 b,4.7,4.1
Annual,Percentage,Cities,Slovenia,8.0 b,10.6,10.8,7.3,3.4,5.9,5.4,5.3 b,4.4,5.6,6.2,4.9,6.0,5.5,3.6,4.0,4.9 b,4.4,5.9
Annual,Percentage,Cities,Slovakia,:,:,16.3,14.6,14.4,13.0,16.0 b,15.1 b,13.2,14.7,15.9,15.4,13.4,13.3,11.7,12.5,5.0 b,7.2,3.5
Annual,Percentage,Cities,United Kingdom,13.6 b,13.2 b,13.8 b,13.1 b,11.3,11.4,11.7,11.9 b,11.4,12.0,11.6,11.6,11.0,10.9,9.9,:,:,:,:
Annual,Percentage,Towns and suburbs,Austria,14.2 b,13.0,14.3 b,13.6,10.5,10.5,10.6,10.9 b,10.4,8.1,9.3,9.4,8.4,9.4,9.1,8.7,8.9 b,8.2,9.1
Annual,Percentage,Towns and suburbs,Belgium,15.7 b,14.9,13.9,12.3,12.2,11.8,11.3 b,10.8 b,10.1,8.7,7.2,8.5,9.2 b,8.6,7.7,8.1,7.7 b,6.9,6.5
Annual,Percentage,Towns and suburbs,Bulgaria,:,10.6,9.3,12.5 b,10.9,8.3 b,4.9 b,3.7 b,4.8,5.9,6.6,7.1,8.4,8.5,7.5 b,7.9,6.7 b,6.3,8.2
Annual,Percentage,Towns and suburbs,Switzerland,:,:,:,:,:,14.0 b,13.2,12.9 b,12.0,10.6,10.6,9.3,9.9,10.1,9.4,8.7,8.3 b,9.1,8.6
Annual,Percentage,Towns and suburbs,Cyprus,25.4 b,25.1,21.4,21.9,18.6 b,14.7,13.6,12.6 b,14.0,11.4,10.8,14.5,11.8,14.1,13.1,14.6,13.5 b,9.1,8.2
Annual,Percentage,Towns and suburbs,Czechia,19.6 b,18.6 b,19.1,20.0,19.4,19.7,18.5 b,18.0 b,17.1,17.7,17.3,16.1,15.7,15.0,14.3,14.8,15.5 b,15.9,14.1
Annual,Percentage,Towns and suburbs,Germany,14.7 b,13.9 b,14.3,13.9,12.3,11.8 b,11.5 b,11.4 b,10.7,10.1,9.6,9.0,8.6,8.6,8.7,8.0 b,8.0 b,8.3,7.9
Annual,Percentage,Towns and suburbs,Denmark,9.0 b,11.0,8.6,8.4 b,3.8,5.3,7.7,7.3 b,6.5,6.9,8.8,7.4 b,7.1 b,7.6,8.5,8.4,7.6 b,5.3,5.5 b
Annual,Percentage,Towns and suburbs,Euro area – 20 countries (from 2023),19.0 b,18.1,17.8,16.9,15.3,14.8,14.4,13.8 b,12.9,12.6,12.7,12.8,12.6,12.7,12.6,12.3,12.3 b,12.0,11.6
Annual,Percentage,Towns and suburbs,Estonia,4.7 b,20.7,16.7,1.4,-5.2,5.8,11.4,7.8 b,5.6,8.4,9.2,9.5,7.1,9.9,7.9,5.0,4.4 b,1.8,-1.3
Annual,Percentage,Towns and suburbs,Greece,35.9 b,35.0,33.7,33.7,22.4 b,22.3,21.0,21.1 b,21.1,20.1,19.5,21.1,21.0,21.8,21.6,20.6,20.8 b,21.9,19.7
Annual,Percentage,Towns and suburbs,Spain,27.2 b,25.4 b,24.8,20.5,14.8,13.7,12.6,11.2 b,11.8,12.8,13.2,13.1,14.5,14.4,14.2,14.2,14.2 bd,13.7 d,13.3 d
Annual,Percentage,Towns and suburbs,European Union - 27 countries (from 2020),18.6 b,17.7,17.4,16.5,15.1,14.6,14.2,13.6 b,13.0,12.7,12.8,13.0,12.9,13.0,13.0,12.8,12.6 b,12.2,11.6
Annual,Percentage,Towns and suburbs,Finland,5.1 b,6.2,5.4 b,6.2 b,-0.2 b,0.5,2.0,3.4 b,3.0,1.8,2.2,2.2,2.5,4.0,3.4,2.2,1.6 b,0.4,-0.4
Annual,Percentage,Towns and suburbs,France,11.8 b,11.2 b,9.0,9.7,9.5,9.0,9.7,9.6 b,8.2 b,8.2 b,9.0,8.9,8.3,7.9,8.1,7.9,8.1 bd,6.8 d,6.4 d
Annual,Percentage,Towns and suburbs,Croatia,17.8 b,18.4 b,19.9,20.4,17.9,14.9,16.6,10.2 b,8.7,7.1,7.4,8.5,10.6,12.1,10.6,12.5,11.7 b,8.7,6.0
Annual,Percentage,Towns and suburbs,Hungary,13.7 b,16.1,15.3,12.9,12.3,11.7,12.1,11.2 b,12.7,13.3,12.3,14.7,17.4,16.9 b,16.2,17.2,10.8 b,10.1,8.9
Annual,Percentage,Towns and suburbs,Ireland,:,:,:,:,:,:,:,8.6 b,9.4,9.7,11.1,10.7,12.1 b,13.3,12.4,12.6,12.7 b,10.7,8.5
Annual,Percentage,Towns and suburbs,Iceland,:,:,:,:,:,3.8 b,3.4,4.2 b,8.3,7.1,9.6,6.5,3.9,9.0,7.8,6.1 b,10.5 b,5.4,8.1
Annual,Percentage,Towns and suburbs,Italy,27.7 b,27.1,26.7,25.7,25.3,24.9,24.4,22.3 b,21.1,20.5,20.9,21.2,21.0,21.4 b,21.3,21.3,20.9 b,21.4,20.8
Annual,Percentage,Towns and suburbs,Lithuania,:,:,:,:,:,:,:,8.6 b,7.3,4.3,4.1,3.4,1.5,1.9,6.0,3.4,2.0 b,4.2,-1.1
Annual,Percentage,Towns and suburbs,Luxembourg,21.7 b,21.4,18.9 b,18.5,17.7 b,16.8,15.9,13.4 b,13.7,15.4,12.3 b,11.8,9.5,9.4,8.8,6.0,7.3 b,5.8,7.9
Annual,Percentage,Towns and suburbs,Latvia,16.2 b,14.0,18.6,9.3,-5.4,2.8,1.5,3.3 b,3.3,3.6,5.2,2.1,3.9,3.8,4.5,2.5,0.8 b,3.3,5.7
Annual,Percentage,Towns and suburbs,North Macedonia,:,:,:,:,:,:,:,:,:,:,:,:,:,21.7,20.6,19.4,:,:,:
Annual,Percentage,Towns and suburbs,Malta,47.5 b,47.2,45.4,41.3,35.8,36.6,30.6,29.8 b,29.8,27.4,26.8,23.8,22.0,20.6,22.2,20.0,17.0 b,12.0,14.6
Annual,Percentage,Towns and suburbs,Netherlands,19.3 b,17.3 b,17.5,16.4,15.2,13.5,13.0,12.5 b,11.0 b,12.2,12.3,12.3,11.4,11.1,10.0,9.2,9.2 b,7.3,7.7
Annual,Percentage,Towns and suburbs,Norway,7.8 b,:,:,:,:,4.6,5.4,5.1 b,5.9,5.2,5.3,3.8,4.5,5.1,4.1,3.4,5.0 b,6.6,4.7
Annual,Percentage,Towns and suburbs,Poland,:,14.3,14.7,14.3,15.1,14.6 b,14.1,14.3 b,14.2,14.2,12.5,13.6,14.9,14.4,14.9 b,15.5,13.3 b,12.2,11.7
Annual,Percentage,Towns and suburbs,Portugal,15.0 b,14.8,16.8,14.3,11.9,11.5,10.3 b,8.4 b,7.6,6.6,7.5,8.2,8.3,7.6,8.1,7.3,5.9 b,6.2,6.1
Annual,Percentage,Towns and suburbs,Romania,:,:,:,:,15.1,17.0 b,17.3,15.9 b,16.1,16.8,19.3,19.8,19.4,20.9,21.5,21.1,23.0 b,21.6,20.0
Annual,Percentage,Towns and suburbs,Serbia,:,:,:,:,:,:,:,:,:,14.3 b,15.1,15.7,13.9,14.3,11.6,13.2,13.3 b,14.0,13.3
Annual,Percentage,Towns and suburbs,Sweden,6.0 b,7.9,7.2,7.3,5.6,6.7,5.8,4.7 b,4.5,4.3,3.7,3.9,3.6,4.3 b,4.2,3.3,6.0 b,6.4,4.6
Annual,Percentage,Towns and suburbs,Slovenia,9.1 b,9.0,8.9,7.7,10.0,7.4,7.9,6.9 b,8.8,8.1,7.0,5.3,5.7,7.5,6.8,7.1,6.2 b,6.8,5.0
Annual,Percentage,Towns and suburbs,Slovakia,:,:,17.2,18.4,18.7,17.0,15.6 b,15.5 b,15.4,14.9,15.2,14.1,12.3,12.7,13.3,11.6,7.3 b,6.5,7.4
Annual,Percentage,Towns and suburbs,United Kingdom,12.6 b,13.0 b,13.7 b,12.4 b,11.1,10.7,10.5,11.1 b,10.0,9.5,10.3,9.9,9.0,8.5,8.0,:,:,:,:
