Time frequency,Unit of measure,Direction of flow,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Thousand tonnes,Inwards,Algeria,26174.0,26989.0,29516.0,33968.0,33506.0,34188.0,37598.0,43673.0,46117.6,49459.0,52633.8,48243.7,42659.2,44155.1,44252.7,39275.4,38543.3,39309.0
Annual,Thousand tonnes,Inwards,Egypt,55743.0,58234.0,65101.0,70273.0,77489.0,85446.0,79128.0,76474.0,78019.0,107415.0,93400.0,:,97600.0,100300.0,101600.0,97000.0,:,:
Annual,Thousand tonnes,Inwards,Israel,21078.0 d,20404.0 d,22475.0 d,22856.0 d,21545.0 d,24142.0 d,25483.0 d,27037.0 d,28287.0 d,32012.0 b,33599.0,36311.0,37430.0,38500.0,38083.0,38329.0,40624.0,41400.0
Annual,Thousand tonnes,Inwards,Jordan,12432.0,10144.0,10297.0,9165.0,8302.0,8796.0,10208.0,11944.0,11784.0,13844.0,13149.0,12219.0,11734.3,11092.9,:,:,:,:
Annual,Thousand tonnes,Inwards,Lebanon,4417.0 d,4015.0 d,4970.0 d,5867.1 d,6962.2 d,5504.8 d,5878.9 d,6375.5 d,7230.9 d,7299.9 d,7134.3 d,7730.6 d,7131.0 d,7055.0 d,5697.0 d,3728.0 d,3784.8 d,4479.7 d
Annual,Thousand tonnes,Inwards,Morocco,:,:,:,:,:,:,:,:,46906.6,51209.0,50091.6,56383.4 p,50063.7 d,60962.8 d,64200.0 d,57700.0 d,56960.0,:
Annual,Thousand tonnes,Inwards,Tunisia,14454.0,15235.0,16121.0,16520.0,14553.0,16326.0,14516.0,15471.0,15974.0,16502.0,16940.0,17099.0,16500.0,16600.0,15200.0,15800.0,16400.0,:
Annual,Thousand tonnes,Outwards,Algeria,100557.0,99968.0,100765.0,94276.0,87306.0,83702.0,80509.7,75731.0,71924.3,76599.3,76797.6,76358.7,73904.3,74770.9,75872.9,67242.0,73214.5,77621.0
Annual,Thousand tonnes,Outwards,Egypt,41766.0,48388.0,47227.0,45937.0,45649.0,49948.0,49309.0,44180.0,43979.0,52354.0,39100.0,:,52000.0,57500.0,58400.0,59200.0,:,:
Annual,Thousand tonnes,Outwards,Israel,16636.0 d,15848.0 d,17748.0 d,18132.0 d,15398.0 d,19270.0 d,19589.0 d,19429.0 d,20464.0 d,21284.0 b,20173.0,20738.0,20506.0,20200.0,19610.0,19124.0,19141.0,19200.0
Annual,Thousand tonnes,Outwards,Jordan,7998.0,7934.0,8617.0,9221.0,6970.0,8056.0,10862.0,7411.0,4531.0,5201.0,5233.0,4548.0,5589.7,5031.9,:,:,:,:
Annual,Thousand tonnes,Outwards,Lebanon,906.0 d,800.0 d,1117.0 d,1194.3 d,887.5 d,820.1 d,798.1 d,849.6 d,1037.5 d,981.1 d,1082.5 d,1036.0 d,1130.0 d,930.0 d,827.0 d,803.0 d,861.6 d,960.5 d
Annual,Thousand tonnes,Outwards,Morocco,:,:,:,:,:,:,:,:,28600.0,29159.4,28328.2,29316.9 p,33605.3 d,38984.1 d,37800.0 d,33800.0 d,34078.0,:
Annual,Thousand tonnes,Outwards,Tunisia,7227.0,7539.0,7986.0,7939.0,7817.0,8145.0,5793.0,6451.0,6574.0,6297.0,5785.0,6011.0,6600.0,8400.0,7300.0,7100.0,8100.0,:
Annual,Thousand tonnes,Total,Algeria,126731.0,126957.0,130281.0,128244.0,120812.0,117890.0,118107.7,119404.0,118042.0,126058.3,129431.5,124602.4,116563.5,118926.0,120125.6,106517.4,111757.8,116930.0
Annual,Thousand tonnes,Total,Israel,37714.0 d,36252.0 d,40223.0 d,40988.0 d,36943.0 d,43412.0 d,45072.0 d,46466.0 d,48751.0 d,53296.0 b,53772.0,57049.0,57936.0,58700.0,57693.0,57453.0,59765.0,60700.0
Annual,Thousand tonnes,Total,Jordan,20430.0,18078.0,18914.0,18386.0,15272.0,16852.0,21070.0,19355.0,16315.0,19045.0,18382.0,16767.0,17324.0,16124.8,:,:,:,:
Annual,Thousand tonnes,Total,Lebanon,5323.0,4815.0,6087.0,7061.4,7849.6,6324.9,6677.0,7225.1,8268.4,8281.0,8216.7,8766.6,8261.0,7985.0,6524.0,4531.0,4646.4,5440.0
Annual,Thousand tonnes,Total,Morocco,:,:,:,:,:,:,:,:,75500.0,80400.0,78400.0,85700.0,83700.0,99900.0,102000.0,91500.0,91041.0,:
