Time frequency,Accommodation unit,Unit of measure,Statistical classification of economic activities in the European Community (NACE Rev. 2),Geopolitical entity (reporting)\Time,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
Annual,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Austria,981070.0,993554.0,993465.0,1001442.0,1013199.0,1045637.0,1038208.0,1037245.0,1038263.0,1064863.0,1138217.0,:
Annual,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Belgium,372867.0,366166.0,368492.0,368468.0,373802.0,389826.0,395585.0,389996.0,395197.0,423439.0,472781.0,:
Annual,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Bulgaria,302433.0,314257.0,322465.0,328264.0,348724.0,335597.0,341506.0,281666.0,304209.0,354755.0,359853.0,:
Annual,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Switzerland,:,:,:,681306.0,674002.0,664663.0,655758.0,:,650652.0,:,643826.0,:
Annual,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Cyprus,87143.0,87578.0,85414.0,84239.0,85965.0,87240.0,90188.0,90900.0,90854.0,88455.0,84859.0,:
Annual,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Czechia,740671.0,710381.0,715014.0,716563.0,715540.0,741235.0,743737.0,:,783849.0,783200.0,759131.0,:
Annual,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Germany,3326821.0,3318592.0,3340072.0,3336207.0,3377728.0,3473630.0,3594701.0,3398548.0,3467225.0,3611333.0,3665302.0,:
Annual,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Denmark,417594.0,420031.0,415825.0,418447.0,424035.0,426075.0,436011.0,:,444804.0,450842.0,451600.0,:
Annual,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Euro area - 19 countries  (2015-2022),:,:,22539876.0,22625736.0,:,23273675 e,23653556.0,22991705 e,23192033.0,23782956.0,:,:
Annual,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Euro area – 20 countries (from 2023),:,:,:,:,:,:,:,:,:,24910134.0,25219885.0,:
Annual,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Estonia,55482.0,58095.0,58072.0,59471.0,61663.0,61193.0,60957.0,59640.0,59486.0,61971.0,61904.0,:
Annual,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Greece,1207394.0,1256518.0,1265992.0,1272640.0,1275436.0,1320890.0,1348890.0,942864.0,1019052.0,1278776.0,1237782.0,:
Annual,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Spain,3437362.0,3482983.0,3526937.0,3515810.0,3558650.0,3599886.0,3638875.0,3660592.0,3750449.0,3770965.0,3821391.0,:
Annual,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",European Union - 27 countries (from 2020),26658362.0,26964220.0,27207382.0,27399666.0,27785616.0,28277810 e,28746927.0,27811520 e,28174400.0,28892188.0,29205289.0,:
