Time frequency,Unit of measure,Degree of urbanisation,Geopolitical entity (reporting)\Time,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0
Annual,Percentage,Cities,Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,18.9,18.4,19.0,16.3
Annual,Percentage,Cities,Austria,2.2,8.2,6.2,6.3,6.6,7.2 b,7.9,7.2,6.7,7.6,7.5,7.9,8.7,8.5,8.7,7.7,5.8,6.5
Annual,Percentage,Cities,Belgium,3.1,1.6,2.8,1.9,1.8,1.7,1.8,2.5,1.4,1.4 b,1.9,2.1,1.6,3.4 b,4.6,5.2,4.3 b,5.2
Annual,Percentage,Cities,Bulgaria,:,:,:,21.4,15.0,23.3 b,16.7,11.8,11.7,10.0 b,8.9,10.3 b,9.0,8.5 b,7.5,7.7,6.4,6.4
Annual,Percentage,Cities,Switzerland,:,:,:,:,2.7,1.6,1.7,1.6,2.2,2.4 b,4.1,2.2 b,2.6,4.8,3.1,3.1,2.6,2.8
Annual,Percentage,Cities,Cyprus,:,:,1.4,1.1,0.7,1.1 b,1.2,1.3,1.6,0.9 b,1.5,1.3,0.2,1.1,0.9,0.3,0.9,1.6
Annual,Percentage,Cities,Czechia,:,:,11.9,11.7,9.1,6.6,6.1,5.3,5.3,4.3 b,4.1,2.7,4.0,3.2,2.8,3.2,2.4,2.4
Annual,Percentage,Cities,Germany,:,:,2.4,3.1,2.4,2.3,2.6,2.6,2.9,3.0 b,3.0,3.2,2.8,3.3,3.3,3.8,3.5,1.6 b
Annual,Percentage,Cities,Denmark,2.9,3.0,1.9,2.3,3.1,1.9,2.5,1.8,3.9 b,4.0 b,3.5,4.1,4.4,3.6,5.5,4.9,4.6,4.3
Annual,Percentage,Cities,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,:,:,:,:,:,18.6 e,:,:,:,:,4.5 e,4.3 e,4.3 e,3.6 e,3.9 e,3.7,4.5
Annual,Percentage,Cities,Euro area - 18 countries (2014),:,:,4.6,4.6,4.5,4.1,18.6,:,:,:,:,4.5,4.3,4.3,3.5,3.9,3.7,4.5
Annual,Percentage,Cities,Euro area - 19 countries  (2015-2022),:,:,4.8,4.7,4.7,4.2,18.6,:,:,:,:,4.5,4.3,4.3,3.6,3.9,3.7,4.5
Annual,Percentage,Cities,Estonia,:,19.9,14.8,11.3,11.1,7.7,9.5,9.2,3.9,4.5 b,5.4,2.6 b,2.0,2.0,2.9,2.6,2.2,1.9
Annual,Percentage,Cities,Greece,8.5,7.4,9.7,8.5,8.0,7.2,6.7,6.7,7.4,6.7 b,6.5,5.1,6.2,5.6,5.9,6.5,5.6,5.9
Annual,Percentage,Cities,Spain,:,4.4,2.4,2.5,2.5,1.3,2.0,1.9,1.7 b,1.3 b,1.8,1.7,1.7,1.7,1.2,1.7,2.2,4.4
Annual,Percentage,Cities,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,:,:,:,:,3.0 e,4.9 e,:,:,:,:,5.0 e,4.8 e,4.7 e,3.8 e,4.1 e,3.9 e,:
Annual,Percentage,Cities,European Union - 27 countries (2007-2013),:,:,7.0 e,6.6 e,6.2,3.0,4.9,:,:,:,:,4.9,4.8,4.6,3.7,4.1,3.9 e,:
Annual,Percentage,Cities,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,2.7 e,5.4,5.4,5.5,5.3 e,5.2 e,5.0 e,4.3 e,4.4 e,4.2 e,4.8 e
Annual,Percentage,Cities,European Union - 28 countries (2013-2020),:,:,:,:,:,:,:,5.1,5.1,5.0,5.1,5.0,4.8,4.7,3.8,4.1,3.9 e,:
Annual,Percentage,Cities,Finland,:,0.9,1.5,1.4,0.9,0.8,1.2,1.3,1.2,1.2 b,0.9,0.8,1.0,1.2,1.0,1.0,1.0,1.3
Annual,Percentage,Cities,France,:,5.2,4.6,4.4,5.6,5.3,4.7,4.6,4.2,4.1 b,3.2,3.5,3.3,4.1,3.2,4.0,4.2,7.3 b
Annual,Percentage,Cities,Croatia,:,:,:,:,:,:,:,13.8,11.2,11.7 b,11.2,10.7,8.6,7.9,7.1,6.5,5.9,4.6
Annual,Percentage,Cities,Hungary,:,:,21.9,18.8,15.5,19.5,12.0,15.2,13.4,14.7 b,15.8,15.6,14.3,14.7,14.5,7.3,6.8,6.3
Annual,Percentage,Cities,Ireland,2.1,3.2,1.9,3.2,3.0,1.7,1.9,1.5,1.4,1.3 b,1.9,1.8,1.5,2.2,1.4,1.7,2.1 b,2.6 b
Annual,Percentage,Cities,Iceland,:,2.5,1.5,1.6,1.7,1.4,1.8,1.8,2.4,3.2 b,3.3,2.3,2.3,1.7,1.9,1.9,4.5,:
Annual,Percentage,Cities,Italy,:,9.6,9.0,8.7,8.6,7.7,7.5,7.2,10.4,9.8 b,9.7,10.4,11.3,8.9,6.5,6.4,5.4,6.5
Annual,Percentage,Cities,Lithuania,:,:,25.6,21.5,20.2,17.6,13.1,8.6,4.4 b,5.4 b,6.2,8.2,5.0,5.5,6.0,5.7,5.4,4.7
Annual,Percentage,Cities,Luxembourg,3.8,3.6,3.8,2.7,3.0,3.1,2.5,3.7,3.2,6.4 b,2.7,2.9,3.1,2.0 b,2.1,4.0,3.2,2.0 b
Annual,Percentage,Cities,Latvia,:,:,29.9,24.9,21.1,19.9 b,18.4,20.5,15.8,13.0 b,13.2,13.7,13.2,12.0,13.6,14.6,12.4,12.2
Annual,Percentage,Cities,North Macedonia,:,:,:,:,:,:,:,:,:,:,:,:,:,17.8,14.9,16.6,13.9,13.4
Annual,Percentage,Cities,Malta,:,:,1.1,0.8,0.9,1.1,1.2,1.3,1.6,1.1 b,1.5,1.4,1.4,1.7,1.6,1.3,1.4,1.1
Annual,Percentage,Cities,Netherlands,:,:,0.7,0.7,1.1,0.8,0.6,0.6,0.6,1.4 b,1.3,0.6,1.4,2.0 b,1.3,1.6,1.7,1.9
Annual,Percentage,Cities,Norway,:,1.4,2.1,1.7,1.5,1.8,1.4,2.1,1.7,1.8 b,1.8,:,1.6,1.6,1.7,1.7,1.7,1.8
Annual,Percentage,Cities,Poland,:,:,25.5,24.3,21.7,14.7,12.8,11.6,10.0,9.8 b,9.6,8.7,9.1,8.8,9.1,7.6,8.1,:
Annual,Percentage,Cities,Portugal,:,7.7,8.3,9.0,8.3,8.4,5.9,7.6,5.4,6.2 b,7.8,7.6,6.5,7.5,5.3,5.4,5.4,5.2
Annual,Percentage,Cities,Romania,:,:,:,:,18.7,16.8,15.6,13.5,13.0,10.4 b,14.6,9.5,9.8,8.4,4.5,4.9,4.1,4.9
Annual,Percentage,Cities,Serbia,:,:,:,:,:,:,:,:,:,:,16.3,18.7,18.0,16.8,17.0,12.5,17.0,9.4
Annual,Percentage,Cities,Sweden,:,2.7,1.5,1.8,1.9,3.0 b,2.5,2.7,3.8,2.3 b,2.7,2.9,3.4,3.7,3.9,3.5,3.6,3.5
Annual,Percentage,Cities,Slovenia,:,:,13.4,13.4,11.8,17.0,18.6,15.9,9.7 b,8.8 b,6.6,7.1,7.3,4.9,5.0,5.4,4.5,4.2
Annual,Percentage,Cities,Slovakia,:,:,4.1,4.1,4.0,4.8 b,3.9,3.1,2.1,3.0 b,2.8,2.6,3.2,2.9,3.2,1.6,1.4,1.7
Annual,Percentage,Cities,United Kingdom,:,:,2.7,2.5,2.6,2.9,3.4,3.8,3.3,2.8 b,3.6,3.4,3.2,3.1,1.3 b,2.8,:,:
Annual,Percentage,Towns and suburbs,Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,19.0,24.7,20.8,13.5
Annual,Percentage,Towns and suburbs,Austria,1.6,1.6,2.1,2.6,2.7,3.2 b,2.5,2.3,2.9,2.8,4.1,2.7,3.7,3.4,3.8,1.5,2.1,2.0
Annual,Percentage,Towns and suburbs,Belgium,1.6,0.8,0.4,0.2,0.5,0.4,0.8,1.2,0.6,0.2 b,0.2,0.3,0.8,1.1 b,1.4,1.0,0.8 b,0.8
Annual,Percentage,Towns and suburbs,Bulgaria,:,:,:,23.5,16.3,26.6 b,24.5,20.7,19.9,13.4 b,13.9,11.9 b,9.7,10.2 b,10.0,7.6,7.5,8.5
Annual,Percentage,Towns and suburbs,Switzerland,:,:,:,:,1.9,0.8,1.2,1.2,0.6,1.9 b,1.6,1.1 b,1.5,1.4,2.2,2.5,1.5,1.5
Annual,Percentage,Towns and suburbs,Cyprus,:,:,1.0,0.9,0.2,0.3 b,1.3,2.2,2.0,1.3 b,0.4,0.8,0.2,2.0,1.1,2.2,1.6,0.8
Annual,Percentage,Towns and suburbs,Czechia,:,:,7.0,11.7,7.1,7.0,6.5,3.5,4.9,4.0 b,4.0,3.7,4.2,4.0,1.7,2.2,2.1,2.5
Annual,Percentage,Towns and suburbs,Germany,:,:,0.9,1.6,1.2,1.7,1.8,1.7,1.4,1.4 b,1.1,1.1,1.4,1.4,1.1,1.7,1.5,1.0 b
Annual,Percentage,Towns and suburbs,Denmark,2.0,1.3,1.4,1.2,1.0,0.9,0.7,0.9,1.4 b,1.9 b,1.7,1.0,2.1,0.9,1.8,3.5,2.1,2.3
Annual,Percentage,Towns and suburbs,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,:,:,:,:,:,16.7 e,:,:,:,:,3.3 e,3.6 e,3.1 e,2.4 e,2.5 e,2.4,2.8
Annual,Percentage,Towns and suburbs,Euro area - 18 countries (2014),:,:,2.9,3.2,2.8,3.1,16.7,:,:,:,:,3.3,3.6,3.1,2.4,2.5,2.4,2.8
