Time frequency,Business trend indicator,Statistical classification of economic activities in the European Community (NACE Rev. 2),Unit of measure,Geopolitical entity (reporting)\Time,Décembre 2023,Janvier 2024,Février 2024,Mars 2024,Avril 2024,Mai 2024,Juin 2024,Juillet 2024,Août 2024,Septembre 2024,Octobre 2024,Novembre 2024
Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply","Index, 2021=100 (SCA)",Austria,104.4,102.3,101.9,102.0,102.5,100.6,101.5,102.0,101.5,100.5,99.1,98.7 p
Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply","Index, 2021=100 (SCA)",Bosnia and Herzegovina,91.8,:,:,:,:,:,:,:,:,:,:,:
Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply","Index, 2021=100 (SCA)",Belgium,92.7,89.7,89.2,91.8,91.1,92.8,86.5,92.0,92.0,92.3,87.8,95.4
Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply","Index, 2021=100 (SCA)",Bulgaria,102.9,99.1 p,99.5 p,98.5 p,101.6 p,99.1 p,99.2 p,99.8,100.7,102.0,101.1,101.1 p
Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply","Index, 2021=100 (SCA)",Switzerland,107.9,105.9,106.3,108.0,111.1,111.9,111.2,115.6,108.3,108.8,:,:
Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply","Index, 2021=100 (SCA)",Cyprus,106.8,106.0,106.7,108.8,107.0,107.6,109.1,107.1,106.5,106.7,107.7,104.9
Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply","Index, 2021=100 (SCA)",Czechia,102.7,99.7,101.6,100.1,100.7,98.3,99.2,98.4,100.2,99.7,99.1,97.5
Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply","Index, 2021=100 (SCA)",Germany,93.3,94.1,94.9,94.5,94.8,91.8,93.6,90.6,93.5,91.2,90.8,92.0
Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply","Index, 2021=100 (SCA)",Denmark,128.7,127.8,129.6,125.8,139.0,130.6,131.4,141.8,134.2,127.4,134.4,129.9
Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply","Index, 2021=100 (SCA)",Euro area - 19 countries  (2015-2022),99.7,96.5,97.4,98.1,97.6,96.8,97.1,96.6,98.3,:,:,:
Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply","Index, 2021=100 (SCA)",Euro area – 20 countries (from 2023),99.1,96.9,97.4,97.5,97.6,96.5,97.0,96.6,97.8,96.2,96.4,96.6
Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply","Index, 2021=100 (SCA)",Estonia,91.8,84.1,86.1,86.8,85.6,88.7,85.6,81.6,83.0,83.8,85.0,87.4
Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply","Index, 2021=100 (SCA)",Greece,106.6 p,110.3 p,108.2 p,106.3 p,114.5 p,110.8 p,112.7 p,115.0 p,110.0 p,107.0 p,107.9 p,110.8 p
Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply","Index, 2021=100 (SCA)",Spain,100.1 p,101.1 p,102.3 p,100.9 p,100.7 p,100.7 p,101.1 p,100.5 p,100.1 p,101.1 p,102.0 p,100.5 p
Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply","Index, 2021=100 (SCA)",European Union - 27 countries (from 2020),100.5,98.5,99.1,98.8,99.3,98.0,98.6,98.3,99.3,97.8,98.2,98.3
Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply","Index, 2021=100 (SCA)",Finland,97.9,101.7,101.7,97.0,97.5,98.6,102.3,103.9,103.0,101.5,101.9,103.3
Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply","Index, 2021=100 (SCA)",France,101.4,100.4,100.9,100.7,101.3,99.1,100.0,100.2,101.2,100.4,100.1,100.3
Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply","Index, 2021=100 (SCA)",Croatia,98.8,98.6,96.3,96.7,96.9,98.4,96.0,102.0,97.3,102.9,98.9,96.5
Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply","Index, 2021=100 (SCA)",Hungary,99.2,97.7,101.0,97.9,97.1,95.9,96.5,96.5,96.1,95.4,97.3,95.7
Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply","Index, 2021=100 (SCA)",Ireland,118.3,93.8,94.8,100.4,99.6,102.9,101.3,108.2,108.6,101.8,106.9,100.7 p
