Time frequency,Statistical information,Risk of poverty threshold,Unit of measure,Geopolitical entity (reporting)\Time,2020.0
Annual,Median equivalised income,Above 60%,Percentage,Albania,18.4
Annual,Median equivalised income,Above 60%,Percentage,Austria,4.3
Annual,Median equivalised income,Above 60%,Percentage,Belgium,2.4
Annual,Median equivalised income,Above 60%,Percentage,Bulgaria,16.2
Annual,Median equivalised income,Above 60%,Percentage,Switzerland,11.9
Annual,Median equivalised income,Above 60%,Percentage,Cyprus,4.8
Annual,Median equivalised income,Above 60%,Percentage,Czechia,1.3
Annual,Median equivalised income,Above 60%,Percentage,Germany,2.3 u
Annual,Median equivalised income,Above 60%,Percentage,Denmark,4.4
Annual,Median equivalised income,Above 60%,Percentage,Estonia,2.6
Annual,Median equivalised income,Above 60%,Percentage,Greece,19.2
Annual,Median equivalised income,Above 60%,Percentage,Spain,4.2
Annual,Median equivalised income,Above 60%,Percentage,European Union - 27 countries (from 2020),4.8 e
Annual,Median equivalised income,Above 60%,Percentage,Finland,10.3
Annual,Median equivalised income,Above 60%,Percentage,France,3.3
Annual,Median equivalised income,Above 60%,Percentage,Croatia,10.7
Annual,Median equivalised income,Above 60%,Percentage,Hungary,6.1
Annual,Median equivalised income,Above 60%,Percentage,Ireland,5.5
Annual,Median equivalised income,Above 60%,Percentage,Lithuania,4.9
Annual,Median equivalised income,Above 60%,Percentage,Luxembourg,2.4
Annual,Median equivalised income,Above 60%,Percentage,Latvia,3.8
Annual,Median equivalised income,Above 60%,Percentage,Montenegro,19.7
Annual,Median equivalised income,Above 60%,Percentage,North Macedonia,18.7
Annual,Median equivalised income,Above 60%,Percentage,Malta,1.5
Annual,Median equivalised income,Above 60%,Percentage,Netherlands,2.0
Annual,Median equivalised income,Above 60%,Percentage,Norway,2.9
Annual,Median equivalised income,Above 60%,Percentage,Poland,2.6
Annual,Median equivalised income,Above 60%,Percentage,Portugal,1.7
Annual,Median equivalised income,Above 60%,Percentage,Romania,13.4
Annual,Median equivalised income,Above 60%,Percentage,Serbia,18.7
Annual,Median equivalised income,Above 60%,Percentage,Sweden,4.0
Annual,Median equivalised income,Above 60%,Percentage,Slovenia,5.3
Annual,Median equivalised income,Above 60%,Percentage,Slovakia,5.9
Annual,Median equivalised income,Below 60%,Percentage,Albania,46.4
Annual,Median equivalised income,Below 60%,Percentage,Austria,11.4
Annual,Median equivalised income,Below 60%,Percentage,Belgium,9.8
Annual,Median equivalised income,Below 60%,Percentage,Bulgaria,41.7
Annual,Median equivalised income,Below 60%,Percentage,Switzerland,22.7
Annual,Median equivalised income,Below 60%,Percentage,Cyprus,14.2
Annual,Median equivalised income,Below 60%,Percentage,Czechia,5.8
Annual,Median equivalised income,Below 60%,Percentage,Germany,6.3 u
Annual,Median equivalised income,Below 60%,Percentage,Denmark,17.2
Annual,Median equivalised income,Below 60%,Percentage,Estonia,5.7
Annual,Median equivalised income,Below 60%,Percentage,Greece,64.1
Annual,Median equivalised income,Below 60%,Percentage,Spain,17.2
Annual,Median equivalised income,Below 60%,Percentage,European Union - 27 countries (from 2020),16.5 e
Annual,Median equivalised income,Below 60%,Percentage,Finland,25.2
Annual,Median equivalised income,Below 60%,Percentage,France,12.9
Annual,Median equivalised income,Below 60%,Percentage,Croatia,23.2
Annual,Median equivalised income,Below 60%,Percentage,Hungary,17.8
Annual,Median equivalised income,Below 60%,Percentage,Ireland,16.6
Annual,Median equivalised income,Below 60%,Percentage,Lithuania,8.4
Annual,Median equivalised income,Below 60%,Percentage,Luxembourg,13.2
Annual,Median equivalised income,Below 60%,Percentage,Latvia,8.7
Annual,Median equivalised income,Below 60%,Percentage,Montenegro,43.0
Annual,Median equivalised income,Below 60%,Percentage,North Macedonia,53.2
Annual,Median equivalised income,Below 60%,Percentage,Malta,7.5
Annual,Median equivalised income,Below 60%,Percentage,Netherlands,9.8
Annual,Median equivalised income,Below 60%,Percentage,Norway,13.2
Annual,Median equivalised income,Below 60%,Percentage,Poland,8.3
Annual,Median equivalised income,Below 60%,Percentage,Portugal,6.6
Annual,Median equivalised income,Below 60%,Percentage,Romania,25.9
Annual,Median equivalised income,Below 60%,Percentage,Serbia,38.1
Annual,Median equivalised income,Below 60%,Percentage,Sweden,19.4
Annual,Median equivalised income,Below 60%,Percentage,Slovenia,12.4
Annual,Median equivalised income,Below 60%,Percentage,Slovakia,23.0
Annual,Median equivalised income,Total,Percentage,Albania,22.3
Annual,Median equivalised income,Total,Percentage,Austria,5.2
Annual,Median equivalised income,Total,Percentage,Belgium,3.4
Annual,Median equivalised income,Total,Percentage,Bulgaria,22.1
Annual,Median equivalised income,Total,Percentage,Switzerland,13.5
Annual,Median equivalised income,Total,Percentage,Cyprus,6.1
Annual,Median equivalised income,Total,Percentage,Czechia,1.7
Annual,Median equivalised income,Total,Percentage,Germany,2.9 u
Annual,Median equivalised income,Total,Percentage,Denmark,5.9
Annual,Median equivalised income,Total,Percentage,Estonia,3.2
Annual,Median equivalised income,Total,Percentage,Greece,27.2
Annual,Median equivalised income,Total,Percentage,Spain,7.0
Annual,Median equivalised income,Total,Percentage,European Union - 27 countries (from 2020),6.6 e
Annual,Median equivalised income,Total,Percentage,Finland,12.1
Annual,Median equivalised income,Total,Percentage,France,4.7
Annual,Median equivalised income,Total,Percentage,Croatia,12.9
Annual,Median equivalised income,Total,Percentage,Hungary,7.5
Annual,Median equivalised income,Total,Percentage,Ireland,7.0
Annual,Median equivalised income,Total,Percentage,Lithuania,5.6
Annual,Median equivalised income,Total,Percentage,Luxembourg,4.2
Annual,Median equivalised income,Total,Percentage,Latvia,4.8
Annual,Median equivalised income,Total,Percentage,Montenegro,25.0
Annual,Median equivalised income,Total,Percentage,North Macedonia,26.1
Annual,Median equivalised income,Total,Percentage,Malta,2.5
Annual,Median equivalised income,Total,Percentage,Netherlands,3.0
Annual,Median equivalised income,Total,Percentage,Norway,4.2
Annual,Median equivalised income,Total,Percentage,Poland,3.5
Annual,Median equivalised income,Total,Percentage,Portugal,2.5
Annual,Median equivalised income,Total,Percentage,Romania,16.2
Annual,Median equivalised income,Total,Percentage,Serbia,22.5
Annual,Median equivalised income,Total,Percentage,Sweden,5.8
Annual,Median equivalised income,Total,Percentage,Slovenia,6.1
Annual,Median equivalised income,Total,Percentage,Slovakia,7.8
