Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Austria,:,1.7 e,2.8 e,6.1 e,1.4 e,4.1 e,-0.7 e,1.1 e,7.6 e,7.1 e,8.7 e,8.6 e,7.8 e,4.1 e,6.4 e,10.0 e,12.8 p
Annual,Percentage,Belgium,10.5 e,-44.8 e,-2.4 e,10.5 e,1.4 e,3.3 e,6.2 e,7.8 e,10.3 e,8.9 e,8.8 e,8.2 e,8.6 e,5.9 e,9.9 e,9.9 e,11.4 p
Annual,Percentage,Bulgaria,18.3 e,17.3 e,8.3 e,6.4 e,4.7 e,4.7 e,4.4 e,7.2 e,8.0 e,11.3 e,10.2 e,11.8 e,11.2 e,4.9 e,8.8 e,11.2 e,16.3 p
Annual,Percentage,Cyprus,:,13.6 e,10.6 e,8.2 e,-75.6 e,-100.8 e,-90.0 e,-7.1 e,-7.7 e,1.7 e,-11.9 e,7.1 e,3.5 e,-3.3 e,0.6 e,5.1 e,21.8 p
Annual,Percentage,Czechia,18.3 e,14.3 e,16.7 e,14.9 e,13.0 e,13.7 e,11.4 e,11.4 e,11.3 e,11.9 e,13.0 e,13.3 e,13.9 e,6.7 e,10.6 e,14.4 e,13.7 p
Annual,Percentage,Germany,:,-9.8 e,-2.2 e,1.9 e,2.2 e,1.1 e,1.3 e,2.5 e,1.7 e,2.2 e,2.9 e,2.4 e,2.1 e,2.2 e,4.0 e,4.3 e,5.7 p
Annual,Percentage,Denmark,:,-3.4 e,-3.8 e,2.4 e,0.6 e,2.0 e,4.4 e,4.7 e,6.8 e,9.7 e,10.8 e,8.0 e,8.7 e,4.5 e,8.2 e,3.8 e,11.7 p
Annual,Percentage,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,:,:,:,:,:,:,3.1 e,4.5 e,3.4 e,5.6 e,5.7 e,5.1 e,1.9 e,6.3 e,6.8 e,8.6 p
Annual,Percentage,Estonia,:,15.6 e,-41.3 e,3.6 e,22.9 e,11.7 e,10.7 e,9.7 e,6.8 e,11.1 e,9.2 e,9.8 e,8.3 e,7.4 e,9.5 e,10.9 e,18.5 p
Annual,Percentage,Greece,:,10.5 e,2.2 e,-4.4 e,:,:,:,-10.6 e,-24.2 e,-7.5 e,-1.3 e,-0.4 e,0.7 e,-7.9 e,-20.1 e,12.7 e,12.0 p
Annual,Percentage,Spain,:,12.4 e,8.9 e,8.5 e,0.2 e,-24.9 e,5.8 e,6.7 e,6.6 e,5.0 e,7.0 e,8.2 e,6.7 e,-3.5 e,10.2 e,9.9 e,11.8 p
Annual,Percentage,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,:,:,:,:,:,:,3.4 e,4.3 e,3.4 e,5.6 e,5.9 e,5.2 e,2.2 e,6.6 e,6.9 e,9.0 p
Annual,Percentage,Finland,14.3 e,8.4 e,7.2 e,6.8 e,7.6 e,8.9 e,8.1 e,9.1 e,8.3 e,8.7 e,8.8 e,8.1 e,4.9 e,5.8 e,9.2 e,9.6 e,13.5 p
Annual,Percentage,France,9.8 e,2.9 e,4.7 e,8.3 e,5.6 e,3.4 e,6.0 e,4.4 e,6.8 e,6.5 e,6.4 e,6.5 e,6.0 e,4.1 e,7.1 e,6.1 e,5.9 p
Annual,Percentage,Croatia,:,:,:,:,:,:,0.6 e,3.9 e,-6.8 e,8.9 e,5.9 e,8.8 e,9.1 e,4.7 e,7.7 e,9.4 e,15.7 p
Annual,Percentage,Hungary,:,15.0 e,22.7 e,-0.3 e,-12.0 e,-5.1 e,-0.4 e,-21.9 e,0.3 e,11.7 e,14.5 e,14.7 e,14.3 e,7.6 e,12.7 e,12.1 e,21.8 p
Annual,Percentage,Ireland,:,0.4 e,-36.1 e,-65.2 e,-11.1 e,-14.6 e,-13.2 e,8.5 e,6.8 e,6.3 e,5.0 e,4.9 e,3.7 e,-2.2 e,4.5 e,3.3 e,7.6 p
Annual,Percentage,Italy,9.2 e,4.9 e,4.0 e,3.7 e,-13.0 e,-1.0 e,-11.5 e,-2.8 e,3.1 e,-7.7 e,7.1 e,5.8 e,4.9 e,1.0 e,5.7 e,9.1 e,12.7 p
Annual,Percentage,Lithuania,19.9 e,11.5 e,-56.1 e,-3.8 e,15.5 e,7.8 e,8.6 e,7.7 e,7.5 e,11.9 e,9.1 e,12.3 e,14.5 e,10.0 e,10.4 e,13.5 e,21.2 p
Annual,Percentage,Luxembourg,:,3.5 e,8.8 e,8.1 e,2.7 e,7.0 e,6.4 e,7.2 e,7.2 e,7.5 e,5.7 e,5.5 e,5.2 e,4.4 e,5.5 e,5.2 e,8.3 p
Annual,Percentage,Latvia,:,3.1 e,-44.3 e,-19.7 e,4.5 e,4.9 e,8.8 e,10.2 e,10.7 e,14.3 e,7.6 e,9.2 e,9.6 e,5.2 e,4.5 e,10.2 e,20.3 p
Annual,Percentage,Malta,8.4 e,-0.5 e,11.6 e,3.6 e,3.2 e,4.7 e,3.7 e,4.4 e,6.3 e,8.1 e,7.2 e,5.2 e,6.0 e,0.3 e,3.5 e,4.3 e,10.7 p
Annual,Percentage,Netherlands,:,-12.1 e,-0.3 e,7.5 e,6.0 e,4.1 e,5.0 e,3.3 e,7.0 e,7.3 e,8.8 e,8.1 e,7.7 e,3.1 e,8.3 e,7.7 e,11.1 p
Annual,Percentage,Poland,17.7 e,14.1 e,7.0 e,10.0 e,12.0 e,10.8 e,10.0 e,9.4 e,7.7 e,7.5 e,6.9 e,7.0 e,6.9 e,3.1 e,4.8 e,7.3 e,11.6 p
Annual,Percentage,Portugal,14.1 e,3.4 e,5.4 e,6.7 e,-4.2 e,-3.3 e,-9.3 e,-3.5 e,0.9 e,-5.5 e,-0.8 e,2.7 e,4.3 e,0.0 e,4.9 e,8.7 e,13.8 p
Annual,Percentage,Romania,22.5 e,18.9 e,6.3 e,2.6 e,0.2 e,-7.1 e,0.0 e,-15.2 e,11.3 e,10.6 e,11.7 e,13.6 e,12.3 e,9.0 e,13.1 e,15.7 e,16.8 p
