Time frequency,Unit of measure,Sector,National accounts indicator (ESA 2010),Geopolitical entity (reporting)\Time,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Thousand persons,General government,Total employment domestic concept,Bulgaria,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,570.4,557.4,552.2,551.8,557.4,563.8,563.8,580.2,585.9,583.0
Annual,Thousand persons,General government,Total employment domestic concept,Cyprus,:,50.2,51.9,54.0,54.8,55.8,57.9,59.8,60.6,60.9,62.1,63.2,65.7,67.7,69.3,70.1,70.8,69.5,67.9,66.0,65.3,65.1,64.8,65.9,66.3,67.0,68.0,68.9,68.4
Annual,Thousand persons,General government,Total employment domestic concept,Italy,:,3700.8,3665.6,3634.7,3630.0,3651.4,3727.2,3735.0,3713.3,3700.6,3695.3,3696.8,3679.7,3650.4,3614.8,3563.8,3512.4,3444.0,3406.9,3398.9,3388.3,3403.9,3375.3,3390.1,3407.4,3388.7,3462.3,3504.6,3555.6
Annual,Thousand persons,General government,Total employment domestic concept,Malta,:,33.5,34.4,33.8,34.4,34.7,35.2,36.4,37.3,35.9,35.9,35.6,35.7,37.8,36.9,36.4,36.8,37.3,39.4,40.8,42.1,42.8,44.0,45.0,45.9,47.0,48.7,49.1,49.7
Annual,Thousand persons,General government,Total employment domestic concept,Netherlands,:,1010.0,1020.0,1034.0,1062.0,1082.0,1107.0,1133.0,1159.0,1155.0,1141.0,1134.0,1143.0,1157.0,1174.0,1191.0,1171.0,1154.0,1140.0,1126.0,1120.0,1115.0,1119.0,1123.0,1145.0,1166.0,1195.0,1231.0,1263.0 p
Annual,Thousand persons,General government,Total employment domestic concept,Portugal,:,669.7,684.3,712.6,739.7,754.7,759.2,780.7,766.4,776.0,779.4,768.2,764.8,763.9,769.6,771.2,750.4,737.9,720.1,713.1,705.9,712.3,717.6,722.1,729.6,748.7,783.1,802.3,:
Annual,Thousand persons,General government,Total employment domestic concept,Romania,:,1377.0,1104.7,1137.7,1259.8,1328.5,1398.2,1499.1,1430.6,1424.6,1395.4,1426.0,1530.0,1610.4,1571.9,1583.1,1440.4,1410.7,1412.5,1368.7,1358.0,1380.0,1370.6,1389.8,1428.3,1436.3,1421.1,1428.1,:
Annual,Thousand persons,General government,Total employment domestic concept,Sweden,:,1347.2,1325.3,1322.2,1339.7,1314.3,1328.3,1347.5,1361.5,1367.9,1364.1,1381.4,1380.2,1351.9,1324.9,1318.6,1324.2,1333.9,1348.5,1365.8,1396.6,1436.6,1462.1,1476.0,1486.2,1482.9,1500.3,1520.8,1537.7
Annual,Thousand persons,Central government,Total employment domestic concept,Bulgaria,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,324.4,314.2,315.6,308.2,310.0,309.1,307.4,315.8,311.0,302.8
Annual,Thousand persons,Central government,Total employment domestic concept,Italy,1969.9,1962.8,1942.8,1921.5,1922.9,1977.2,2067.8,2081.6,2095.6,2087.1,2099.5,2099.1,2089.3,2065.6,2030.8,1979.0,1942.5,1914.9,1898.5,1904.8,1920.4,1956.1,1955.0,1968.0,1992.8,1986.0,2045.0,2059.9,2096.2
Annual,Thousand persons,Central government,Total employment domestic concept,Malta,31.9,33.4,34.3,33.7,34.3,34.5,35.0,36.2,37.1,35.7,35.7,35.4,35.4,37.5,36.8,36.2,36.6,37.0,39.1,40.6,41.9,42.6,43.8,44.8,45.7,46.8,48.4,48.8,49.4
Annual,Thousand persons,Central government,Total employment domestic concept,Netherlands,293.0,288.0,290.0,296.0,299.0,297.0,305.0,313.0,314.0,310.0,306.0,305.0,303.0,303.0,308.0,319.0,312.0,309.0,356.0,353.0,352.0,354.0,355.0,360.0,373.0,388.0,390.0,402.0,413.0 p
Annual,Thousand persons,Central government,Total employment domestic concept,Portugal,:,:,:,:,:,:,:,:,:,:,:,579.8,577.9,575.9,571.2,572.6,562.6,534.2,519.6,510.6,504.7,512.3,516.1,516.8,518.6,527.4,551.7,556.4,:
Annual,Thousand persons,Central government,Total employment domestic concept,Sweden,262.5,258.0,253.9,250.1,246.7,245.9,245.1,249.1,254.8,252.7,249.2,249.9,245.7,238.5,237.0,241.1,241.7,246.2,251.9,255.0,256.1,259.4,262.6,266.5,269.7,273.8,281.1,290.1,297.7
Annual,Thousand persons,State government,Total employment domestic concept,Bulgaria,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Thousand persons,State government,Total employment domestic concept,Italy,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
