Time frequency,Unit of measure,Degree of urbanisation,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Cities,Albania,:,:,:,:,:,12.9,11.3,11.9,11.6,11.2,:,:
Annual,Percentage,Cities,Austria,18.7,19.0,19.4,19.0,19.7,18.8,19.2,18.6,19.3,20.0,20.5,18.5
Annual,Percentage,Cities,Belgium,21.4 b,21.1,21.3,19.4,19.2,19.4,18.1,18.0 b,17.0,17.1,17.0,17.5
Annual,Percentage,Cities,Bulgaria,18.2 b,18.9,17.7,19.1,21.8 b,19.6,19.1,17.5,16.4,15.2,16.0,14.5
Annual,Percentage,Cities,Switzerland,23.3 b,23.0,24.4 b,23.6,24.5,24.8,24.0,24.9,24.0,25.2,23.5,25.0
Annual,Percentage,Cities,Cyprus,9.1 b,9.6,10.1,10.0,8.9,8.9,8.5,8.2,8.0,7.9,7.9,8.5
Annual,Percentage,Cities,Czechia,20.9 b,22.6,22.3,21.6,21.6,20.4,19.7,18.7,17.6,17.0,17.1,18.7
Annual,Percentage,Cities,Germany,24.8 b,24.1,24.1,24.0,23.8,23.8,23.6,23.4,18.5 b,19.4,20.6,20.6
Annual,Percentage,Cities,Denmark,27.0 b,28.0,25.9,26.0,25.0,25.7,26.0,25.0,24.6 b,24.3,24.2,25.5
Annual,Percentage,Cities,Euro area - 19 countries  (2015-2022),17.6,17.5,17.6,18.2,17.0,16.4,16.0,16.3,14.6,:,:,:
Annual,Percentage,Cities,Euro area – 20 countries (from 2023),:,:,17.6,18.1,17.0,16.4,16.0,16.3,14.5,15.1 u,15.6,15.6
Annual,Percentage,Cities,Estonia,15.6 b,15.4,14.5 b,13.1,11.7,10.9,10.7,10.9,10.3,10.2,10.9,12.5
Annual,Percentage,Cities,Greece,32.1 b,34.1,39.3,39.4,36.3,35.8,36.1,34.3,31.3,29.3,29.7,30.6
Annual,Percentage,Cities,Spain,12.9 b,13.1,12.7,13.1,12.4,11.7,11.5,11.0,10.9,11.6,11.7,12.0
Annual,Percentage,Cities,European Union - 27 countries (2007-2013),17.0,17.2,18.0,18.3,17.3,17.1,16.6,16.6 e,:,:,:,:
Annual,Percentage,Cities,European Union - 27 countries (from 2020),18.1 e,18.1 e,18.1 e,18.4 e,17.3 e,16.6 e,16.2 e,16.2 e,14.7,15.0 u,15.6,15.7
Annual,Percentage,Cities,European Union - 28 countries (2013-2020),17.0,17.2,18.0,18.3,17.3,17.1,16.5,16.6 e,:,:,:,:
Annual,Percentage,Cities,Finland,15.0 b,14.9,14.3,14.3,14.4,14.4,14.0,13.6,13.9,13.8,15.1,15.4
Annual,Percentage,Cities,France,14.6 b,14.5,15.2,16.8,14.2,13.6,12.7,14.9,13.9 b,:,15.2 b,15.3
Annual,Percentage,Cities,Croatia,12.8 b,14.1,15.4,13.2,13.2,12.1,11.9,11.6,11.7,11.3,11.2,10.2
Annual,Percentage,Cities,Hungary,21.7 b,18.8,20.4,17.6,16.8,15.9,15.7,11.1,10.6,9.8,14.6,13.7
Annual,Percentage,Cities,Ireland,12.0 b,7.6,12.8,13.5,12.0,12.5,11.4,12.4 b,11.2 b,11.1,9.9,11.7
Annual,Percentage,Cities,Iceland,17.0 b,17.3,17.3,17.0,16.0,17.6,17.8,19.6,:,:,:,:
Annual,Percentage,Cities,Italy,12.3,13.1,12.7,12.8 b,12.9,11.5,11.9,11.6,10.4,11.6,11.4,10.9
Annual,Percentage,Cities,Lithuania,16.2 b,16.6,15.7,14.4,13.0,11.0,9.8,9.4,8.2,7.4,7.5,8.8
Annual,Percentage,Cities,Luxembourg,13.3 b,13.0,13.0,10.4,8.5 b,10.8,15.1,14.7,12.8 b,9.8 b,15.6 b,18.6
Annual,Percentage,Cities,Latvia,18.0 b,17.4,15.5,14.8,14.1,13.4,12.6,12.0,11.6,11.7,12.7,15.3
Annual,Percentage,Cities,North Macedonia,:,:,:,:,17.0,17.2,15.9,14.5,13.6,:,:,:
Annual,Percentage,Cities,Malta,7.0 b,6.5,5.4,4.4,4.7,3.7,4.4,4.4,4.9,5.1,4.8,5.9
