Time frequency,Unit of measure,Item of meat,Meat product,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Thousand tonnes,Slaughterings,Bovine meat,Albania,:,:,:,8.7,11.37,10.29,7.34,5.61,4.88,6.02,7.58,5.83
Annual,Thousand tonnes,Slaughterings,Bovine meat,Austria,221.12,227.2,221.64,228.75,227.44,226.09,233.46,229.61,218.36,213.74,210.12,204.58
Annual,Thousand tonnes,Slaughterings,Bovine meat,Bosnia and Herzegovina,:,:,:,22.85,15.96,15.53,11.55,11.94,14.47,:,10.62,10.02
Annual,Thousand tonnes,Slaughterings,Bovine meat,Belgium,262.28,249.91,257.67,267.88,278.36,281.54,277.31,263.75,254.51,247.12 p,238.14,240.18
Annual,Thousand tonnes,Slaughterings,Bovine meat,Bulgaria,5.32,5.68,4.8,5.29,6.66,7.44,7.22,5.48,6.24,7.12,7.02 p,6.98 p
Annual,Thousand tonnes,Slaughterings,Bovine meat,Switzerland,:,:,:,141.76,145.15,139.63,146.51,145.57,144.28,:,142.31,143.81
Annual,Thousand tonnes,Slaughterings,Bovine meat,Cyprus,5.31,4.57,4.6,5.74,4.95,5.15,5.27,5.61,4.64,5.9,5.49,5.06
Annual,Thousand tonnes,Slaughterings,Bovine meat,Czechia,65.71,64.83,65.53,68.29,71.93,67.72,71.58,72.89,72.52,72.55,68.58,70.23
Annual,Thousand tonnes,Slaughterings,Bovine meat,Germany,1140.0,1106.0,1128.0,1124.0,1148.0,1124.0,1102.0,1106.0,1090.0,1072.02,987.47,997.48
Annual,Thousand tonnes,Slaughterings,Bovine meat,Denmark,125.4,125.2,125.6,120.6,129.4,124.0,129.2,124.6,121.2,122.2,119.0,117.73
Annual,Thousand tonnes,Slaughterings,Bovine meat,Estonia,7.96,7.88,: @C,9.62,9.43,9.0,8.56,8.57,8.89,8.7,8.37,7.65
Annual,Thousand tonnes,Slaughterings,Bovine meat,Greece,56.16,50.12,46.04,41.92,40.17,44.11,39.63,33.46,34.73,33.04,35.53,35.68
Annual,Thousand tonnes,Slaughterings,Bovine meat,Spain,591.38 p,580.84,578.6,626.1,637.01,643.86 p,669.01,695.17 p,677.74 p,717.88,731.53,697.83
Annual,Thousand tonnes,Slaughterings,Bovine meat,European Union - 27 countries (from 2020),6696.96,6420.31,: @C,6701.96,6886.28,6894.94 p,7008.99,6907.98 p,6822.29 p,6801.91 p,6640.26 p,6384.77
Annual,Thousand tonnes,Slaughterings,Bovine meat,Finland,80.37,80.42,82.32,85.76,86.37,85.39,86.48,87.18,86.53,85.67,84.0,85.39
Annual,Thousand tonnes,Slaughterings,Bovine meat,France,1477.69,1404.49,1419.16,1452.77,1464.15,1442.18 p,1460.00 p,1428.46 p,1434.59 p,1424.32 p,1361.31 p,1301.42 p
