Time frequency,Unit of measure,Statistical information,Age class,Geopolitical entity (reporting)\Time,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 24 years,Austria,: u,35.7,27.1,30.4,30.3,18.7,18.9,25.7,25.6,31.7,24.3,23.6,26.9,29.2,26.6,28.7,22.8,13.8,20.9,32.3,24.1
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 24 years,Belgium,: u,44.3,32.4,45.6,41.1,47.5,45.9,39.1,35.4,34.9,27.6,24.1,31.0,33.9,32.5,25.0,25.3,26.2,38.9,37.5,32.1
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 24 years,Bulgaria,25.8,27.7,26.1,28.0,30.8,35.5,30.7,33.2,35.5,39.3,35.2,37.4,38.9,37.2,38.2,45.3,47.7,46.1,46.9,28.1,49.9
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 24 years,Cyprus,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 24 years,Czechia,26.7,29.4,30.7,40.8,42.6,54.5,34.9,32.5,37.8,37.7,28.7,29.1,31.0,34.9,42.9,45.4,46.7,42.1,34.7,31.6,41.1
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 24 years,Germany,19.7,22.7,15.3,21.0,23.4,27.1,23.3,23.9,24.6,25.0,27.6,26.9,27.7,22.5,24.9,23.6,24.7,: u,23.8 u,26.4 u,24.0 u
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 24 years,Denmark,: m,: m,: m,: m,10.9,9.6,11.9,14.8,7.7,10.5,8.3,11.3,12.8,15.2,12.0,11.5,10.3,5.4,8.1,17.3,5.6
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 24 years,Estonia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 24 years,Greece,22.6,19.2,11.2,25.2,24.7,22.5,23.6,20.8,21.1,17.6,18.4,15.6,21.9,23.4,19.9,21.2,28.2,32.4,54.0,41.1,22.8
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 24 years,Spain,26.8,26.7,18.9,18.3,19.2,21.5,16.4,20.7,18.1,18.9,21.6,19.7,19.9,20.6,21.1,24.3,22.2,25.4,27.7,24.1,24.3
