Time frequency,Unit of measure,International Standard Classification of Education (ISCED 2011),Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Rate,Primary education,Algeria,:,:,:,:,:,:,:,:,1.0 i,1.0 i,1.0 i,1.0 i,1.0 i,1.0 i,1.0 i,1.0 i,1.0 i,1.0 i,1.0 i
Annual,Rate,Primary education,Egypt,1.0 di,1.0 di,1.0 di,1.0 di,1.0 di,1.0 di,1.0 di,1.0 di,1.0 di,1.0 di,1.0 di,1.0 di,1.0 di,1.0 di,:,:,:,:,:
Annual,Rate,Primary education,Israel,1.0 i,1.0 i,1.0 i,1.0 i,1.0 i,1.0 i,1.0 i,1.0 i,1.0 i,1.0 i,1.0 i,1.0 i,1.0 i,1.0 i,1.0 i,1.0 i,1.0 i,1.0 i,:
Annual,Rate,Primary education,Jordan,1.0 i,1.0 i,:,:,:,:,:,:,:,:,:,1.0 i,1.0 i,1.0 i,:,:,:,:,:
Annual,Rate,Primary education,Lebanon,1.0 i,1.1 i,1.0 i,:,1.1 i,1.0 i,1.1 i,1.0 i,1.1 i,:,:,:,:,1.0 i,:,:,:,:,:
Annual,Rate,Primary education,Morocco,0.9 i,0.9 i,0.9 i,1.0 i,1.0 i,1.0 i,1.0 i,1.0 i,0.9 i,1.0 i,1.0 i,1.0 i,1.0 i,1.0 i,1.0 i,1.0 i,1.0 i,1.0 i,:
Annual,Rate,Primary education,Palestine*,1.0 i,1.0 i,1.0 i,1.0 i,1.0 i,1.0 i,1.0 i,1.0 i,1.0 i,1.0 i,1.0 i,1.0 i,1.0 i,1.0 i,1.0 i,1.0 i,1.0 i,1.0 i,1.0 i
Annual,Rate,Primary education,Tunisia,1.0 i,1.0 i,1.0 i,:,1.0 i,1.0 i,:,:,:,:,:,:,:,1.0 di,1.0 di,1.0 di,1.0 di,1.0 di,1.0 di
Annual,Rate,Lower secondary education,Algeria,:,:,:,:,:,:,:,:,1.0 i,1.0 i,1.0 i,1.0 i,1.0 i,1.0 i,1.0 i,1.0 i,1.0 i,1.0 i,1.0 i
Annual,Rate,Lower secondary education,Egypt,1.0 di,1.1 di,1.0 di,1.1 di,1.1 di,1.0 bdi,1.0 di,1.1 di,1.1 di,1.1 di,1.1 di,1.1 di,1.1 di,1.1 di,1.1 i,1.0 i,:,:,:
Annual,Rate,Lower secondary education,Israel,1.0 i,1.0 i,1.0 i,1.0 i,1.0 bi,1.0 i,1.0 i,1.0 i,1.0 i,1.0 i,1.0 i,1.0 i,1.0 i,1.0 i,1.0 i,1.0 i,1.0 i,1.0 i,:
Annual,Rate,Lower secondary education,Jordan,1.0 i,1.0 i,:,:,:,:,:,:,:,:,:,1.2 i,1.2 i,1.2 i,:,:,:,:,:
Annual,Rate,Lower secondary education,Lebanon,1.2 i,1.2 i,1.1 i,:,1.3 i,1.2 i,1.2 i,1.2 i,1.2 i,:,:,:,:,1.1 i,:,:,:,:,:
Annual,Rate,Lower secondary education,Morocco,1.0 i,1.0 i,1.0 i,1.0 i,1.0 i,1.0 i,1.0 i,1.0 i,1.0 i,1.0 i,1.1 i,1.1 i,1.1 i,1.1 i,1.1 i,1.1 i,1.1 i,1.1 i,:
Annual,Rate,Lower secondary education,Palestine*,1.0 i,1.0 i,1.0 i,1.0 i,1.0 i,1.1 i,1.0 i,1.0 i,1.0 i,1.0 i,1.0 i,1.0 i,1.0 i,1.0 i,1.0 i,1.0 i,1.0 i,1.0 i,1.0 i
Annual,Rate,Lower secondary education,Tunisia,1.2 i,1.2 i,1.1 i,:,1.1 i,1.1 i,:,:,:,:,:,:,:,1.0 di,1.0 di,1.0 di,1.0 di,1.0 di,1.0 di
