Time frequency,Seasonal adjustment,Unit of measure,Business trend indicator,Statistical Classification of Products by Activity (CPA 2.1),Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Square metres per 1000 inhabitants,Building permits - m2 of useful floor area,Residential buildings,Lithuania,406.3,574.9,696.3,587.8,341.5,361.6,313.7,394.8,472.8,429.0,494.7,625.6,545.3,539.2,508.7,544.4,762.0,600.4,445.7
Annual,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Square metres per 1000 inhabitants,Building permits - m2 of useful floor area,Residential buildings,Luxembourg,1803.7,1670.4,1955.5,1492.1,1324.7,1379.2,1520.9,1542.8,1283.6,2023.9,1563.0,1335.3,1524.3,1741.1,1657.2,1505.2,1684.5,1098.8,913.5 p
Annual,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Square metres per 1000 inhabitants,Building permits - m2 of useful floor area,Residential buildings,Latvia,701.3,928.5,995.0,440.8,410.8,200.3,223.4,226.2,318.0,225.6,172.0,188.8,273.0,327.1,313.6,342.0,371.4,376.4,345.5
Annual,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Square metres per 1000 inhabitants,Building permits - m2 of useful floor area,Residential buildings,Malta,3317.3 e,3725.2 e,3982.0 e,2368.7 e,1841.9 e,1616.1 e,1513.0 e,1357.9 e,1175.8 e,1313.7 e,1845.2 e,2793.8 e,3102.3,4025.8,4003.5,2444.9,2354.4,2744.4,2221.9
Annual,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Square metres per 1000 inhabitants,Building permits - m2 of useful floor area,Residential buildings,Netherlands,989.0,1154.4,1065.2,1051.3,846.3,714.4,661.4,416.0,299.3,439.4,573.2,552.6,719.7,706.8,584.6,681.7 p,768.8 p,633.3 p,464.3 p
Annual,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Square metres per 1000 inhabitants,Building permits - m2 of useful floor area,Residential buildings,Poland,321.0,450.3,661.4,620.2,504.4 b,486.6 b,493.5,425.7,369.4,386.8,456.0,508.7,594.0,620.7,648.8,678.6 b,857.9,692.7 b,540.5
Annual,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Square metres per 1000 inhabitants,Building permits - m2 of useful floor area,Residential buildings,Portugal,1480.5,1418.9,1290.0,946.2,602.7,558.0,413.3,283.0,190.9,174.7,207.1,271.3,334.6,467.4,511.9,534.4,593.8,631.4 p,628.7 ep
Annual,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Square metres per 1000 inhabitants,Building permits - m2 of useful floor area,Residential buildings,Romania,345.2,463.8,597.6,751.3,436.5,365.5,344.0,338.5,351.2,369.5,405.6,454.7,501.2,552.8,570.8,545.2,634.3,601.0,456.9 p
Annual,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Square metres per 1000 inhabitants,Building permits - m2 of useful floor area,Residential buildings,Sweden,530.6 p,680.4 p,492.0 p,420.9 p,355.0 p,446.8 p,445.6 p,368.8 p,435.5 p,525.9 p,663.3 p,800.8,834.2,691.9,610.7,707.0,865.0,674.4,329.3
Annual,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Square metres per 1000 inhabitants,Building permits - m2 of useful floor area,Residential buildings,Slovenia,619.7,737.1,965.9,771.5 b,568.2,527.1,370.2,320.9,339.9,286.2,295.6,310.0,329.2,376.5,339.9,370.9,441.2,516.7,466.9
Annual,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Square metres per 1000 inhabitants,Building permits - m2 of useful floor area,Residential buildings,Slovakia,380.5,385.8,372.5,560.5,393.2,335.2,276.0 b,271.9,301.1,306.4,363.3,430.9,400.9,440.7,445.6,408.4,479.7 b,421.5,372.0
