Time frequency,Age class,Effects,Unit of measure,Geopolitical entity (reporting)\Time,2007.0,2011.0
Annual,From 25 to 64 years,Looked for and found,Percentage,Austria,26.3,21.0
Annual,From 25 to 64 years,Looked for and found,Percentage,Belgium,19.0,17.1
Annual,From 25 to 64 years,Looked for and found,Percentage,Bulgaria,13.7,6.6
Annual,From 25 to 64 years,Looked for and found,Percentage,Switzerland,:,31.2
Annual,From 25 to 64 years,Looked for and found,Percentage,Cyprus,17.5,16.1
Annual,From 25 to 64 years,Looked for and found,Percentage,Czechia,:,18.6
Annual,From 25 to 64 years,Looked for and found,Percentage,Germany,14.7,19.7
Annual,From 25 to 64 years,Looked for and found,Percentage,Denmark,:,43.1
Annual,From 25 to 64 years,Looked for and found,Percentage,Euro area – 20 countries (from 2023),17.2,20.9 b
Annual,From 25 to 64 years,Looked for and found,Percentage,Estonia,:,19.4
Annual,From 25 to 64 years,Looked for and found,Percentage,Greece,7.9,7.7
Annual,From 25 to 64 years,Looked for and found,Percentage,Spain,20.6,21.2
Annual,From 25 to 64 years,Looked for and found,Percentage,European Union - 27 countries (from 2020),16.8,19.2 b
Annual,From 25 to 64 years,Looked for and found,Percentage,European Union - 28 countries (2013-2020),15.0,24.0 b
Annual,From 25 to 64 years,Looked for and found,Percentage,Finland,36.5,37.5
Annual,From 25 to 64 years,Looked for and found,Percentage,France,:,24.6 b
Annual,From 25 to 64 years,Looked for and found,Percentage,Croatia,17.8,:
Annual,From 25 to 64 years,Looked for and found,Percentage,Hungary,6.4,11.4 b
Annual,From 25 to 64 years,Looked for and found,Percentage,Ireland,:,18.7
Annual,From 25 to 64 years,Looked for and found,Percentage,Italy,8.0,15.1
Annual,From 25 to 64 years,Looked for and found,Percentage,Lithuania,13.8,11.2
Annual,From 25 to 64 years,Looked for and found,Percentage,Luxembourg,:,41.4
Annual,From 25 to 64 years,Looked for and found,Percentage,Latvia,19.4,20.9
Annual,From 25 to 64 years,Looked for and found,Percentage,Malta,:,22.4
Annual,From 25 to 64 years,Looked for and found,Percentage,Netherlands,41.9,30.7
Annual,From 25 to 64 years,Looked for and found,Percentage,Norway,:,23.8
