Time frequency,National accounts indicator (ESA 2010),Sector,Unit of measure,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Gross fixed capital formation,General government,Percentage of gross domestic product (GDP),Germany,2.5,2.4,2.3,2.4,2.4,2.5,2.6,2.7,3.0,2.9,2.8,2.8
Annual,Gross fixed capital formation,General government,Percentage of gross domestic product (GDP),Denmark,3.8,3.6,3.8,3.6,3.7,3.4,3.4,3.2,3.6,3.2,3.0,3.1
Annual,Gross fixed capital formation,General government,Percentage of gross domestic product (GDP),Euro area - 19 countries  (2015-2022),3.2,3.1,2.9,2.9,2.8,2.8,2.9,3.0,3.2,3.2,3.1,3.3
Annual,Gross fixed capital formation,General government,Percentage of gross domestic product (GDP),Euro area – 20 countries (from 2023),3.2,3.1,2.9,2.9,2.8,2.8,2.9,3.0,3.3,3.2,3.1,3.3
Annual,Gross fixed capital formation,General government,Percentage of gross domestic product (GDP),Estonia,6.4,5.5,5.0,5.2,4.6,5.6,5.2,5.2,5.8,5.8,5.4,6.6
Annual,Gross fixed capital formation,General government,Percentage of gross domestic product (GDP),Greece,2.6,3.5,3.7,3.9,3.6,4.5,3.2,2.5,3.1,3.6,3.7,3.9
Annual,Gross fixed capital formation,General government,Percentage of gross domestic product (GDP),Spain,3.1,2.4,2.1,2.6,2.0,2.0,2.1,2.2,2.6,2.7,2.7,3.0
Annual,Gross fixed capital formation,General government,Percentage of gross domestic product (GDP),European Union - 27 countries (from 2020),3.3,3.2,3.1,3.2,2.9,2.9,3.1,3.2,3.5,3.4,3.3,3.5
Annual,Gross fixed capital formation,General government,Percentage of gross domestic product (GDP),Finland,4.0,4.2,4.2,3.8,4.2,4.1,4.3,4.4,4.9,4.2,4.1,4.0
Annual,Gross fixed capital formation,General government,Percentage of gross domestic product (GDP),France,4.6,4.6,4.3,3.9,3.9,3.8,3.9,4.2,4.2,4.1,4.2,4.3
Annual,Gross fixed capital formation,General government,Percentage of gross domestic product (GDP),Croatia,3.7,4.1,3.6,3.4,3.1,2.6,3.5,4.3,5.6,4.8,4.0,5.6
Annual,Gross fixed capital formation,General government,Percentage of gross domestic product (GDP),Hungary,3.7,4.4,5.3,6.5,3.1,4.5,5.8,6.2,6.4,6.2,5.3,5.1
Annual,Gross fixed capital formation,General government,Percentage of gross domestic product (GDP),Ireland,2.0,2.0,2.1,1.7,1.9,1.8,2.0,2.3,2.3,2.0,2.0,2.3
Annual,Gross fixed capital formation,General government,Percentage of gross domestic product (GDP),Italy,2.6,2.5,2.3,2.4,2.3,2.2,2.1,2.3,2.6,2.8,2.6,3.2
Annual,Gross fixed capital formation,General government,Percentage of gross domestic product (GDP),Lithuania,4.2,3.9,3.7,3.8,3.2,3.4,3.3,3.2,4.5,3.2,3.2,4.2
Annual,Gross fixed capital formation,General government,Percentage of gross domestic product (GDP),Luxembourg,3.9,3.5,3.7,3.9,3.8,4.0,3.9,4.1,4.7,4.1,4.2,4.7
Annual,Gross fixed capital formation,General government,Percentage of gross domestic product (GDP),Latvia,5.5,4.8,4.8,5.0,3.7,4.8,5.8,5.1,5.9,5.6,4.5,5.6
Annual,Gross fixed capital formation,General government,Percentage of gross domestic product (GDP),Malta,3.3,2.8,3.4,4.0,2.5,2.3,3.2,3.5,3.7,3.7,3.2,3.5
Annual,Gross fixed capital formation,General government,Percentage of gross domestic product (GDP),Netherlands,3.9,3.7,3.6,3.6,3.4,3.4,3.3,3.4,3.6,3.4,3.2,3.1
Annual,Gross fixed capital formation,General government,Percentage of gross domestic product (GDP),Poland,4.9,4.3,4.7,4.5,3.3,3.8,4.6,4.3,4.4,4.1,3.8,5.1
Annual,Gross fixed capital formation,General government,Percentage of gross domestic product (GDP),Portugal,2.5,2.2,2.0,2.3,1.6,1.8,1.9,1.8,2.3,2.6,2.4,2.6
Annual,Gross fixed capital formation,General government,Percentage of gross domestic product (GDP),Romania,4.6,4.4,4.5,5.2,3.6,2.6,2.5,3.4,4.4,4.1,4.4,5.4
Annual,Gross fixed capital formation,General government,Percentage of gross domestic product (GDP),Sweden,4.6,4.6,4.7,4.5,4.6,4.8,5.1,5.1,5.4,5.0,5.1,5.2
Annual,Gross fixed capital formation,General government,Percentage of gross domestic product (GDP),Slovenia,4.1,4.4,5.1,4.8,3.3,3.1,3.7,3.9,4.1,4.7,5.5,5.2
Annual,Gross fixed capital formation,General government,Percentage of gross domestic product (GDP),Slovakia,3.3,3.4,4.1,6.5,3.4,3.4,3.7,3.6,3.4,3.0,3.1,3.6
