Time frequency,Type of perpetrator,Unit of measure,Geopolitical entity (reporting)\Time,2021.0
Annual,Family member or relative - male or female,Percentage,Austria,3.6
Annual,Family member or relative - male or female,Percentage,Belgium,3.6
Annual,Family member or relative - male or female,Percentage,Bulgaria,1.6
Annual,Family member or relative - male or female,Percentage,Cyprus,: u
Annual,Family member or relative - male or female,Percentage,Czechia,: u
Annual,Family member or relative - male or female,Percentage,Germany,2.4
Annual,Family member or relative - male or female,Percentage,Denmark,4.7
Annual,Family member or relative - male or female,Percentage,Estonia,2.3
Annual,Family member or relative - male or female,Percentage,Greece,2.8
Annual,Family member or relative - male or female,Percentage,Spain,2.7
Annual,Family member or relative - male or female,Percentage,European Union (aggregate changing according to the context),2.9 e
Annual,Family member or relative - male or female,Percentage,Finland,5.7
Annual,Family member or relative - male or female,Percentage,France,5.2
Annual,Family member or relative - male or female,Percentage,Croatia,1.6
Annual,Family member or relative - male or female,Percentage,Hungary,1.2 u
Annual,Family member or relative - male or female,Percentage,Ireland,3.8 u
Annual,Family member or relative - male or female,Percentage,Lithuania,: u
Annual,Family member or relative - male or female,Percentage,Luxembourg,5.8
Annual,Family member or relative - male or female,Percentage,Latvia,0.6 u
Annual,Family member or relative - male or female,Percentage,Montenegro,: u
Annual,Family member or relative - male or female,Percentage,Malta,2.0
Annual,Family member or relative - male or female,Percentage,Netherlands,4.7
Annual,Family member or relative - male or female,Percentage,Poland,0.7 u
Annual,Family member or relative - male or female,Percentage,Portugal,1.3
Annual,Family member or relative - male or female,Percentage,Romania,1.3 u
Annual,Family member or relative - male or female,Percentage,Serbia,: u
Annual,Family member or relative - male or female,Percentage,Sweden,5.6
Annual,Family member or relative - male or female,Percentage,Slovenia,2.1 u
Annual,Family member or relative - male or female,Percentage,Slovakia,3.0
Annual,Family member or relative - male or female,Percentage,Kosovo*,: u
Annual,Any known - male or female,Percentage,Austria,6.0
Annual,Any known - male or female,Percentage,Belgium,7.1
Annual,Any known - male or female,Percentage,Bulgaria,2.1
Annual,Any known - male or female,Percentage,Cyprus,3.2 u
Annual,Any known - male or female,Percentage,Czechia,1.0 u
Annual,Any known - male or female,Percentage,Germany,5.0
Annual,Any known - male or female,Percentage,Denmark,9.6
Annual,Any known - male or female,Percentage,Estonia,3.9
Annual,Any known - male or female,Percentage,Greece,8.0
Annual,Any known - male or female,Percentage,Spain,5.7
Annual,Any known - male or female,Percentage,European Union (aggregate changing according to the context),5.7 e
Annual,Any known - male or female,Percentage,Finland,11.0
Annual,Any known - male or female,Percentage,France,9.1
Annual,Any known - male or female,Percentage,Croatia,3.6
Annual,Any known - male or female,Percentage,Hungary,2.2 u
Annual,Any known - male or female,Percentage,Ireland,8.1
Annual,Any known - male or female,Percentage,Lithuania,0.9 u
Annual,Any known - male or female,Percentage,Luxembourg,12.4
Annual,Any known - male or female,Percentage,Latvia,1.5
Annual,Any known - male or female,Percentage,Montenegro,: u
Annual,Any known - male or female,Percentage,Malta,3.5
Annual,Any known - male or female,Percentage,Netherlands,9.4
Annual,Any known - male or female,Percentage,Poland,1.8
Annual,Any known - male or female,Percentage,Portugal,3.0
Annual,Any known - male or female,Percentage,Romania,1.7 u
Annual,Any known - male or female,Percentage,Serbia,0.6 u
Annual,Any known - male or female,Percentage,Sweden,13.2
Annual,Any known - male or female,Percentage,Slovenia,4.8
Annual,Any known - male or female,Percentage,Slovakia,6.8
Annual,Any known - male or female,Percentage,Kosovo*,: u
Annual,Other known (non-family or relative) - male or female,Percentage,Austria,3.0
Annual,Other known (non-family or relative) - male or female,Percentage,Belgium,4.0
Annual,Other known (non-family or relative) - male or female,Percentage,Bulgaria,: u
Annual,Other known (non-family or relative) - male or female,Percentage,Cyprus,1.8 u
Annual,Other known (non-family or relative) - male or female,Percentage,Czechia,: u
Annual,Other known (non-family or relative) - male or female,Percentage,Germany,3.8
Annual,Other known (non-family or relative) - male or female,Percentage,Denmark,5.5
Annual,Other known (non-family or relative) - male or female,Percentage,Estonia,1.9
Annual,Other known (non-family or relative) - male or female,Percentage,Greece,4.1
Annual,Other known (non-family or relative) - male or female,Percentage,Spain,3.1
Annual,Other known (non-family or relative) - male or female,Percentage,European Union (aggregate changing according to the context),3.3 e
Annual,Other known (non-family or relative) - male or female,Percentage,Finland,6.3
Annual,Other known (non-family or relative) - male or female,Percentage,France,4.7
Annual,Other known (non-family or relative) - male or female,Percentage,Croatia,2.1
Annual,Other known (non-family or relative) - male or female,Percentage,Hungary,: u
Annual,Other known (non-family or relative) - male or female,Percentage,Ireland,4.7 u
Annual,Other known (non-family or relative) - male or female,Percentage,Lithuania,: u
Annual,Other known (non-family or relative) - male or female,Percentage,Luxembourg,7.5
Annual,Other known (non-family or relative) - male or female,Percentage,Latvia,0.7 u
Annual,Other known (non-family or relative) - male or female,Percentage,Montenegro,: u
Annual,Other known (non-family or relative) - male or female,Percentage,Malta,1.6
Annual,Other known (non-family or relative) - male or female,Percentage,Netherlands,5.2
Annual,Other known (non-family or relative) - male or female,Percentage,Poland,0.7 u
Annual,Other known (non-family or relative) - male or female,Percentage,Portugal,1.7
Annual,Other known (non-family or relative) - male or female,Percentage,Romania,: u
