Time frequency,International Standard Classification of Education (ISCED 2011),Unit of measure,Geopolitical entity (reporting)\Time,2021.0
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Austria,35.4
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Belgium,36.4
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Bulgaria,83.4
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Switzerland,26.5
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Cyprus,61.4
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Czechia,63.7
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Germany,15.8
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Denmark,32.5
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Estonia,16.4
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Greece,62.0
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Spain,42.8
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,European Union - 27 countries (from 2020),39.1
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Finland,22.3
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,France,39.2
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Croatia,29.5
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Hungary,78.1
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Ireland,55.9
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Italy,34.3
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Lithuania,59.1
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Luxembourg,21.0
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Latvia,39.4
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Malta,22.2
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Netherlands,23.4
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Poland,9.1
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Portugal,37.9
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Romania,85.3
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Sweden,21.5
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Slovenia,52.5 u
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Slovakia,70.2
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Austria,9.5
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Belgium,21.4
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Bulgaria,34.7
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Switzerland,9.3
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Cyprus,38.1
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Czechia,8.0
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Germany,7.0
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Denmark,6.3
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Estonia,5.7
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Greece,46.3
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Spain,27.5
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,European Union - 27 countries (from 2020),15.3
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Finland,5.6
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,France,18.1
