Time frequency,Rail network segment (2010),Train category,Unit of measure\Time,2010.0
Annual,Wien Westbf - Wien Hütteldorf,Goods trains,Number,5375.0
Annual,Wien Westbf - Wien Hütteldorf,Other trains,Number,2125.0
Annual,Wien Westbf - Wien Hütteldorf,Passenger trains,Number,38880.0
Annual,Wien Hütteldorf - Tullnerbach -Pr.,Goods trains,Number,14125.0
Annual,Wien Hütteldorf - Tullnerbach -Pr.,Other trains,Number,1750.0
Annual,Wien Hütteldorf - Tullnerbach -Pr.,Passenger trains,Number,36180.0
Annual,Tullnerbach-Pr. - St. Pölten Hbf,Goods trains,Number,14875.0
Annual,Tullnerbach-Pr. - St. Pölten Hbf,Other trains,Number,1750.0
Annual,Tullnerbach-Pr. - St. Pölten Hbf,Passenger trains,Number,35640.0
Annual,St. Pölten Hbf  - Pöchlarn,Goods trains,Number,19250.0
Annual,St. Pölten Hbf  - Pöchlarn,Other trains,Number,2500.0
Annual,St. Pölten Hbf  - Pöchlarn,Passenger trains,Number,30240.0
Annual,Pöchlarn  - Amstetten,Goods trains,Number,19500.0
Annual,Pöchlarn  - Amstetten,Other trains,Number,2250.0
Annual,Pöchlarn  - Amstetten,Passenger trains,Number,28980.0
Annual,Amstetten  - St. Valentin,Goods trains,Number,20125.0
Annual,Amstetten  - St. Valentin,Other trains,Number,1250.0
Annual,Amstetten  - St. Valentin,Passenger trains,Number,30060.0
Annual,St. Valentin  - Linz Hbf,Goods trains,Number,21375.0
Annual,St. Valentin  - Linz Hbf,Other trains,Number,2375.0
Annual,St. Valentin  - Linz Hbf,Passenger trains,Number,19440.0
Annual,Linz Hbf - Wels,Goods trains,Number,20625.0
Annual,Linz Hbf - Wels,Other trains,Number,2000.0
Annual,Linz Hbf - Wels,Passenger trains,Number,34200.0
Annual,Wels Hbf  - Attnang Puchheim,Goods trains,Number,15625.0
Annual,Wels Hbf  - Attnang Puchheim,Other trains,Number,2875.0
Annual,Wels Hbf  - Attnang Puchheim,Passenger trains,Number,34920.0
Annual,Attnang Puchheim - Steindorf B.Straßwalchen,Goods trains,Number,13375.0
Annual,Attnang Puchheim - Steindorf B.Straßwalchen,Other trains,Number,2000.0
Annual,Attnang Puchheim - Steindorf B.Straßwalchen,Passenger trains,Number,27360.0
Annual,Steindorf B.Straßwalchen - Salzburg Hbf,Goods trains,Number,11250.0
Annual,Steindorf B.Straßwalchen - Salzburg Hbf,Other trains,Number,1250.0
Annual,Steindorf B.Straßwalchen - Salzburg Hbf,Passenger trains,Number,29160.0
Annual,Salzburg Hbf  - Freilassing,Goods trains,Number,5875.0
Annual,Salzburg Hbf  - Freilassing,Other trains,Number,3125.0
Annual,Salzburg Hbf  - Freilassing,Passenger trains,Number,31500.0
Annual,Salzburg Hbf  - Golling-Abtenau,Goods trains,Number,13250.0
Annual,Salzburg Hbf  - Golling-Abtenau,Other trains,Number,2000.0
Annual,Salzburg Hbf  - Golling-Abtenau,Passenger trains,Number,21420.0
Annual,Golling-Abtenau - Bischofshofen,Goods trains,Number,10125.0
Annual,Golling-Abtenau - Bischofshofen,Other trains,Number,375.0
Annual,Golling-Abtenau - Bischofshofen,Passenger trains,Number,17280.0
Annual,Bischofshofen - Schwarzach-St.Veit,Goods trains,Number,11625.0
Annual,Bischofshofen - Schwarzach-St.Veit,Other trains,Number,875.0
Annual,Bischofshofen - Schwarzach-St.Veit,Passenger trains,Number,15840.0
Annual,Schwarzach-St.Veit - Böckstein,Goods trains,Number,8250.0
