Time frequency,Education indicator,Geopolitical entity (reporting)\Time,2000.0
Annual,Odds ratios of graduating from tertiary education/Young people with parent with ISCED 5-6/Young people with parents with ISCED 1-2,Austria,2.9
Annual,Odds ratios of graduating from tertiary education/Young people with parent with ISCED 5-6/Young people with parents with ISCED 1-2,Belgium,3.0
Annual,Odds ratios of graduating from tertiary education/Young people with parent with ISCED 5-6/Young people with parents with ISCED 1-2,Greece,2.4
Annual,Odds ratios of graduating from tertiary education/Young people with parent with ISCED 5-6/Young people with parents with ISCED 1-2,Spain,2.0
Annual,Odds ratios of graduating from tertiary education/Young people with parent with ISCED 5-6/Young people with parents with ISCED 1-2,Finland,1.1
Annual,Odds ratios of graduating from tertiary education/Young people with parent with ISCED 5-6/Young people with parents with ISCED 1-2,France,2.4
Annual,Odds ratios of graduating from tertiary education/Young people with parent with ISCED 5-6/Young people with parents with ISCED 1-2,Hungary,16.6
Annual,Odds ratios of graduating from tertiary education/Young people with parent with ISCED 5-6/Young people with parents with ISCED 1-2,Italy,6.9
Annual,Odds ratios of graduating from tertiary education/Young people with parent with ISCED 5-6/Young people with parents with ISCED 1-2,Romania,20.4
Annual,Odds ratios of graduating from tertiary education/Young people with parent with ISCED 5-6/Young people with parents with ISCED 1-2,Sweden,1.9
Annual,Odds ratios of graduating from tertiary education/Young people with parent with ISCED 5-6/Young people with parents with ISCED 1-2,Slovenia,2.3
Annual,Odds ratios of graduating from tertiary education/Young people with parent with ISCED 5-6/Young people with parents with ISCED 1-2,Slovakia,7.6
Annual,Odds ratios of graduating from tertiary education/Young people with parent with ISCED 3-4/Young people with parents with ISCED 1-2,Austria,1.4
Annual,Odds ratios of graduating from tertiary education/Young people with parent with ISCED 3-4/Young people with parents with ISCED 1-2,Belgium,1.8
Annual,Odds ratios of graduating from tertiary education/Young people with parent with ISCED 3-4/Young people with parents with ISCED 1-2,Greece,1.4
Annual,Odds ratios of graduating from tertiary education/Young people with parent with ISCED 3-4/Young people with parents with ISCED 1-2,Spain,1.4
Annual,Odds ratios of graduating from tertiary education/Young people with parent with ISCED 3-4/Young people with parents with ISCED 1-2,Finland,0.9
Annual,Odds ratios of graduating from tertiary education/Young people with parent with ISCED 3-4/Young people with parents with ISCED 1-2,France,1.2
Annual,Odds ratios of graduating from tertiary education/Young people with parent with ISCED 3-4/Young people with parents with ISCED 1-2,Hungary,4.3
Annual,Odds ratios of graduating from tertiary education/Young people with parent with ISCED 3-4/Young people with parents with ISCED 1-2,Italy,2.3
Annual,Odds ratios of graduating from tertiary education/Young people with parent with ISCED 3-4/Young people with parents with ISCED 1-2,Romania,3.4
