Time frequency,Unit of measure,Income situation in relation to the risk of poverty threshold,Sex,Age class,Geopolitical entity (reporting)\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0
Annual,Percentage,Total,Females,From 15 to 29 years,Albania,:,:,:,:,:,:,23.9,28.0,24.9,17.1
Annual,Percentage,Total,Females,From 15 to 29 years,Austria,5.8,6.1,6.1,4.9,6.9,6.8,7.1,4.4,5.3,4.9
Annual,Percentage,Total,Females,From 15 to 29 years,Belgium,1.2,0.5,1.1,1.3,0.7,2.7 b,4.3,3.2,2.8 b,3.0
Annual,Percentage,Total,Females,From 15 to 29 years,Bulgaria,20.2,17.8,15.7,16.1,17.0,17.2 b,16.6,15.7,13.5,13.1
Annual,Percentage,Total,Females,From 15 to 29 years,Switzerland,1.9,3.7,3.0,2.2,2.3,4.1,2.9,4.6,1.9,3.0
Annual,Percentage,Total,Females,From 15 to 29 years,Cyprus,3.1,1.9,2.0,1.7,0.5,2.8,1.6,2.6,2.1,2.7
Annual,Percentage,Total,Females,From 15 to 29 years,Czechia,6.5,5.2,5.6,5.2,4.6,3.9,3.1,2.8,2.8,2.9
Annual,Percentage,Total,Females,From 15 to 29 years,Germany,4.4,4.1,3.3,3.8,3.7,3.6,4.0,4.8,4.0,2.2 b
Annual,Percentage,Total,Females,From 15 to 29 years,Denmark,4.6,5.6,4.3,4.9,7.3,4.3,5.1,7.3,7.9,6.2
Annual,Percentage,Total,Females,From 15 to 29 years,Estonia,5.8,5.7,6.5,5.6,4.2,3.8,4.5,5.1,5.5,3.0
Annual,Percentage,Total,Females,From 15 to 29 years,Greece,9.7,9.5,9.7,10.5,11.5,11.2,10.0,9.3,9.8,9.1
Annual,Percentage,Total,Females,From 15 to 29 years,Spain,3.4,2.2,3.1,2.3,2.6,3.2,1.9,2.5,2.8,5.8
Annual,Percentage,Total,Females,From 15 to 29 years,European Union - 27 countries (from 2020),8.3 e,8.0 e,7.9 e,7.8 e,7.8 e,7.7 e,6.8 e,6.3 e,6.0 e,7.0 e
Annual,Percentage,Total,Females,From 15 to 29 years,Finland,1.3,1.0,1.0,1.1,0.9,2.3,1.3,2.2,1.7,2.8
Annual,Percentage,Total,Females,From 15 to 29 years,France,3.9,3.8,3.3,4.0,3.6,4.5,3.3,5.1,3.5,8.2 b
Annual,Percentage,Total,Females,From 15 to 29 years,Croatia,12.3,14.8 b,13.5,9.2,9.2,8.3,9.2,8.1,6.9,5.6
Annual,Percentage,Total,Females,From 15 to 29 years,Hungary,20.5,23.3,24.4,24.9,22.1,22.2,23.6,10.9,12.7,12.0
Annual,Percentage,Total,Females,From 15 to 29 years,Ireland,1.9,1.5,3.7,2.3,2.4,2.5,1.1,1.5,1.9 b,2.1 b
Annual,Percentage,Total,Females,From 15 to 29 years,Iceland,2.5,4.3,3.6,2.6,3.4,2.4,1.7,2.8,5.7,:
Annual,Percentage,Total,Females,From 15 to 29 years,Italy,13.1,12.5,12.7,12.6,13.9,11.5,7.2,6.2,7.6,11.0
Annual,Percentage,Total,Females,From 15 to 29 years,Lithuania,7.5,8.1,11.8,15.2,12.6,11.0,10.7,8.9,11.0,9.9
Annual,Percentage,Total,Females,From 15 to 29 years,Luxembourg,1.7,2.4,3.0,2.3,2.1,2.6 b,3.9,2.8,2.4,2.7 b
Annual,Percentage,Total,Females,From 15 to 29 years,Latvia,21.4,21.1,21.3,22.5,19.4,18.0,19.5,17.3,16.4,14.1
Annual,Percentage,Total,Females,From 15 to 29 years,Montenegro,:,:,28.1,24.4,29.1,20.4,19.2,21.4,21.0,19.7
Annual,Percentage,Total,Females,From 15 to 29 years,North Macedonia,16.2,13.5,11.3,11.3,9.1,12.5,12.5,10.6,10.4,10.7
