Time frequency,Unit of measure,Broad economic categories (BEC Rev.5),Stock or flow,Geopolitical entity (partner),Geopolitical entity (reporting)\Time,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0
Annual,Million euro,"Agriculture, forestry, fishing, food, beverages, tobacco - services - intermediate consumption",Exports,Extra-EU27 (from 2020),European Union - 27 countries (from 2020),4857.0,5997.0,7119.0,5874.0,5527.0,5645.0,5524.0,5462.0,5672 p
Annual,Million euro,"Agriculture, forestry, fishing, food, beverages, tobacco - services - intermediate consumption",Imports,Extra-EU27 (from 2020),European Union - 27 countries (from 2020),4183.0,5310.0,6567.0,6298.0,5111.0,5376.0,6003.0,5303.0,6436 p
Annual,Million euro,"Agriculture, forestry, fishing, food, beverages, tobacco - services - final consumption",Exports,Extra-EU27 (from 2020),European Union - 27 countries (from 2020),17253.0,17867.0,20320.0,20797.0,22799.0,23633.0,24696.0,8074.0,9421 p
Annual,Million euro,"Agriculture, forestry, fishing, food, beverages, tobacco - services - final consumption",Imports,Extra-EU27 (from 2020),European Union - 27 countries (from 2020),12977.0,14119.0,14193.0,14176.0,15626.0,16420.0,17248.0,6349.0,6649 p
Annual,Million euro,"Mining, quarrying, refinery, fuels, chemicals, electricity, water, waste treatment - services - intermediate consumption",Exports,Extra-EU27 (from 2020),European Union - 27 countries (from 2020),22355.0,25102.0,28431.0,27465.0,29795.0,32567.0,33330.0,30975.0,34420 p
Annual,Million euro,"Mining, quarrying, refinery, fuels, chemicals, electricity, water, waste treatment - services - intermediate consumption",Imports,Extra-EU27 (from 2020),European Union - 27 countries (from 2020),14458.0,15334.0,19068.0,20212.0,21766.0,23722.0,25205.0,25506.0,25575 p
Annual,Million euro,"Mining, quarrying, refinery, fuels, chemicals, electricity, water, waste treatment - services - final consumption",Exports,Extra-EU27 (from 2020),European Union - 27 countries (from 2020),53.0,76.0,98.0,127.0,106.0,97.0,100.0,89.0,103 p
Annual,Million euro,"Mining, quarrying, refinery, fuels, chemicals, electricity, water, waste treatment - services - final consumption",Imports,Extra-EU27 (from 2020),European Union - 27 countries (from 2020),50.0,50.0,44.0,41.0,85.0,47.0,67.0,77.0,71 p
Annual,Million euro,"Construction, wood, glass, stone, basic metals, housing, electrical appliances, furniture - services - intermediate consumption",Exports,Extra-EU27 (from 2020),European Union - 27 countries (from 2020),37309.0,42998.0,47596.0,49546.0,49648.0,50175.0,53752.0,48796.0,52056 p
Annual,Million euro,"Construction, wood, glass, stone, basic metals, housing, electrical appliances, furniture - services - intermediate consumption",Imports,Extra-EU27 (from 2020),European Union - 27 countries (from 2020),22873.0,24510.0,28077.0,28920.0,29896.0,32709.0,33366.0,31067.0,33705 p
