Time frequency,Indicator used in Euro_Med,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
Annual,GDP at current market prices (million euro),Algeria,82809.5 d,93196.1 d,98457.2 d,116416.8 d,98309.8 d,120856.9 d,142737.9 d,158662.7 d,157915.0 d,161165.9 d,150039.0 d,144538.1 d,148233.0 d,146506.0 d
Annual,GDP at current market prices (million euro),Egypt,74901.5 di,85808.8 di,96434.7 di,112075.9 di,134763.6 di,161894.3 di,166023.0 di,215234.3 di,203891.1 di,226533.0 di,286390.6 di,244153.5 di,172732.0 di,:
Annual,GDP at current market prices (million euro),Israel,114566.9,122732.8,130715.4,147453.7,149186.6,176644.8,187936.9,200130.5,220289.1,233287.1,270101.0,288257.7,313090.7,313440.5
Annual,GDP at current market prices (million euro),Jordan,12009.5 de,14227.8 de,16154.9 de,20016.0 de,21596.0 de,23919.4 de,26073.2 de,27902.1 de,30321.4 de,32515.8 de,34204.5 de,35353.6 de,:,:
Annual,GDP at current market prices (million euro),Lebanon,17273.4 i,17560.1 i,18149.3 i,19872.1 i,25435.4 i,28980.8 i,28790.0 i,34324.5 i,35555.0 i,36333.8 i,45021.4 i,46291.9 i,47338.7 i,:
Annual,GDP at current market prices (million euro),Libya,36533.6 di,43864.9 di,41029.3 di,49844.8 di,36243.5 di,51711.0 di,22993.0 di,64978.6 di,:,:,:,:,:,:
Annual,GDP at current market prices (million euro),Morocco,50142.5 d,54676.4 d,57717.4 d,63179.3 d,66531.8 d,70401.4 d,72824.5 d,76365.0 d,80473.5 d,83045.5 d,91299.0 d,93385.2 d,97278.5 d,99839.6 d
Annual,GDP at current market prices (million euro),Palestine*,3883.8 di,3910.6 di,4017.4 di,4537.3 di,5210.9 di,6723.3 di,7518.2 di,8779.1 di,9393.9 di,9571.4 di,11422.3 di,12129.1 di,12833.6 di,12375.9 di
Annual,GDP at current market prices (million euro),Tunisia,25940.2 dip,27378.7 dip,28391.0 di,30497.1 di,31155.5 di,33228.6 di,32910.3 di,35059.4 di,34825.9 di,35821.3 di,38897.0 i,:,:,:
Annual,Annual growth rate of GDP in volume (constant price) (%),Algeria,5.9 d,1.7 d,3.4 d,2.4 d,1.6 d,3.6 d,2.9 d,3.4 d,2.8 d,3.8 d,3.7 d,3.2 d,1.3 d,1.4 d
Annual,Annual growth rate of GDP in volume (constant price) (%),Egypt,4.5 d,6.8 d,:,7.2 d,4.7 d,5.1 d,1.8 d,:,2.2 d,2.9 d,4.4 d,4.3 d,4.2 d,:
Annual,Annual growth rate of GDP in volume (constant price) (%),Israel,4.1,5.8,6.1,3.3,1.0,5.6,4.9,2.4,4.3,3.8,2.3,4.0,3.6,3.4
Annual,Annual growth rate of GDP in volume (constant price) (%),Jordan,7.4 de,8.4 de,7.7 de,6.8 e,4.5 e,2.7 e,2.8 e,2.1 e,2.4 e,3.4 e,2.6 e,2.1 e,:,:
Annual,Annual growth rate of GDP in volume (constant price) (%),Lebanon,2.7,1.7,9.3,9.2,10.1,8.0,0.9,2.7,2.6,1.9,0.4,1.6,0.6,:
Annual,Annual growth rate of GDP in volume (constant price) (%),Libya,10.3 d,6.7 d,:,-1.7 d,-2.9 d,3.7 d,-67.3 d,134.3 d,:,:,:,:,:,:
Annual,Annual growth rate of GDP in volume (constant price) (%),Morocco,3.3,7.6,3.5,5.9,4.2,3.8,5.2,3.0,4.5,2.7,4.5,1.1,4.2,3.0
Annual,Annual growth rate of GDP in volume (constant price) (%),Palestine*,10.8 de,-3.9 de,6.6 de,6.1 de,8.7 de,8.1 de,12.4 de,6.3 de,2.2 de,-0.2 de,3.4 de,4.7 de,3.1 de,0.8 d
Annual,Annual growth rate of GDP in volume (constant price) (%),Tunisia,5.6 d,4.6 d,5.7 d,4.5 d,3.1 d,3.0 d,-1.9 d,3.9 d,2.3 d,2.3 d,1.1,:,:,:
