Time frequency,Seasonal adjustment,Indicator,Geopolitical entity (reporting)\Time,Janvier 2024,Février 2024,Mars 2024,Avril 2024,Mai 2024,Juin 2024,Juillet 2024,Août 2024,Septembre 2024,Octobre 2024,Novembre 2024,Décembre 2024
Monthly,"Seasonally adjusted data, not calendar adjusted data",Construction confidence indicator,Albania,-3.7,-1.3,-3.2,-4.2,-3.6,-3.3,-1.2,-1.1,-2.5,-2.9,0.1,-6.7
Monthly,"Seasonally adjusted data, not calendar adjusted data",Construction confidence indicator,Austria,-14.6,-13.7,-17.2,-14.9,-14.0,-13.1,-15.3,-17.0,-11.8,-14.6,-8.9,-14.5
Monthly,"Seasonally adjusted data, not calendar adjusted data",Construction confidence indicator,Belgium,-8.0,-3.9,-5.1,-3.2,-2.0,-6.6,-12.0,-10.0,-5.1,-2.6,-1.2,-2.8
Monthly,"Seasonally adjusted data, not calendar adjusted data",Construction confidence indicator,Bulgaria,0.9,-1.6,-2.0,-3.6,-7.8,-5.7,-4.8,-5.2,-0.1,-3.9,-3.0,0.3
Monthly,"Seasonally adjusted data, not calendar adjusted data",Construction confidence indicator,Cyprus,-6.9,-2.1,-3.7,1.4,-4.7,-8.2,0.2,2.5,-1.4,1.8,1.0,-0.3
Monthly,"Seasonally adjusted data, not calendar adjusted data",Construction confidence indicator,Czechia,-8.6,-9.6,-10.7,-13.5,-13.4,-13.3,-10.3,-11.1,-9.4,-8.3,-4.0,-4.2
Monthly,"Seasonally adjusted data, not calendar adjusted data",Construction confidence indicator,Germany,-18.2,-18.1,-18.9,-17.9,-18.8,-17.3,-16.7,-16.5,-15.5,-15.9,-16.8,-14.5
Monthly,"Seasonally adjusted data, not calendar adjusted data",Construction confidence indicator,Denmark,-13.0,-10.1,-14.1,-10.8,-11.2,-11.5,-9.1,-9.4,-9.1,-8.1,-8.1,-5.7
Monthly,"Seasonally adjusted data, not calendar adjusted data",Construction confidence indicator,Euro area – 20 countries (from 2023),-4.6,-5.4,-5.5,-5.9,-6.0,-6.8,-6.3,-6.3,-5.5,-4.9,-4.9,-5.2
Monthly,"Seasonally adjusted data, not calendar adjusted data",Construction confidence indicator,Estonia,-17.2,-21.4,-17.9,-20.2,-17.6,-17.0,-16.8,-17.8,-19.7,-21.5,-20.7,-24.5
Monthly,"Seasonally adjusted data, not calendar adjusted data",Construction confidence indicator,Greece,20.2,7.7,8.4,-2.0,5.9,15.6,7.6,9.8,5.1,-0.5,-7.2,13.1
Monthly,"Seasonally adjusted data, not calendar adjusted data",Construction confidence indicator,Spain,2.1,6.7,8.1,13.9,16.1,-1.0,11.9,1.3,7.1,14.4,8.6,4.4
Monthly,"Seasonally adjusted data, not calendar adjusted data",Construction confidence indicator,European Union - 27 countries (from 2020),-7.0,-7.6,-7.5,-7.5,-8.0,-8.3,-8.0,-8.2,-7.7,-7.1,-6.8,-7.3
