Time frequency,Amenities,Tenure status,Unit of measure,Geopolitical entity (reporting)\Time,1991.0
Annual,Fixed bath or shower in the housing unit,Other,Number,Austria,1228173.0
Annual,Fixed bath or shower in the housing unit,Other,Number,Belgium,1112219.0
Annual,Fixed bath or shower in the housing unit,Other,Number,Germany,14786237.0
Annual,Fixed bath or shower in the housing unit,Other,Number,Denmark,883298.0
Annual,Fixed bath or shower in the housing unit,Other,Number,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",39256815.0
Annual,Fixed bath or shower in the housing unit,Other,Number,Greece,718873.0
Annual,Fixed bath or shower in the housing unit,Other,Number,Spain,2364526.0
Annual,Fixed bath or shower in the housing unit,Other,Number,European Union - 15 countries (1995-2004),48229933.0
Annual,Fixed bath or shower in the housing unit,Other,Number,Finland,489663.0
Annual,Fixed bath or shower in the housing unit,Other,Number,France,9062364.0
Annual,Fixed bath or shower in the housing unit,Other,Number,Départements d'outre-mer (NUTS 2010),137535.0
Annual,Fixed bath or shower in the housing unit,Other,Number,Ireland,186948.0
Annual,Fixed bath or shower in the housing unit,Other,Number,Italy,5975061.0
Annual,Fixed bath or shower in the housing unit,Other,Number,Luxembourg,40120.0
Annual,Fixed bath or shower in the housing unit,Other,Number,Netherlands,3158000.0
Annual,Fixed bath or shower in the housing unit,Other,Number,Norway,345982.0
Annual,Fixed bath or shower in the housing unit,Other,Number,Portugal,853504.0
Annual,Fixed bath or shower in the housing unit,Other,Number,United Kingdom,7370947.0
Annual,Fixed bath or shower in the housing unit,Owner,Number,Austria,1392348.0
Annual,Fixed bath or shower in the housing unit,Owner,Number,Belgium,2174375.0
Annual,Fixed bath or shower in the housing unit,Owner,Number,Germany,9670637.0
Annual,Fixed bath or shower in the housing unit,Owner,Number,Denmark,1151662.0
Annual,Fixed bath or shower in the housing unit,Owner,Number,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",52567193.0
Annual,Fixed bath or shower in the housing unit,Owner,Number,Greece,1989930.0
Annual,Fixed bath or shower in the housing unit,Owner,Number,Spain,8842081.0
Annual,Fixed bath or shower in the housing unit,Owner,Number,European Union - 15 countries (1995-2004),70448662.0
Annual,Fixed bath or shower in the housing unit,Owner,Number,Finland,1326014.0
Annual,Fixed bath or shower in the housing unit,Owner,Number,France,11067228.0
Annual,Fixed bath or shower in the housing unit,Owner,Number,Départements d'outre-mer (NUTS 2010),173739.0
Annual,Fixed bath or shower in the housing unit,Owner,Number,Ireland,761915.0
Annual,Fixed bath or shower in the housing unit,Owner,Number,Italy,12942742.0
Annual,Fixed bath or shower in the housing unit,Owner,Number,Luxembourg,88613.0
Annual,Fixed bath or shower in the housing unit,Owner,Number,Netherlands,2644000.0
Annual,Fixed bath or shower in the housing unit,Owner,Number,Norway,1332489.0
Annual,Fixed bath or shower in the housing unit,Owner,Number,Portugal,1657240.0
Annual,Fixed bath or shower in the housing unit,Owner,Number,United Kingdom,14739877.0
Annual,Fixed bath or shower in the housing unit,Total,Number,Austria,2620571.0
Annual,Fixed bath or shower in the housing unit,Total,Number,Belgium,3286594.0
Annual,Fixed bath or shower in the housing unit,Total,Number,Germany,24456874.0
Annual,Fixed bath or shower in the housing unit,Total,Number,Denmark,2034960.0
Annual,Fixed bath or shower in the housing unit,Total,Number,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",91824058.0
Annual,Fixed bath or shower in the housing unit,Total,Number,Greece,2708803.0
Annual,Fixed bath or shower in the housing unit,Total,Number,Spain,11206607.0
Annual,Fixed bath or shower in the housing unit,Total,Number,European Union - 15 countries (1995-2004),118678645.0
Annual,Fixed bath or shower in the housing unit,Total,Number,Finland,1815677.0
Annual,Fixed bath or shower in the housing unit,Total,Number,France,20129592.0
Annual,Fixed bath or shower in the housing unit,Total,Number,Départements d'outre-mer (NUTS 2010),311274.0
Annual,Fixed bath or shower in the housing unit,Total,Number,Ireland,948863.0
Annual,Fixed bath or shower in the housing unit,Total,Number,Italy,18917803.0
Annual,Fixed bath or shower in the housing unit,Total,Number,Luxembourg,128733.0
Annual,Fixed bath or shower in the housing unit,Total,Number,Netherlands,5802000.0
Annual,Fixed bath or shower in the housing unit,Total,Number,Norway,1678471.0
Annual,Fixed bath or shower in the housing unit,Total,Number,Portugal,2510744.0
Annual,Fixed bath or shower in the housing unit,Total,Number,United Kingdom,22110824.0
Annual,"Bath, shower in building - unknown",Other,Number,Belgium,14551.0
Annual,"Bath, shower in building - unknown",Other,Number,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",16280.0
Annual,"Bath, shower in building - unknown",Other,Number,European Union - 15 countries (1995-2004),16280.0
Annual,"Bath, shower in building - unknown",Other,Number,Ireland,1729.0
Annual,"Bath, shower in building - unknown",Owner,Number,Belgium,14793.0
Annual,"Bath, shower in building - unknown",Owner,Number,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",16178.0
Annual,"Bath, shower in building - unknown",Owner,Number,European Union - 15 countries (1995-2004),16178.0
Annual,"Bath, shower in building - unknown",Owner,Number,Ireland,1385.0
Annual,"Bath, shower in building - unknown",Total,Number,Belgium,29344.0
Annual,"Bath, shower in building - unknown",Total,Number,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",32458.0
Annual,"Bath, shower in building - unknown",Total,Number,European Union - 15 countries (1995-2004),32458.0
Annual,"Bath, shower in building - unknown",Total,Number,Ireland,3114.0
Annual,Central heating,Other,Number,Austria,1143252.0
Annual,Central heating,Other,Number,Belgium,761798.0
Annual,Central heating,Other,Number,Switzerland,1923061.0
Annual,Central heating,Other,Number,Germany,11369049.0
Annual,Central heating,Other,Number,Denmark,1040958.0
Annual,Central heating,Other,Number,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",25295200.0
Annual,Central heating,Other,Number,Greece,481567.0
Annual,Central heating,Other,Number,Spain,476583.0
Annual,Central heating,Other,Number,European Union - 15 countries (1995-2004),34221907.0
Annual,Central heating,Other,Number,Finland,523046.0
Annual,Central heating,Other,Number,France,7754088.0
Annual,Central heating,Other,Number,Luxembourg,37384.0
Annual,Central heating,Other,Number,Netherlands,3230000.0
Annual,Central heating,Other,Number,United Kingdom,7404182.0
Annual,Central heating,Owner,Number,Austria,1233587.0
Annual,Central heating,Owner,Number,Belgium,1568313.0
Annual,Central heating,Owner,Number,Switzerland,877892.0
Annual,Central heating,Owner,Number,Germany,7797670.0
Annual,Central heating,Owner,Number,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",26467102.0
Annual,Central heating,Owner,Number,Greece,922117.0
Annual,Central heating,Owner,Number,Spain,2555127.0
Annual,Central heating,Owner,Number,European Union - 15 countries (1995-2004),42167623.0
Annual,Central heating,Owner,Number,Finland,1305279.0
Annual,Central heating,Owner,Number,France,9251920.0
Annual,Central heating,Owner,Number,Luxembourg,81206.0
Annual,Central heating,Owner,Number,Netherlands,2674000.0
