Time frequency,Interest rate,Geopolitical entity (reporting)\Time,Janvier-Mars 1973,Avril-Juin 1973,Jullet-Septembre 1973,Octobre-Décembre 1973,Janvier-Mars 1974,Avril-Juin 1974,Jullet-Septembre 1974,Octobre-Décembre 1974,Janvier-Mars 1975,Avril-Juin 1975,Jullet-Septembre 1975,Octobre-Décembre 1975,Janvier-Mars 1976,Avril-Juin 1976,Jullet-Septembre 1976,Octobre-Décembre 1976,Janvier-Mars 1977,Avril-Juin 1977,Jullet-Septembre 1977,Octobre-Décembre 1977,Janvier-Mars 1978,Avril-Juin 1978,Jullet-Septembre 1978,Octobre-Décembre 1978,Janvier-Mars 1979,Avril-Juin 1979,Jullet-Septembre 1979,Octobre-Décembre 1979,Janvier-Mars 1980,Avril-Juin 1980,Jullet-Septembre 1980,Octobre-Décembre 1980,Janvier-Mars 1981,Avril-Juin 1981,Jullet-Septembre 1981,Octobre-Décembre 1981,Janvier-Mars 1982,Avril-Juin 1982,Jullet-Septembre 1982,Octobre-Décembre 1982,Janvier-Mars 1983,Avril-Juin 1983,Jullet-Septembre 1983,Octobre-Décembre 1983,Janvier-Mars 1984,Avril-Juin 1984,Jullet-Septembre 1984,Octobre-Décembre 1984,Janvier-Mars 1985,Avril-Juin 1985,Jullet-Septembre 1985,Octobre-Décembre 1985,Janvier-Mars 1986,Avril-Juin 1986,Jullet-Septembre 1986,Octobre-Décembre 1986,Janvier-Mars 1987,Avril-Juin 1987,Jullet-Septembre 1987,Octobre-Décembre 1987,Janvier-Mars 1988,Avril-Juin 1988,Jullet-Septembre 1988,Octobre-Décembre 1988,Janvier-Mars 1989,Avril-Juin 1989,Jullet-Septembre 1989,Octobre-Décembre 1989,Janvier-Mars 1990,Avril-Juin 1990,Jullet-Septembre 1990,Octobre-Décembre 1990,Janvier-Mars 1991,Avril-Juin 1991,Jullet-Septembre 1991,Octobre-Décembre 1991,Janvier-Mars 1992,Avril-Juin 1992,Jullet-Septembre 1992,Octobre-Décembre 1992,Janvier-Mars 1993,Avril-Juin 1993,Jullet-Septembre 1993,Octobre-Décembre 1993,Janvier-Mars 1994,Avril-Juin 1994,Jullet-Septembre 1994,Octobre-Décembre 1994,Janvier-Mars 1995,Avril-Juin 1995,Jullet-Septembre 1995,Octobre-Décembre 1995,Janvier-Mars 1996,Avril-Juin 1996,Jullet-Septembre 1996,Octobre-Décembre 1996,Janvier-Mars 1997,Avril-Juin 1997,Jullet-Septembre 1997,Octobre-Décembre 1997,Janvier-Mars 1998,Avril-Juin 1998,Jullet-Septembre 1998,Octobre-Décembre 1998
Quarterly,Long-term government bond yield,Austria,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,8.02,7.99,7.57,7.51,7.64,7.24,7.13,7.31,7.08,6.74,6.84,7.09,6.78,6.62,6.7,6.58,6.75,7.09,7.15,7.57,8.43,8.8,8.83,8.91,8.67,8.49,8.67,8.64,8.35,8.49,8.57,7.67,7.06,6.88,6.52,6.09,5.91,6.63,6.93,7.3,7.2,6.58,6.26,5.84,5.42,5.45,5.42,4.9,4.65,4.71,4.77,5.01,4.58,4.59,4.21,3.79
Quarterly,Long-term government bond yield,Belgium,7.27,7.32,7.45,7.69,8.09,8.62,8.98,9.01,9.01,8.41,8.23,8.51,8.83,9.18,8.98,9.19,9.18,8.98,8.64,8.41,8.52,8.23,8.37,8.7,8.93,9.21,9.78,10.9,11.93,12.04,12.09,12.74,13.65,13.76,14.0,13.89,14.01,13.6,13.26,12.92,12.52,11.59,11.42,11.65,12.19,12.13,11.91,11.59,11.55,10.87,10.47,9.56,9.13,7.75,7.36,7.47,7.59,7.75,7.84,8.11,7.54,7.78,8.11,7.99,8.35,8.35,8.48,9.36,10.26,9.91,10.04,10.0,9.46,9.06,9.34,9.13,8.76,8.87,8.93,8.07,7.51,7.33,7.09,6.93,6.77,7.52,8.19,8.34,8.25,7.47,7.07,6.72,6.48,6.49,6.42,5.81,5.61,5.7,5.5,5.54,5.03,4.96,4.58,4.21
Quarterly,Long-term government bond yield,Canada,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,8.9,7.92,7.93,7.32,7.06,7.48,7.08,6.02,6.14,6.29,5.72,5.45,:,:,:,:
Quarterly,Long-term government bond yield,Germany,8.57,9.33,9.84,9.6,9.97,10.57,10.7,10.3,8.94,8.37,8.27,8.37,7.87,7.8,8.03,7.5,6.93,6.2,5.8,5.7,5.3,5.4,6.0,6.17,6.7,7.47,7.6,7.93,8.67,8.77,7.93,8.63,9.76,10.64,11.1,10.03,9.73,9.07,9.0,8.1,7.53,7.67,8.23,8.13,8.03,8.0,7.87,7.2,7.37,7.1,6.47,6.53,6.13,5.73,5.8,6.0,5.7,5.5,6.0,6.17,5.83,6.0,6.4,6.07,6.76,6.97,6.9,7.5,8.49,8.93,8.93,9.03,8.74,8.5,8.77,8.57,8.1,8.27,8.24,7.33,6.73,6.57,6.2,5.63,5.83,6.53,6.96,7.37,7.3,6.57,6.34,5.83,5.63,5.87,5.77,5.3,5.04,5.1,5.03,5.23,4.73,4.7,4.27,3.9
Quarterly,Long-term government bond yield,Denmark,10.85,11.02,11.02,11.4,13.57,15.22,15.25,14.15,12.97,13.0,13.09,13.33,13.84,14.26,13.1,13.13,16.54,16.19,17.02,16.8,16.78,17.07,15.57,17.17,15.26,15.27,16.26,16.86,19.03,19.5,19.2,18.03,18.29,19.1,20.2,19.07,20.39,21.4,21.2,20.07,16.42,13.43,14.07,13.3,13.2,14.13,14.27,13.97,12.97,11.63,10.36,10.0,9.34,9.37,10.63,10.87,11.55,11.2,11.23,11.23,10.0,9.96,9.3,9.0,9.36,9.8,9.63,10.73,11.28,10.57,10.46,10.6,9.58,9.2,9.27,8.9,8.47,8.73,9.5,8.93,8.36,7.37,6.73,6.3,6.53,7.77,8.6,8.87,8.9,8.5,8.23,7.5,7.4,7.33,7.17,6.63,6.48,6.47,6.07,5.9,5.27,5.1,4.77,4.4
Quarterly,Long-term government bond yield,Greece,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,19.1,18.23,18.02,15.57,17.78,15.58,15.48,13.33,16.89,18.04,18.57,19.44,20.2,19.12,17.39,17.19,18.37,16.54,14.17,14.02,14.94,16.98,16.62,14.62,17.47,17.36,16.91,18.17,20.36,17.02,14.87,14.01,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Quarterly,Long-term government bond yield,Spain,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,12.06,11.32,12.53,12.76,13.09,13.05,14.38,15.56,15.65,16.1,16.53,16.24,15.77,15.27,15.95,15.79,15.98,16.09,16.08,15.69,16.85,17.42,17.81,17.11,17.52,16.73,14.79,13.37,13.58,14.26,12.34,12.31,11.49,11.38,10.27,10.77,12.9,13.85,13.58,12.2,11.08,11.2,12.49,13.33,13.64,13.74,14.1,14.66,14.64,14.75,14.66,13.93,12.1,11.94,11.76,11.37,11.39,12.7,13.21,11.96,11.03,9.34,8.31,8.08,9.22,10.54,10.94,11.72,11.48,10.84,10.11,9.18,8.52,8.11,6.91,6.23,6.0,5.65,5.49,4.87,4.81,4.53,3.97
Quarterly,Long-term government bond yield,Finland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,11.4,11.4,11.96,12.85,11.68,10.36,9.43,8.15,7.36,6.87,8.77,10.34,10.17,10.21,8.99,8.36,7.62,7.47,7.35,7.05,6.44,6.06,6.2,5.86,5.71,5.17,5.01,4.67,4.31
Quarterly,Long-term government bond yield,France,8.41,8.73,9.3,9.55,10.46,11.0,11.39,11.17,10.64,10.29,10.14,10.17,10.2,10.26,10.59,10.98,10.75,11.14,11.01,11.06,11.22,10.7,10.42,10.1,6.37,10.1,11.49,12.09,13.68,13.59,13.58,14.27,14.86,16.52,17.07,16.71,16.36,16.13,15.83,15.67,14.84,14.54,14.01,14.08,13.87,13.87,13.52,12.36,12.21,11.94,11.93,11.38,10.06,8.6,8.37,9.45,9.59,9.92,10.68,10.66,9.56,9.29,9.21,8.82,9.14,8.98,8.93,9.56,10.35,10.07,10.61,10.61,9.8,9.43,9.46,9.25,8.96,9.05,9.36,8.46,8.04,7.36,6.66,6.11,6.38,7.39,7.95,8.34,8.12,7.77,7.51,7.23,6.89,6.77,6.47,5.91,5.63,5.85,5.57,5.64,5.14,5.04,4.64,4.45
Quarterly,Long-term government bond yield,Ireland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,12.08,13.15,12.86,13.23,13.73,14.21,15.88,16.45,16.39,15.54,14.38,15.11,16.12,16.94,17.7,18.25,19.03,18.38,16.15,14.66,14.37,13.58,13.71,13.93,14.06,14.4,14.94,15.05,14.27,12.89,11.62,11.92,10.65,9.02,11.2,13.37,12.06,10.77,11.68,10.58,10.38,9.72,9.45,8.4,8.65,9.11,8.8,9.21,10.21,9.98,10.16,10.0,9.26,9.1,9.3,9.03,8.73,8.81,9.27,9.62,8.98,7.88,7.36,6.65,6.94,8.36,8.72,8.73,8.73,8.42,8.27,7.75,7.81,7.67,7.51,6.95,6.85,6.83,6.38,5.93,5.38,5.27,4.83,4.5
