Time frequency,Crops,Structure of production,Geopolitical entity (reporting)\Time,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
Annual,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),Albania,:,14.6,14.9,13.7,13.0,13.4,15.2,13.35,13.4,13.0,12.2,:
Annual,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),Austria,17.81,19.76,23.57,24.79,22.86,20.63,17.68,18.65,19.96,18.93,21.13,23.34
Annual,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),Bosnia and Herzegovina,9.82 e,9.25 e,9.60 e,8.48 e,8.81 e,8.11 e,8.83 e,8.68 e,8.20 e,4.11 b,3.63 p,:
Annual,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),Belgium,1.7,1.98,2.74,2.91,3.42,3.82,4.64,6.0,6.88,11.3,10.98,:
Annual,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),Bulgaria,6.21,2.65,18.06,30.81,84.91,96.44,31.49,25.2,25.75,16.77,15.33,:
Annual,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),Switzerland,:,4.33,5.02,5.99,6.08,5.91,5.49,5.56,5.48,4.7,4.74,4.77 e
Annual,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),Cyprus,0.37,0.37,0.66,0.45,0.4,0.32,0.28,0.3,0.27,0.29,0.29 p,0.28 e
Annual,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),Czechia,17.85,20.17,33.14,35.63,42.86,35.15,33.77,37.3,43.08,45.63,51.92,58.68
Annual,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),Germany,74.7,92.4,160.4,171.3,178.1,167.6,166.7,190.1,210.5,236.8,231.5,244.5
Annual,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),Denmark,7.2,8.4,12.0,15.7,20.6,32.0,22.2,26.6,32.4,38.9,42.4,31.1
Annual,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),Estonia,13.6,19.1,31.3,55.42,65.56,46.81,42.95,49.54,48.97,48.83,53.34,:
Annual,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),Greece,44.14,48.48,67.47,88.06,127.12,134.22,128.88,130.71,133.0,135.79,120.88,122.24
Annual,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),Spain,378.11,458.39,489.39,460.23,521.39,472.93,420.54,366.93,361.62,361.77,605.38,529.71 p
Annual,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),European Union - 27 countries (from 2020),1209.11,1432.41,1993.74,2108.72,2350.5,2172.91,1990.83,2121.91,2121.57,2136.41,2497.81,:
Annual,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),Finland,11.3,14.3,23.2,26.2,20.3,24.7,27.1,34.4,28.83,40.56,41.3,43.13
Annual,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),France,214.66,245.65,296.18,328.79,358.65,292.86,312.8,389.26 b,391.95,308.71,353.69,:
Annual,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),Croatia,2.02,2.41,2.28,3.25,2.58,2.54,2.51,1.9,2.21,3.08,3.99,:
Annual,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),Hungary,21.16,21.86,25.63,21.19,19.9,17.17,16.99,12.17,13.4,11.63,13.19,:
Annual,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),Ireland,4.48,3.54 d,10.66,12.48,13.72,8.5,8.13,13.75,9.74,10.83,16.25,18.93
Annual,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),Iceland,0.0,:,0.00 n,0.0,0.00 n,0.00 n,0.00 n,0.00 n,0.0,0.00 n,0.00 n,0.00 n
Annual,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),Italy,68.26,67.45,73.47,87.42,99.51,106.63,115.83,113.05,104.22,89.28,85.01,89.16
Annual,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),Lithuania,44.4,81.5,156.98,231.98,236.22,188.04,141.16,132.15,152.09,142.07,167.59,:
Annual,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),Luxembourg,0.28,0.38,0.59,0.68,0.62,0.41,0.41,0.38,0.38,0.45,0.49,0.38
Annual,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),Latvia,7.0,11.7,31.1,40.8,48.2,51.9,39.1,42.4,48.3,47.9,70.6,:
Annual,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),Montenegro,0.03,0.09,0.00 n,0.00 n,0.00 n,0.00 n,0.00 n,0.00 n,0.00 n,0.0,0.0,0.00 n
Annual,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),North Macedonia,13.5,13.61,13.58,13.48,13.18,13.12,13.02,12.57,12.48,11.89,11.24,10.86 e
Annual,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),Malta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),Netherlands,3.0,3.0,1.57,2.15,3.06,2.91,3.51,4.14,4.66,4.3,1.69 d,:
Annual,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),Norway,:,4.1,4.2,2.46,2.62,3.26,2.8,4.23,3.23,5.82,6.44,:
Annual,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),Poland,170.6,205.32,403.9,320.9,272.38,251.99,269.59,345.76,320.25,400.62,398.02,:
Annual,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),Portugal,10.9,13.1,16.19,18.87,19.06,20.47,18.01,18.98,20.4,23.33,24.83,24.25 p
Annual,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),Romania,53.9,50.0,54.35,60.34,120.21,134.29,116.86,108.53,85.61,76.52,102.09,112.6
Annual,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),Serbia,11.93,11.28,13.76,13.6,14.5,10.62,10.89,10.19,9.48,9.91,7.99,:
Annual,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),Sweden,30.17,33.76,47.96,55.34,55.1,48.72,39.36,42.3,43.05,46.46,47.1,:
Annual,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),Slovenia,0.69,0.69,0.85,1.26,1.31,1.08,1.03,0.74,0.75,0.73,0.69,:
Annual,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),Slovakia,4.62,6.07,10.1,11.77,12.48,10.82,9.31,10.69,13.3,14.9,18.13,21.73
Annual,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),Türkiye,807.0,744.0,690.0,715.0,791.0,888.0,954.0,907.0,946.0,936.0,905.0,:
Annual,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),United Kingdom,147.0,139.0,214.0,228.0,233.0,192.7,177.94,240.90 p,:,:,:,:
