Time frequency,Rail network segment (2020),Train category,Unit of measure\Time,2020.0
Annual,Kolín - Ceská Trebová,Goods trains,Number,24868.0
Annual,Kolín - Ceská Trebová,Passenger trains,Number,50715.0
Annual,Praha - Kolín,Goods trains,Number,10709.0
Annual,Praha - Kolín,Passenger trains,Number,60490.0
Annual,Ústí Nad Orlicí - Štíty,Goods trains,Number,936.0
Annual,Ústí Nad Orlicí - Štíty,Passenger trains,Number,6916.0
Annual,Ústí Nad Labem Západ - Lysá,Goods trains,Number,20610.0
Annual,Ústí Nad Labem Západ - Lysá,Passenger trains,Number,14544.0
Annual,Ústí Nad Labem-Strekov - Decín Hl.N.,Goods trains,Number,11837.0
Annual,Ústí Nad Labem-Strekov - Decín Hl.N.,Passenger trains,Number,15122.0
Annual,Kralupy Nad Vltavou - Decín Hl.N.,Goods trains,Number,25150.0
Annual,Kralupy Nad Vltavou - Decín Hl.N.,Passenger trains,Number,30854.0
Annual,Praha - Kralupy Nad Vltavou,Goods trains,Number,11456.0
Annual,Praha - Kralupy Nad Vltavou,Passenger trains,Number,33665.0
Annual,Decín Hl.N. - Dolní Žleb St.Hr.,Goods trains,Number,19550.0
Annual,Decín Hl.N. - Dolní Žleb St.Hr.,Passenger trains,Number,6137.0
Annual,Ústí Nad Labem Hl.N. - Most - Chomutov,Goods trains,Number,17045.0
Annual,Ústí Nad Labem Hl.N. - Most - Chomutov,Passenger trains,Number,40766.0
Annual,Ústí Nad Labem Západ-V.Kríž - Bílina,Goods trains,Number,13441.0
Annual,Ústí Nad Labem Západ-V.Kríž - Bílina,Passenger trains,Number,6125.0
Annual,Cheb (Velenické Stanicení) - Chomutov,Goods trains,Number,6131.0
Annual,Cheb (Velenické Stanicení) - Chomutov,Passenger trains,Number,37569.0
Annual,Cheb - Beroun,Goods trains,Number,7257.0
Annual,Cheb - Beroun,Passenger trains,Number,51601.0
Annual,Praha-Smíchov - Beroun-Os.N.,Goods trains,Number,5405.0
Annual,Praha-Smíchov - Beroun-Os.N.,Passenger trains,Number,43520.0
Annual,Cheb - Cheb St.Hr.,Goods trains,Number,1486.0
Annual,Cheb - Cheb St.Hr.,Passenger trains,Number,3605.0
Annual,Plzen-Jižní Predmestí - Ceská Kubice St.Hr.,Goods trains,Number,1175.0
Annual,Plzen-Jižní Predmestí - Ceská Kubice St.Hr.,Passenger trains,Number,13360.0
Annual,C.Budejovice-Os.N. - Plzen Hl.N.-Os.N.,Goods trains,Number,3536.0
Annual,C.Budejovice-Os.N. - Plzen Hl.N.-Os.N.,Passenger trains,Number,26494.0
Annual,C.Budejovice-Os.N. - Horní Dvorište St.Hr.,Goods trains,Number,2550.0
Annual,C.Budejovice-Os.N. - Horní Dvorište St.Hr.,Passenger trains,Number,21048.0
Annual,C.Budejovice-Os.N. - Ceské Velenice St.Hr.,Goods trains,Number,716.0
Annual,C.Budejovice-Os.N. - Ceské Velenice St.Hr.,Passenger trains,Number,10442.0
Annual,C.Budejovice-Os.N. - Benešov U Prahy,Goods trains,Number,5346.0
Annual,C.Budejovice-Os.N. - Benešov U Prahy,Passenger trains,Number,39527.0
Annual,Praha-Vršovice Os.N. - Benešov U Prahy,Goods trains,Number,5964.0
Annual,Praha-Vršovice Os.N. - Benešov U Prahy,Passenger trains,Number,33065.0
Annual,Veselí N Lužnicí - Ceské Velenice,Goods trains,Number,229.0
Annual,Veselí N Lužnicí - Ceské Velenice,Passenger trains,Number,5145.0
Annual,Kolín Os.N. - Havlíckuv Brod,Goods trains,Number,6592.0
Annual,Kolín Os.N. - Havlíckuv Brod,Passenger trains,Number,16848.0
Annual,Praha-Vysocany - Kolín Os.N. -Tpca,Goods trains,Number,31502.0
Annual,Praha-Vysocany - Kolín Os.N. -Tpca,Passenger trains,Number,68047.0
Annual,Havlíckuv Brod - Lanžhot St.Hr. Hruš - Židl,Goods trains,Number,26037.0
Annual,Havlíckuv Brod - Lanžhot St.Hr. Hruš - Židl,Passenger trains,Number,101241.0
Annual,Ceská Trebová Os.N. - Brno Hl.N.,Goods trains,Number,8264.0
Annual,Ceská Trebová Os.N. - Brno Hl.N.,Passenger trains,Number,27217.0
Annual,Ceská Trebová Os.N. - Bohumín-Predn.,Goods trains,Number,38883.0
Annual,Ceská Trebová Os.N. - Bohumín-Predn.,Passenger trains,Number,85634.0
Annual,Hranice Na Morave - Horní Lidec St.Hr.,Goods trains,Number,5136.0
