Time frequency,Unit of measure,Type of household,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Single person,Albania,:,:,:,:,:,16.0,11.3,10.3,11.2,11.7,:,:
Annual,Percentage,Single person,Austria,18.2,17.3,18.2,16.8,16.5,17.2,16.6,16.9,16.5,15.3,16.1,15.2
Annual,Percentage,Single person,Belgium,29.0,28.5,28.7,27.9,27.7,27.6,25.7,26.9 b,27.3,27.2,27.9,26.9
Annual,Percentage,Single person,Bulgaria,41.8,40.6,30.1,41.6,43.0 b,45.7,41.9,40.0,37.0,31.5,37.8,23.5
Annual,Percentage,Single person,Switzerland,32.2,30.3,31.7 b,31.4,33.9,32.8,34.5,34.9,35.2,36.4,33.9,34.2
Annual,Percentage,Single person,Cyprus,11.5,8.8,13.4,12.3,9.6,9.0,7.9,8.1,9.7,11.1,11.5,13.6
Annual,Percentage,Single person,Czechia,31.9,32.7,31.4,30.5,30.1,28.1,28.0,24.5,22.3,20.3,22.6,27.2
Annual,Percentage,Single person,Germany,34.4,33.1,34.5,32.1,34.7,32.0,29.9,30.5,18.9 b,22.1,23.9,24.8
Annual,Percentage,Single person,Denmark,39.6,41.1,39.6,39.4,42.9,45.7,42.8,42.9,38.3 b,41.0,40.4,39.2
Annual,Percentage,Single person,Euro area - 19 countries  (2015-2022),24.9,24.7,25.5,24.5,25.4,23.9,22.7,23.4,19.2,21.4 e,:,:
Annual,Percentage,Single person,Euro area – 20 countries (from 2023),:,:,25.6,24.5,25.3,23.9,22.6,23.3,19.2,21.5,22.2,22.1
Annual,Percentage,Single person,Estonia,16.8,15.6,18.7 b,14.6,13.1,13.8,11.2,11.4,12.5,11.5,13.9,18.3
Annual,Percentage,Single person,Greece,61.4,62.2,68.7,72.1,63.6,63.8,64.1,64.9,60.7,53.9,60.7,62.3
Annual,Percentage,Single person,Spain,20.3,20.3,21.5,20.1,19.1,19.3,17.6,18.2,17.3,20.1,19.5,19.5
Annual,Percentage,Single person,European Union - 27 countries (2007-2013),25.1,24.9,26.1,25.1,25.8,25.2,24.7,24.7 e,:,:,:,:
Annual,Percentage,Single person,European Union - 27 countries (from 2020),26.3 e,26.1 e,26.2 e,25.5 e,26.0 e,25.0 e,23.8 e,23.8 e,20.1,22.0,22.9,22.8
Annual,Percentage,Single person,European Union - 28 countries (2013-2020),25.1,24.9,26.1,25.1,25.8,25.2,24.7,24.7 e,:,:,:,:
Annual,Percentage,Single person,Finland,13.2,12.6,14.0,13.9,12.9,13.2,13.6,11.3,12.3,12.2,14.1,15.0
Annual,Percentage,Single person,France,15.1,15.2,15.7,16.0,14.9,14.4,14.1,15.3,16.4 b,:,20.2 b,18.7
Annual,Percentage,Single person,Croatia,19.3,22.0,21.3,22.0,21.0,19.0,19.3,19.2,18.1,17.3,15.1,16.6
Annual,Percentage,Single person,Hungary,31.1,26.9,24.0,18.1,18.4,21.1,21.3,10.8,11.4,6.4,20.7,17.3
Annual,Percentage,Single person,Ireland,14.9,13.0,14.8,12.5,12.2,10.9,8.7,10.0 b,10.0 b,8.6,12.1,15.5
Annual,Percentage,Single person,Iceland,18.3,16.7,19.8,21.0,21.0,20.0,19.1,26.5,:,:,:,:
Annual,Percentage,Single person,Italy,16.3,17.9,16.8,16.4,20.0,18.4,17.6,18.9,17.5,18.3,18.0,16.8
Annual,Percentage,Single person,Lithuania,24.2,19.8,20.1,23.7,22.7,19.5,14.8,13.3,8.4,7.9,8.9,9.5
Annual,Percentage,Single person,Luxembourg,13.5,12.8,15.6,15.1,18.0 b,19.4,20.5,23.6,18.7 b,8.7 b,19.7 b,23.4
Annual,Percentage,Single person,Latvia,28.7,30.7,25.2,21.1,21.4,20.7,20.0,17.4,14.7,14.1,13.8,18.1
Annual,Percentage,Single person,Montenegro,:,35.0,25.6,27.7,27.5,27.3,28.6,25.8,19.9,18.0,13.4,:
Annual,Percentage,Single person,North Macedonia,31.4,28.3,20.5,20.7,19.3,15.1,14.3,14.5,11.0,:,:,:
Annual,Percentage,Single person,Malta,7.3,7.2,4.2,4.8,4.5,4.0,5.6,7.5,10.9,8.5,9.5,12.8
Annual,Percentage,Single person,Netherlands,35.4,37.8,39.3,37.1,36.7 b,32.4,32.5,36.2,29.9,33.7,38.0,33.3
Annual,Percentage,Single person,Norway,21.9,21.1,23.1,24.6,23.6,21.6,24.1,24.1,23.5,20.6 b,27.0,28.0
Annual,Percentage,Single person,Poland,29.2,28.5,25.4,26.2,23.8,25.3,25.0,23.6,22.7 b,25.5,23.1,23.5
Annual,Percentage,Single person,Portugal,12.1,12.7,15.6,14.7,14.0,12.7,12.9,11.7,9.7,9.9 b,10.8,10.5
Annual,Percentage,Single person,Romania,40.0,36.3,34.5,35.3,32.0,32.0,28.3,24.5,19.4,18.7,21.2,21.8
Annual,Percentage,Single person,Serbia,:,35.2,43.6,49.0,46.9,51.6,52.7,40.8,36.8,35.1,31.9,:
Annual,Percentage,Single person,Sweden,26.8,27.8,26.4,26.1,24.8,24.8,25.3,24.0,22.8,24.7,25.1,30.6
Annual,Percentage,Single person,Slovenia,20.3,17.7,19.6,18.9,16.6,17.1,17.7,14.7,14.3,13.9,13.9,13.0
Annual,Percentage,Single person,Slovakia,22.8,22.1,22.9,22.0,24.7,32.5,18.7,16.6,17.1,23.3,17.4,30.7
Annual,Percentage,Single person,Türkiye,14.6,17.5,15.1,16.0,18.5,16.1,18.6,19.1,21.1,19.3,21.1,26.8
Annual,Percentage,Single person,United Kingdom,15.5 b,15.3,24.9,21.6,24.3,26.7 b,31.9,:,:,:,:,:
Annual,Percentage,Two adults,Albania,:,:,:,:,:,9.2,5.1,5.6,4.7,4.5,:,:
Annual,Percentage,Two adults,Austria,6.2,6.6,5.2,4.3,5.1,4.3,4.4,5.0,3.1,4.0,5.7,4.6
Annual,Percentage,Two adults,Belgium,8.0,5.9,6.3,6.7,7.4,5.9,6.6,5.2 b,5.0,4.1,4.4,4.9
Annual,Percentage,Two adults,Bulgaria,15.0,18.5,12.3,15.2,18.5 b,18.0,16.5,15.6,12.6,10.9,11.3,8.6
Annual,Percentage,Two adults,Switzerland,11.5,10.4,9.3 b,10.1,9.2,10.9,10.1,12.4,11.1,11.5,11.0,12.1
Annual,Percentage,Two adults,Cyprus,4.2,2.4,3.9,4.2,2.9,3.1,2.0,1.7,2.0,2.5,2.5,2.9
Annual,Percentage,Two adults,Czechia,8.6,8.8,8.8,8.5,7.8,6.7,5.4,4.0,4.1,3.2,3.4,5.4
Annual,Percentage,Two adults,Germany,12.9,15.6,13.4,13.4,13.3,11.5,11.2,11.3,6.0 b,8.1,9.7,10.2
Annual,Percentage,Two adults,Denmark,11.0,13.4,9.9,10.2,9.0,9.7,10.0,11.0,9.2 b,9.8,8.9,8.2
Annual,Percentage,Two adults,Euro area - 19 countries  (2015-2022),8.4,9.3,9.0,8.8,8.8,7.8,7.5,7.4,5.5,6.3 e,:,:
Annual,Percentage,Two adults,Euro area – 20 countries (from 2023),:,:,9.1,8.8,8.8,7.9,7.5,7.4,5.5,6.9,6.9,6.7
Annual,Percentage,Two adults,Estonia,6.1,4.6,5.7 b,3.7,3.1,2.6,2.5,2.3,2.1,2.3,2.4,5.1
Annual,Percentage,Two adults,Greece,25.0,27.2,37.2,37.3,30.5,30.4,30.4,28.9,26.0,22.7,22.8,22.7
Annual,Percentage,Two adults,Spain,8.1,8.6,8.3,7.3,7.7,7.0,7.5,6.2,6.3,7.3,7.4,6.5
Annual,Percentage,Two adults,European Union - 27 countries (2007-2013),8.6,9.2,9.2,9.1,9.0,8.0,7.8,7.6 e,:,:,:,:
Annual,Percentage,Two adults,European Union - 27 countries (from 2020),9.0 e,9.7 e,9.4 e,9.0 e,9.0 e,8.0 e,7.5 e,7.4 e,5.6,6.7,6.9,6.6
Annual,Percentage,Two adults,European Union - 28 countries (2013-2020),8.6,9.2,9.2,9.1,9.0,8.0,7.8,7.6 e,:,:,:,:
Annual,Percentage,Two adults,Finland,2.9,2.8,3.3,3.3,2.8,2.2,2.0,2.2,2.4,2.2,3.5,1.7
Annual,Percentage,Two adults,France,3.4,2.8,2.8,3.0,3.5,4.0,3.0,3.1,3.6 b,:,3.5 b,3.4
Annual,Percentage,Two adults,Croatia,9.9,10.8,9.1,11.0,8.7,8.3,7.7,6.3,5.8,6.7,5.6,5.5
Annual,Percentage,Two adults,Hungary,11.9,11.4,11.2,7.4,7.8,9.6,7.8,3.9,4.0,1.8,7.4,4.8
Annual,Percentage,Two adults,Ireland,5.8,4.2,4.9,3.1,4.2,3.3,3.1,4.2 b,4.0 b,1.8,1.9,4.0
Annual,Percentage,Two adults,Iceland,8.0,7.3,5.9,4.7,4.4,5.6,6.6,7.2,:,:,:,:
Annual,Percentage,Two adults,Italy,5.4,6.5,6.4,6.6,8.0,6.3,5.8,6.7,4.7,5.5,5.8,4.1
Annual,Percentage,Two adults,Lithuania,7.3,5.4,3.8,5.9,4.6,3.8,2.6,2.1,1.3,0.9,1.8,3.8
Annual,Percentage,Two adults,Luxembourg,2.7,3.8,4.1,4.3,5.5 b,6.2,7.2,7.2,7.0 b,6.4 b,5.8 b,8.0
Annual,Percentage,Two adults,Latvia,10.1,10.5,7.5,6.5,6.7,5.9,4.5,4.3,3.2,3.7,4.8,5.8
Annual,Percentage,Two adults,Montenegro,:,19.9,14.8,15.3,16.2,16.3,14.4,12.0,9.5,9.2,8.0,:
Annual,Percentage,Two adults,North Macedonia,22.7,21.6,18.4,15.8,15.3,10.9,11.3,10.5,8.7,:,:,:
Annual,Percentage,Two adults,Malta,3.4,2.3,1.9,1.1,1.6,1.3,1.5,2.6,2.5,2.4,2.0,5.4
Annual,Percentage,Two adults,Netherlands,8.1,9.1,11.4,9.2,6.9 b,5.9,5.8,6.2,5.0,4.9,6.0,6.3
Annual,Percentage,Two adults,Norway,6.0,6.0,4.5,5.0,4.7,4.6,5.7,5.0,4.1,8.0 b,6.7,7.6
Annual,Percentage,Two adults,Poland,11.4,10.8,11.4,10.2,9.0,7.6,7.8,7.6,5.1 b,6.7,6.1,6.5
