Time frequency,Effects,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2023.0
Annual,Slept outside (public space),Females,Percentage,Austria,3.1
Annual,Slept outside (public space),Females,Percentage,Belgium,2.8
Annual,Slept outside (public space),Females,Percentage,Bulgaria,1.8
Annual,Slept outside (public space),Females,Percentage,Cyprus,2.1
Annual,Slept outside (public space),Females,Percentage,Czechia,2.5
Annual,Slept outside (public space),Females,Percentage,Germany,2.9
Annual,Slept outside (public space),Females,Percentage,Denmark,0.9
Annual,Slept outside (public space),Females,Percentage,Euro area – 20 countries (from 2023),3.0
Annual,Slept outside (public space),Females,Percentage,Estonia,2.6
Annual,Slept outside (public space),Females,Percentage,Greece,0.6
Annual,Slept outside (public space),Females,Percentage,Spain,1.4
Annual,Slept outside (public space),Females,Percentage,European Union - 27 countries (from 2020),2.9
Annual,Slept outside (public space),Females,Percentage,Finland,0.0 n
Annual,Slept outside (public space),Females,Percentage,France,5.1
Annual,Slept outside (public space),Females,Percentage,Croatia,0.6 u
Annual,Slept outside (public space),Females,Percentage,Hungary,3.5
Annual,Slept outside (public space),Females,Percentage,Ireland,3.7 u
Annual,Slept outside (public space),Females,Percentage,Italy,0.9
Annual,Slept outside (public space),Females,Percentage,Lithuania,0.6 u
Annual,Slept outside (public space),Females,Percentage,Luxembourg,4.2
Annual,Slept outside (public space),Females,Percentage,Latvia,3.1
Annual,Slept outside (public space),Females,Percentage,Malta,0.0 n
Annual,Slept outside (public space),Females,Percentage,Netherlands,1.7
Annual,Slept outside (public space),Females,Percentage,Norway,3.1
Annual,Slept outside (public space),Females,Percentage,Poland,1.5 u
Annual,Slept outside (public space),Females,Percentage,Portugal,2.7
Annual,Slept outside (public space),Females,Percentage,Romania,3.9
Annual,Slept outside (public space),Females,Percentage,Sweden,2.2
Annual,Slept outside (public space),Females,Percentage,Slovenia,3.9
Annual,Slept outside (public space),Females,Percentage,Slovakia,0.0 n
Annual,Slept outside (public space),Males,Percentage,Austria,9.6
Annual,Slept outside (public space),Males,Percentage,Belgium,5.3
Annual,Slept outside (public space),Males,Percentage,Bulgaria,0.0 n
Annual,Slept outside (public space),Males,Percentage,Cyprus,2.7
Annual,Slept outside (public space),Males,Percentage,Czechia,2.7
Annual,Slept outside (public space),Males,Percentage,Germany,3.4
Annual,Slept outside (public space),Males,Percentage,Denmark,3.0
Annual,Slept outside (public space),Males,Percentage,Euro area – 20 countries (from 2023),5.8
Annual,Slept outside (public space),Males,Percentage,Estonia,5.8
Annual,Slept outside (public space),Males,Percentage,Greece,1.5
Annual,Slept outside (public space),Males,Percentage,Spain,3.2
Annual,Slept outside (public space),Males,Percentage,European Union - 27 countries (from 2020),5.6
Annual,Slept outside (public space),Males,Percentage,Finland,2.3
Annual,Slept outside (public space),Males,Percentage,France,10.6
Annual,Slept outside (public space),Males,Percentage,Croatia,2.1 u
Annual,Slept outside (public space),Males,Percentage,Hungary,4.8
Annual,Slept outside (public space),Males,Percentage,Ireland,9.9 u
Annual,Slept outside (public space),Males,Percentage,Italy,1.8
Annual,Slept outside (public space),Males,Percentage,Lithuania,0.1 u
Annual,Slept outside (public space),Males,Percentage,Luxembourg,5.4
Annual,Slept outside (public space),Males,Percentage,Latvia,4.9
Annual,Slept outside (public space),Males,Percentage,Malta,4.4
Annual,Slept outside (public space),Males,Percentage,Netherlands,5.2
Annual,Slept outside (public space),Males,Percentage,Norway,10.5
Annual,Slept outside (public space),Males,Percentage,Poland,4.4 u
Annual,Slept outside (public space),Males,Percentage,Portugal,12.3
Annual,Slept outside (public space),Males,Percentage,Romania,4.8
Annual,Slept outside (public space),Males,Percentage,Sweden,6.3
Annual,Slept outside (public space),Males,Percentage,Slovenia,3.1
Annual,Slept outside (public space),Males,Percentage,Slovakia,1.1
Annual,Slept outside (public space),Total,Percentage,Austria,6.5
Annual,Slept outside (public space),Total,Percentage,Belgium,4.0
Annual,Slept outside (public space),Total,Percentage,Bulgaria,0.9
Annual,Slept outside (public space),Total,Percentage,Cyprus,2.4
Annual,Slept outside (public space),Total,Percentage,Czechia,2.6
Annual,Slept outside (public space),Total,Percentage,Germany,3.1
Annual,Slept outside (public space),Total,Percentage,Denmark,1.9
Annual,Slept outside (public space),Total,Percentage,Euro area – 20 countries (from 2023),4.3
Annual,Slept outside (public space),Total,Percentage,Estonia,4.1
Annual,Slept outside (public space),Total,Percentage,Greece,1.1
Annual,Slept outside (public space),Total,Percentage,Spain,2.3
Annual,Slept outside (public space),Total,Percentage,European Union - 27 countries (from 2020),4.2
Annual,Slept outside (public space),Total,Percentage,Finland,1.2
Annual,Slept outside (public space),Total,Percentage,France,7.6
Annual,Slept outside (public space),Total,Percentage,Croatia,1.3 u
Annual,Slept outside (public space),Total,Percentage,Hungary,4.2
Annual,Slept outside (public space),Total,Percentage,Ireland,6.3 u
Annual,Slept outside (public space),Total,Percentage,Italy,1.3
Annual,Slept outside (public space),Total,Percentage,Lithuania,0.4 u
Annual,Slept outside (public space),Total,Percentage,Luxembourg,4.8
Annual,Slept outside (public space),Total,Percentage,Latvia,3.8
Annual,Slept outside (public space),Total,Percentage,Malta,2.3
Annual,Slept outside (public space),Total,Percentage,Netherlands,3.3
Annual,Slept outside (public space),Total,Percentage,Norway,6.8
Annual,Slept outside (public space),Total,Percentage,Poland,2.5 u
Annual,Slept outside (public space),Total,Percentage,Portugal,7.0
Annual,Slept outside (public space),Total,Percentage,Romania,4.3
Annual,Slept outside (public space),Total,Percentage,Sweden,4.4
Annual,Slept outside (public space),Total,Percentage,Slovenia,3.5
Annual,Slept outside (public space),Total,Percentage,Slovakia,0.5
Annual,Stayed in emergency accommodation,Females,Percentage,Austria,24.0
Annual,Stayed in emergency accommodation,Females,Percentage,Belgium,27.4
Annual,Stayed in emergency accommodation,Females,Percentage,Bulgaria,1.7
