Time frequency,Statistical information,Unit of measure,Geopolitical entity (reporting)\Time,2021.0
Annual,Average,Number,Austria,4.5
Annual,Average,Number,Belgium,5.5
Annual,Average,Number,Bulgaria,8.4
Annual,Average,Number,Switzerland,4.0
Annual,Average,Number,Cyprus,4.8
Annual,Average,Number,Czechia,5.4
Annual,Average,Number,Germany,4.3
Annual,Average,Number,Denmark,5.7
Annual,Average,Number,Estonia,4.3
Annual,Average,Number,Greece,5.2
Annual,Average,Number,Spain,5.5
Annual,Average,Number,European Union - 27 countries (from 2020),5.9
Annual,Average,Number,Finland,3.7
Annual,Average,Number,France,4.6
Annual,Average,Number,Croatia,5.7
Annual,Average,Number,Hungary,7.4
Annual,Average,Number,Ireland,5.2
Annual,Average,Number,Italy,5.9
Annual,Average,Number,Lithuania,5.4
Annual,Average,Number,Luxembourg,5.2
Annual,Average,Number,Latvia,5.5
Annual,Average,Number,Malta,5.8
Annual,Average,Number,Netherlands,4.9
Annual,Average,Number,Poland,5.2
Annual,Average,Number,Portugal,4.4
Annual,Average,Number,Romania,8.7
Annual,Average,Number,Sweden,4.7
Annual,Average,Number,Slovenia,4.7
Annual,Average,Number,Slovakia,7.6
