Time frequency,Unit of measure,Seasonal adjustment,Indicator,Geopolitical entity (reporting)\Time,Janvier 2024,Février 2024,Mars 2024,Avril 2024,Mai 2024,Juin 2024,Juillet 2024,Août 2024,Septembre 2024,Octobre 2024,Novembre 2024,Décembre 2024
Monthly,Balance,"Seasonally adjusted data, not calendar adjusted data",Employment expectations over the next 3 months - construction,Albania,10.5,19.7,16.0,15.6,15.8,17.1,16.6,16.1,16.8,13.5,16.9,13.1
Monthly,Balance,"Seasonally adjusted data, not calendar adjusted data",Employment expectations over the next 3 months - construction,Austria,-13.9,-11.6,-11.5,-7.0,-5.2,-5.1,-8.0,-7.7,-3.5,-7.2,2.4,-7.5
Monthly,Balance,"Seasonally adjusted data, not calendar adjusted data",Employment expectations over the next 3 months - construction,Belgium,-5.9,1.3,-0.5,3.1,6.7,1.4,-2.2,-4.1,1.2,6.1,6.3,5.5
Monthly,Balance,"Seasonally adjusted data, not calendar adjusted data",Employment expectations over the next 3 months - construction,Bulgaria,15.2,11.9,9.5,8.5,4.1,7.1,7.0,6.6,15.3,9.9,11.4,15.6
Monthly,Balance,"Seasonally adjusted data, not calendar adjusted data",Employment expectations over the next 3 months - construction,Cyprus,4.4,7.8,5.4,7.9,3.6,-0.4,10.2,12.5,7.7,10.3,12.0,2.0
Monthly,Balance,"Seasonally adjusted data, not calendar adjusted data",Employment expectations over the next 3 months - construction,Czechia,1.9,-1.1,-3.7,-7.6,-7.7,-7.5,-2.9,-5.3,-1.4,0.2,7.9,8.3
Monthly,Balance,"Seasonally adjusted data, not calendar adjusted data",Employment expectations over the next 3 months - construction,Germany,-6.6,-7.4,-7.1,-5.0,-6.0,-4.9,-2.1,-1.1,-1.0,-1.3,-1.4,-1.8
Monthly,Balance,"Seasonally adjusted data, not calendar adjusted data",Employment expectations over the next 3 months - construction,Denmark,-5.8,-0.5,-6.5,-1.7,-2.6,-2.7,-0.1,-0.3,-0.3,0.6,2.1,4.8
Monthly,Balance,"Seasonally adjusted data, not calendar adjusted data",Employment expectations over the next 3 months - construction,Euro area – 20 countries (from 2023),2.2,1.3,2.1,2.6,3.0,1.4,3.2,3.5,4.3,5.0,4.5,3.4
Monthly,Balance,"Seasonally adjusted data, not calendar adjusted data",Employment expectations over the next 3 months - construction,Estonia,-7.9,-12.8,-1.3,-9.0,-5.8,-4.5,-8.3,-2.7,-7.7,-12.3,-9.7,-11.3
Monthly,Balance,"Seasonally adjusted data, not calendar adjusted data",Employment expectations over the next 3 months - construction,Greece,33.5,22.5,22.6,21.9,26.6,40.6,27.0,30.2,29.2,27.6,14.0,36.3
Monthly,Balance,"Seasonally adjusted data, not calendar adjusted data",Employment expectations over the next 3 months - construction,Spain,-1.8,9.0,11.1,21.7,23.0,-11.3,11.3,6.8,2.6,17.7,6.0,-1.8
Monthly,Balance,"Seasonally adjusted data, not calendar adjusted data",Employment expectations over the next 3 months - construction,European Union - 27 countries (from 2020),0.3,-0.2,0.3,1.5,1.7,-0.1,2.6,2.3,2.6,4.2,2.9,1.8
Monthly,Balance,"Seasonally adjusted data, not calendar adjusted data",Employment expectations over the next 3 months - construction,Finland,-24.6,-32.2,-30.0,-20.7,-28.1,-21.9,-20.0,-23.6,-26.0,-21.3,-19.4,-28.6
Monthly,Balance,"Seasonally adjusted data, not calendar adjusted data",Employment expectations over the next 3 months - construction,France,6.9,6.4,5.1,4.8,3.1,3.6,2.3,2.4,2.8,3.0,3.0,0.8
Monthly,Balance,"Seasonally adjusted data, not calendar adjusted data",Employment expectations over the next 3 months - construction,Croatia,31.2,20.5,23.4,22.9,20.2,17.8,24.4,17.3,23.4,25.8,17.7,29.3
