Time frequency,Unit of measure,Individual type,Information society indicator,Geopolitical entity (reporting)\Time,2019.0
Annual,Percentage of individuals,All individuals,"Individuals who make back-up copies of their files on any external storage device or to internet storage space, automatically or manually",Albania,13.11
Annual,Percentage of individuals,All individuals,"Individuals who make back-up copies of their files on any external storage device or to internet storage space, automatically or manually",Austria,57.38
Annual,Percentage of individuals,All individuals,"Individuals who make back-up copies of their files on any external storage device or to internet storage space, automatically or manually",Bosnia and Herzegovina,9.75
Annual,Percentage of individuals,All individuals,"Individuals who make back-up copies of their files on any external storage device or to internet storage space, automatically or manually",Belgium,58.32
Annual,Percentage of individuals,All individuals,"Individuals who make back-up copies of their files on any external storage device or to internet storage space, automatically or manually",Bulgaria,26.22
Annual,Percentage of individuals,All individuals,"Individuals who make back-up copies of their files on any external storage device or to internet storage space, automatically or manually",Switzerland,53.83
Annual,Percentage of individuals,All individuals,"Individuals who make back-up copies of their files on any external storage device or to internet storage space, automatically or manually",Cyprus,48.84
Annual,Percentage of individuals,All individuals,"Individuals who make back-up copies of their files on any external storage device or to internet storage space, automatically or manually",Czechia,48.63
Annual,Percentage of individuals,All individuals,"Individuals who make back-up copies of their files on any external storage device or to internet storage space, automatically or manually",Germany,58.95
Annual,Percentage of individuals,All individuals,"Individuals who make back-up copies of their files on any external storage device or to internet storage space, automatically or manually",Denmark,64.72
Annual,Percentage of individuals,All individuals,"Individuals who make back-up copies of their files on any external storage device or to internet storage space, automatically or manually","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",49.53
Annual,Percentage of individuals,All individuals,"Individuals who make back-up copies of their files on any external storage device or to internet storage space, automatically or manually",Estonia,48.64
Annual,Percentage of individuals,All individuals,"Individuals who make back-up copies of their files on any external storage device or to internet storage space, automatically or manually",Greece,34.66
Annual,Percentage of individuals,All individuals,"Individuals who make back-up copies of their files on any external storage device or to internet storage space, automatically or manually",Spain,51.52
Annual,Percentage of individuals,All individuals,"Individuals who make back-up copies of their files on any external storage device or to internet storage space, automatically or manually",European Union - 27 countries (from 2020),46.66
Annual,Percentage of individuals,All individuals,"Individuals who make back-up copies of their files on any external storage device or to internet storage space, automatically or manually",European Union - 28 countries (2013-2020),48.38
Annual,Percentage of individuals,All individuals,"Individuals who make back-up copies of their files on any external storage device or to internet storage space, automatically or manually",Finland,53.35
Annual,Percentage of individuals,All individuals,"Individuals who make back-up copies of their files on any external storage device or to internet storage space, automatically or manually",France,47.67
Annual,Percentage of individuals,All individuals,"Individuals who make back-up copies of their files on any external storage device or to internet storage space, automatically or manually",Croatia,29.03
Annual,Percentage of individuals,All individuals,"Individuals who make back-up copies of their files on any external storage device or to internet storage space, automatically or manually",Hungary,34.5
Annual,Percentage of individuals,All individuals,"Individuals who make back-up copies of their files on any external storage device or to internet storage space, automatically or manually",Ireland,49.44
Annual,Percentage of individuals,All individuals,"Individuals who make back-up copies of their files on any external storage device or to internet storage space, automatically or manually",Iceland,71.84
Annual,Percentage of individuals,All individuals,"Individuals who make back-up copies of their files on any external storage device or to internet storage space, automatically or manually",Italy,33.18
Annual,Percentage of individuals,All individuals,"Individuals who make back-up copies of their files on any external storage device or to internet storage space, automatically or manually",Lithuania,42.02
Annual,Percentage of individuals,All individuals,"Individuals who make back-up copies of their files on any external storage device or to internet storage space, automatically or manually",Luxembourg,57.66
Annual,Percentage of individuals,All individuals,"Individuals who make back-up copies of their files on any external storage device or to internet storage space, automatically or manually",Latvia,42.51
Annual,Percentage of individuals,All individuals,"Individuals who make back-up copies of their files on any external storage device or to internet storage space, automatically or manually",Montenegro,17.62
Annual,Percentage of individuals,All individuals,"Individuals who make back-up copies of their files on any external storage device or to internet storage space, automatically or manually",North Macedonia,25.58
Annual,Percentage of individuals,All individuals,"Individuals who make back-up copies of their files on any external storage device or to internet storage space, automatically or manually",Malta,51.24
Annual,Percentage of individuals,All individuals,"Individuals who make back-up copies of their files on any external storage device or to internet storage space, automatically or manually",Netherlands,72.2
Annual,Percentage of individuals,All individuals,"Individuals who make back-up copies of their files on any external storage device or to internet storage space, automatically or manually",Norway,66.49
Annual,Percentage of individuals,All individuals,"Individuals who make back-up copies of their files on any external storage device or to internet storage space, automatically or manually",Poland,35.97
Annual,Percentage of individuals,All individuals,"Individuals who make back-up copies of their files on any external storage device or to internet storage space, automatically or manually",Portugal,38.82
Annual,Percentage of individuals,All individuals,"Individuals who make back-up copies of their files on any external storage device or to internet storage space, automatically or manually",Romania,20.96
Annual,Percentage of individuals,All individuals,"Individuals who make back-up copies of their files on any external storage device or to internet storage space, automatically or manually",Serbia,33.2
Annual,Percentage of individuals,All individuals,"Individuals who make back-up copies of their files on any external storage device or to internet storage space, automatically or manually",Sweden,63.91
Annual,Percentage of individuals,All individuals,"Individuals who make back-up copies of their files on any external storage device or to internet storage space, automatically or manually",Slovenia,43.47
Annual,Percentage of individuals,All individuals,"Individuals who make back-up copies of their files on any external storage device or to internet storage space, automatically or manually",Slovakia,42.24
Annual,Percentage of individuals,All individuals,"Individuals who make back-up copies of their files on any external storage device or to internet storage space, automatically or manually",Türkiye,20.11
Annual,Percentage of individuals,All individuals,"Individuals who make back-up copies of their files on any external storage device or to internet storage space, automatically or manually",United Kingdom,60.25
Annual,Percentage of individuals,All individuals,"Individuals who make back-up copies of their files on any external storage device or to internet storage space, automatically or manually",Kosovo*,35.67
