Time frequency,Unit of measure,Maritime entity (reporting)\Time,Janvier-Mars 2005,Avril-Juin 2005,Jullet-Septembre 2005,Octobre-Décembre 2005,Janvier-Mars 2006,Avril-Juin 2006,Jullet-Septembre 2006,Octobre-Décembre 2006,Janvier-Mars 2007,Avril-Juin 2007,Jullet-Septembre 2007,Octobre-Décembre 2007,Janvier-Mars 2008,Avril-Juin 2008,Jullet-Septembre 2008,Octobre-Décembre 2008,Janvier-Mars 2009,Avril-Juin 2009,Jullet-Septembre 2009,Octobre-Décembre 2009,Janvier-Mars 2010,Avril-Juin 2010,Jullet-Septembre 2010,Octobre-Décembre 2010,Janvier-Mars 2011,Avril-Juin 2011,Jullet-Septembre 2011,Octobre-Décembre 2011,Janvier-Mars 2012,Avril-Juin 2012,Jullet-Septembre 2012,Octobre-Décembre 2012,Janvier-Mars 2013,Avril-Juin 2013,Jullet-Septembre 2013,Octobre-Décembre 2013,Janvier-Mars 2014,Avril-Juin 2014,Jullet-Septembre 2014,Octobre-Décembre 2014,Janvier-Mars 2015,Avril-Juin 2015,Jullet-Septembre 2015,Octobre-Décembre 2015,Janvier-Mars 2016,Avril-Juin 2016,Jullet-Septembre 2016,Octobre-Décembre 2016,Janvier-Mars 2017,Avril-Juin 2017,Jullet-Septembre 2017,Octobre-Décembre 2017,Janvier-Mars 2018,Avril-Juin 2018,Jullet-Septembre 2018,Octobre-Décembre 2018,Janvier-Mars 2019,Avril-Juin 2019,Jullet-Septembre 2019,Octobre-Décembre 2019,Janvier-Mars 2020,Avril-Juin 2020,Jullet-Septembre 2020,Octobre-Décembre 2020,Janvier-Mars 2021,Avril-Juin 2021,Jullet-Septembre 2021,Octobre-Décembre 2021,Janvier-Mars 2022,Avril-Juin 2022,Jullet-Septembre 2022,Octobre-Décembre 2022,Janvier-Mars 2023,Avril-Juin 2023,Jullet-Septembre 2023,Octobre-Décembre 2023,Janvier-Mars 2024
Quarterly,Growth rate on previous period (t/t-1),Antwerp-Bruges,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,2.4,-5.2,-2.4,-1.5,4.6,-6.0,0.5,11.0
Quarterly,Growth rate on previous period (t/t-1),Antwerpen,:,7.9,1.5,-2.0,0.3,12.9,-6.6,4.4,9.4,6.8,-0.7,0.6,1.8,14.5,-6.9,-10.5,-13.3,13.0,-3.7,4.6,6.7,11.2,-4.3,-1.8,3.8,2.7,-2.6,-2.9,6.2,-6.8,-0.4,0.8,-1.0,4.7,-5.8,4.6,2.6,5.0,0.3,-0.8,4.9,2.6,-5.3,3.7,2.8,6.5,-3.4,1.9,-4.3,4.0,-2.2,0.7,5.6,4.3,-5.3,0.1,2.2,10.7,-3.7,-0.4,4.3,-8.6,3.7,5.6,0.3,-0.9,-7.0,-2.5,:,:,:,:,:,:,:,:,:
Quarterly,Growth rate on previous period (t/t-1),Bremerhaven,:,9.1,-8.7,6.1,7.8,13.8,-1.1,1.1,1.0,6.5,-0.7,-2.3,7.2,10.2,2.2,-11.0,-20.8,22.9,1.8,7.0,-8.5,11.6,-9.4,5.1,9.6,15.6,-5.3,-0.4,11.6,-2.1,-6.9,-10.3,3.5,8.1,-4.6,-6.3,3.1,-0.1,2.4,-4.7,-2.6,-4.7,2.7,-4.5,6.9,6.4,-0.2,-10.5,2.7,-8.4,8.2,3.3,2.1,-2.0,-0.3,0.1,-5.6,3.5,-6.8,-4.9,9.2,-3.8,-5.8,9.8,2.7,-6.7,-1.9,2.1,3.4,-13.2,-2.9,-0.9,-8.6,4.4,2.4,11.5,1.0
Quarterly,Growth rate on previous period (t/t-1),Hamburg,:,6.4,2.2,4.0,-1.6,2.6,-0.5,4.4,-1.6,5.7,0.4,-3.3,2.3,6.3,-4.5,-15.2,-15.2,5.1,-3.4,-1.2,2.2,9.8,6.2,-1.4,3.4,9.1,4.8,-2.2,-1.6,-1.0,0.3,-3.5,3.8,7.2,0.8,-2.6,4.5,6.7,-2.0,-8.3,-1.9,-1.4,-2.0,-3.6,4.4,2.7,-1.5,-0.6,0.0,1.2,0.3,-8.1,3.5,3.9,-2.8,-0.1,5.6,2.5,-2.5,-4.5,-1.0,-11.1,11.9,1.9,-2.4,-2.0,0.6,3.1,-2.0,-2.6,-5.8,-6.5,-0.4,7.0,-1.9,-3.8,1.1
Quarterly,Growth rate on previous period (t/t-1),Peiraias,:,-23.4,2.2,4.8,-0.3,26.0,6.7,-50.9,-6.8,48.0,16.5,9.7,-85.8,25.8,34.0,-2.2,-7.0,47.3,33.4,-11.9,15.7,1.9,27.5,13.4,35.7,31.4,18.6,15.5,27.4,7.4,-14.4,11.5,-2.9,15.8,-1.5,18.7,-14.7,10.4,-6.1,1.0,-8.3,0.3,-2.1,2.8,-6.9,16.8,3.3,-4.5,0.8,13.1,-5.4,5.9,-1.0,12.9,-1.0,0.6,2.0,8.8,-3.1,5.9,-7.0,-3.4,-3.2,-5.5,-9.2,14.1,-7.9,-12.1,-6.3,9.5,-3.0,5.6,-4.6,14.7,-7.6,2.7,-16.1
Quarterly,Growth rate on previous period (t/t-1),Algeciras,:,1.3,3.1,-7.4,0.8,16.5,8.6,-4.5,-3.6,7.2,4.4,2.2,-1.5,-0.4,-5.3,-1.7,-20.9,10.3,10.2,-1.4,-1.6,8.2,-27.5,9.2,4.9,23.4,6.6,44.1,-18.2,0.3,1.4,-5.2,-8.1,14.1,6.0,-33.9,47.6,2.1,-9.7,4.7,-6.4,7.0,8.6,1.8,-0.8,3.9,-1.1,0.6,-16.0,15.4,3.3,0.8,-3.5,6.7,-2.9,-3.6,5.6,8.7,-5.8,-1.0,0.7,2.3,4.6,-2.9,-12.3,3.4,-1.5,-3.5,-5.6,4.4,3.0,-3.8,-3.9,7.9,-0.7,-1.7,-1.3
Quarterly,Growth rate on previous period (t/t-1),Valencia,:,16.6,-2.9,0.6,-4.2,11.9,-3.0,2.6,12.2,1.8,-1.0,-1.1,10.6,16.4,12.2,-10.8,-7.5,18.8,-4.7,0.4,-3.9,16.4,6.5,4.8,-17.4,15.9,7.1,-6.6,-5.6,8.3,-0.3,0.1,-4.1,2.5,-9.1,1.4,-6.4,14.5,-7.7,6.0,0.1,10.8,-8.2,-1.1,3.4,4.8,-5.1,4.6,-4.5,13.1,-2.0,-6.5,-2.5,14.0,-6.7,6.8,-1.4,8.5,-6.1,-5.8,3.0,-0.8,12.0,9.5,-10.7,4.0,-6.0,0.7,-10.2,13.3,-13.1,-15.4,4.5,16.3,-9.3,6.4,-1.5
Quarterly,Growth rate on previous period (t/t-1),Gioia Tauro,:,-2.8,-2.8,-8.1,-6.7,10.6,9.5,-4.4,8.7,-4.3,4.1,-16.9,2.0,18.8,1.5,6.6,29.9,-2.5,-44.3,4.0,29.3,9.7,-3.1,-8.7,7.1,-14.7,-29.1,6.9,3.9,22.1,0.5,-2.1,3.7,-5.1,-3.1,-5.5,-1.5,20.8,-5.9,-16.4,11.1,10.6,-19.6,6.5,-15.3,79.4,-49.1,50.2,-19.8,0.5,-20.2,39.9,-8.6,26.8,-3.4,-10.3,-48.0,19.3,16.1,30.0,-4.6,-3.6,-12.7,29.4,-23.7,29.2,6.7,-0.2,-13.4,23.6,-4.1,-10.7,-20.4,-41.7,19.9,-7.3,48.9
Quarterly,Growth rate on previous period (t/t-1),Rotterdam,:,6.9,-2.9,1.2,-0.5,1.3,2.3,5.0,-0.4,6.9,0.6,1.0,0.6,3.1,-1.4,-13.2,-7.3,16.7,1.9,5.4,-5.4,7.4,-0.7,-0.9,13.6,6.8,0.8,-6.2,0.0,8.6,-4.2,-3.9,0.6,4.4,-2.3,-6.2,9.6,5.1,-2.7,-2.8,2.8,1.8,-4.1,-2.7,2.8,3.7,-3.6,3.2,6.3,5.4,0.9,1.3,-1.0,2.9,-0.5,2.6,-0.9,1.9,-2.1,1.4,-6.2,-3.4,2.7,1.6,-1.5,5.7,-3.4,-4.3,-5.6,-1.4,0.7,-8.6,-2.2,4.3,1.6,-3.8,1.7
Quarterly,Rolling 4-quarter growth rate,Antwerp-Bruges,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,-4.9,-0.9
Quarterly,Rolling 4-quarter growth rate,Antwerpen,:,:,:,:,:,:,:,8.6,11.8,12.2,16.5,18.0,14.9,15.5,12.6,7.8,1.2,-7.9,-13.7,-13.5,-5.3,4.7,14.2,17.6,14.3,9.1,5.2,2.7,1.5,-0.2,-1.7,-2.1,-4.7,-2.2,-1.5,-0.8,2.6,3.2,6.8,8.0,8.9,9.1,6.2,5.8,4.4,4.5,6.6,7.1,6.2,3.7,1.2,-1.1,0.8,3.4,4.9,6.6,4.8,4.5,5.5,6.4,8.8,4.5,1.8,1.0,-1.4,2.9,2.7,-1.0,:,:,:,:,:,:,:,:,:
Quarterly,Rolling 4-quarter growth rate,Bremerhaven,:,:,:,:,:,:,:,21.1,21.1,17.7,12.8,8.5,7.6,9.5,12.1,12.8,4.6,-2.2,-9.5,-9.6,-0.5,5.5,9.0,6.5,5.8,8.4,14.9,20.7,22.0,16.7,10.7,4.0,-5.1,-7.6,-8.9,-7.0,-3.0,-3.3,-2.5,-2.4,-3.5,-3.8,-5.8,-8.1,-7.0,-2.0,2.6,5.4,4.7,-2.5,-6.8,-5.9,-4.3,2.6,6.0,4.7,1.5,-1.8,-4.7,-8.1,-6.2,-7.4,-6.6,-1.2,-0.7,0.9,3.2,0.1,-1.4,-3.7,-7.0,-9.4,-14.7,-14.4,-12.7,-7.4,4.0
Quarterly,Rolling 4-quarter growth rate,Hamburg,:,:,:,:,:,:,:,6.9,5.4,5.6,6.8,5.7,5.8,5.2,3.0,-0.2,-8.2,-16.8,-23.6,-24.6,-18.6,-9.8,2.4,11.1,15.1,18.0,17.6,17.1,14.9,10.1,4.7,-0.4,-2.8,-0.8,2.4,6.1,8.7,9.2,8.7,6.5,2.6,-3.3,-8.1,-10.2,-9.6,-6.1,-2.2,1.2,2.0,1.5,1.3,-1.6,-2.5,-2.5,-3.8,-1.1,1.4,2.9,5.4,4.5,1.4,-4.6,-7.3,-7.4,-6.4,0.2,1.4,1.1,1.2,-1.1,-2.4,-6.2,-9.8,-11.0,-9.9,-5.8,-1.6
