Time frequency,Statistical information,Unit of measure,Geopolitical entity (reporting)\Time,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Three-year average,"Percentage change, real values",Austria,:,:,:,0.51,0.3,0.68,0.22,0.88,0.07,0.89,0.68,0.63,-0.7,-0.51,-0.07,0.52,2.53,2.26,1.76,-0.1,0.38,0.26,-0.68,-1.06
Annual,Three-year average,"Percentage change, real values",Belgium,:,:,:,1.81,1.51,0.64,0.62,0.36,0.35,1.5,1.29,1.04,-0.14,-0.13,0.16,0.05,0.23,0.25,0.64,1.12,1.3,0.42,-1.47,0.1
Annual,Three-year average,"Percentage change, real values",Bulgaria,:,:,:,:,:,:,:,:,:,:,:,6.14,3.79,3.73,5.52,7.27,8.72,8.81,7.03,6.92,6.6,7.78,5.5,3.89
Annual,Three-year average,"Percentage change, real values",Switzerland,:,:,:,:,:,:,:,:,0.22,0.55,0.06,0.89,2.18,2.25,0.92,-0.69,0.11,1.22,1.04,0.29,1.16,2.27,1.93,0.75
Annual,Three-year average,"Percentage change, real values",Cyprus,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1.32,0.95,-0.6,-0.66
Annual,Three-year average,"Percentage change, real values",Czechia,:,:,:,4.4,4.34,3.49,4.26,4.36,3.89,3.21,2.15,1.64,-0.19,-0.86,-0.09,1.09,2.66,3.18,3.78,4.03,2.67,3.98,0.49,-0.48
Annual,Three-year average,"Percentage change, real values",Germany,:,:,:,1.08,1.13,0.72,0.4,-0.23,-0.09,0.25,1.68,1.76,1.9,0.22,0.64,1.03,1.56,1.03,0.98,1.12,0.83,0.95,-0.91,0.81
Annual,Three-year average,"Percentage change, real values",Denmark,:,:,:,2.03,2.1,1.21,1.31,1.19,1.44,2.15,2.04,1.87,0.37,-0.24,0.1,0.75,0.86,0.67,1.1,1.44,1.89,1.37,-0.8,-1.33
Annual,Three-year average,"Percentage change, real values",Euro area - 19 countries  (2015-2022),:,:,:,:,:,:,:,:,0.87,0.95,1.04,0.59,-0.04,-0.63,0.06,0.87,1.33,0.81,0.44,0.58,0.65,0.91,-0.74,:
Annual,Three-year average,"Percentage change, real values",Euro area – 20 countries (from 2023),:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1.34,0.83,0.45,0.59,0.68,0.94,-0.72,-0.19
