Time frequency,Waste categories,Unit of measure,Geopolitical entity (reporting)\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Packaging,Rate,Austria,65.8,65.9,66.6,66.6,67.1,66.8,65.6,65.5,65.4,63.7,65.8,66.2
Annual,Packaging,Rate,Belgium,80.2,80.3,78.7,81.3,81.5,81.9,83.8,85.3,83.5,79.7,80.4,80.4
Annual,Packaging,Rate,Bulgaria,65.1,66.5,65.7,62.0,64.1,63.8,65.6,60.4,61.2,:,57.9,58.3
Annual,Packaging,Rate,Cyprus,52.0,55.3 e,56.6,58.7,59.8,64.6,66.2,70.2,66.8,59.9,63.5,69.5
Annual,Packaging,Rate,Czechia,69.7,69.9,69.9,73.0,74.3,75.3,72.3,69.6,71.2,67.9 d,69.1 d,:
Annual,Packaging,Rate,Germany,71.8,71.3,71.8,71.4,69.3,70.7,69.9,68.5,64 b,68.1,67.9,68.5
Annual,Packaging,Rate,Denmark,54.3 be,61.6 e,69.8,69.8,73.9,79.0,71.5,70.1,69.3,64.0,64.7,64.9
Annual,Packaging,Rate,Estonia,62.9,61.3,58.4,60.3,59.0,56.0,53.5,60.4,66.2 b,71.4,70.4,73.0
Annual,Packaging,Rate,Greece,62.1 e,58.6,52.4,53.8,60.3,66.1,68.6,63.6 e,60.1 e,:,54.1,43.4
Annual,Packaging,Rate,Spain,63.9,65.5,66.6,68.7,68.4,70.3,68.5,68.8,69.6,68.3,69.6,69.4
Annual,Packaging,Rate,European Union - 27 countries (from 2020),64.2 i,65.2,65.4,66.5,66.6,67.6,67.5,65.6,64.8,64.0,64.0,65.4 i
Annual,Packaging,Rate,Finland,58.7,59.3,58.0,57.4,60.9,64.7,65.2,70.2,70.6,73.2,72.5,73.5
Annual,Packaging,Rate,France,61.3,64.9,66.4,65.2,65.5,66.0,68.1,63.5,65.6,60.3,62.2,67.2
Annual,Packaging,Rate,Croatia,:,59.7,58.8,52.7,60.1,54.7,53.3,58.4,48.9,54.2,50.8,52.4
Annual,Packaging,Rate,Hungary,59.3,48.5,49.2,48.4,50.1,49.7,49.7,46.1,47.0,52.4,47.0,44.6
Annual,Packaging,Rate,Ireland,70.9,74.0,70.2,68.3,67.5,67.0,65.6,63.9,62.5,62.4,59.3,61.7
Annual,Packaging,Rate,Iceland,44.0,40.7,42.9,42.8,47.4,47.2,44.4,51.2,46.3,57 d,49.8 d,42.1 d
Annual,Packaging,Rate,Italy,64.5,66.6,66.7,65.4,66.8,66.9,67.1,68.3,69.6,72.8,72.9,71.9
Annual,Packaging,Rate,Liechtenstein,48.7,44.3,50.3,51.9,66.1,65.8,66.7,68.0,70.0,72.1 d,72.2 d,:
Annual,Packaging,Rate,Lithuania,62.2,62.2,53.5,57.7,59.8,69.5,61.8,60.7,61.9,61.8 b,60.7,58.3
Annual,Packaging,Rate,Luxembourg,66.0,62.5,62.8,66.0,70.0,70.3,69.7,70.9,71.5,71.9,73.7,63.7
Annual,Packaging,Rate,Latvia,50.9,51.1,51.0,54.9,53.9,57.7,58.7,55.8,62.4,61.4,61.0,60.8
Annual,Packaging,Rate,Malta,42.3,46.6,38.1,41.1,37.1,39.7,35.6,35.7,33.7,40.0,37.7,31.8
Annual,Packaging,Rate,Netherlands,71.9,69.3,70.4,70.5,71.7,72.6,78.1,79.4,80.7,76.5,76.8,75.2
Annual,Packaging,Rate,Norway,57.5,55.9,54.5,55.7,55.1,56.3,54.5,52.9,53.9,52.5,56.9,63.1 b
Annual,Packaging,Rate,Poland,41.2,41.4,36.1,55.4,57.6,58.0,56.7,58.7,55.5,:,:,:
Annual,Packaging,Rate,Portugal,58.4,56.9,61.5,61.0,57.1,60.9,55.3 b,57.9,62.8,59.5,63.1,61.1
Annual,Packaging,Rate,Romania,50.0,56.8,52.8,54.8,55.9,60.4,60.4,57.9,44.6 b,39.9,38.3,:
