Time frequency,Unit of measure,Vehicles,Geopolitical entity (reporting)\Time,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0
Annual,Number,Lorries,Algeria,:,:,:,:,:,26402.0,26284.0,26284.0,26349.0,42755.0,:,58182.0,61056.0,72930.0,69658.0,62481.0
Annual,Number,Lorries,Egypt,:,:,:,:,:,:,:,:,:,:,:,:,:,:,59991.0,90343.0
Annual,Number,Lorries,Israel,34082.0,33291.0,28191.0,25885.0,29276.0,27639.0,25688.0,24873.0,21457.0,19513.0,22817.0,28020.0,23867.0,23702.0,23843.0,26685.0
Annual,Number,Lorries,Jordan,2200.0,9340.0,3359.0,2581.0,3907.0,6692.0,6901.0,6315.0,4034.0,2519.0,3625.0,2719.0,2927.0,3405.0,5283.0,7425.0
Annual,Number,Lorries,Lebanon,775 d,5499 d,7793 d,7406 d,7410 d,1448 d,7499 d,9401 d,9951 d,14175 d,14572 d,9485 d,9809 d,9115 d,9573 d,:
Annual,Number,Lorries,Morocco,11498.0,10991.0,11271.0,13028.0,20741.0,22044.0,26502.0,33703.0,39863.0,46682.0,40389.0,40811.0,39218.0,37815.0,32800.0,34278 p
Annual,Number,Lorries,Tunisia,:,:,6522.0,6739.0,6271.0,5352.0,6631.0,7283.0,7644.0,9544.0,11914.0,10214.0,10196.0,9999.0,:,:
Annual,Number,Road tractors,Algeria,:,:,:,:,:,1157.0,2461.0,1855.0,2374.0,3184.0,:,2055.0,2307.0,2318.0,2432.0,2076.0
Annual,Number,Road tractors,Israel,452.0,470.0,271.0,276.0,377.0,611.0,478.0,604.0,643.0,427.0,525.0,538.0,555.0,819.0,763.0,822.0
Annual,Number,Road tractors,Jordan,596.0,823.0,432.0,646.0,1148.0,2117.0,1912.0,780.0,2012.0,457.0,751.0,253.0,597.0,656.0,815.0,823.0
Annual,Number,Road tractors,Morocco,688.0,981.0,798.0,741.0,737.0,955.0,1305.0,1977.0,2077.0,2260.0,1674.0,2271.0,2106.0,1932.0,1632.0,2021 p
Annual,Number,Road tractors,Palestine*,17 d,6 d,14 d,19 d,5 d,36 d,18 d,59 d,4 d,51 d,40 d,31 d,26 d,0 d,63 d,:
Annual,Number,Road tractors,Tunisia,:,:,355.0,311.0,409.0,265.0,345.0,512.0,634.0,711.0,970.0,780.0,878.0,522.0,:,:
Annual,Number,Goods road vehicles,Algeria,:,:,:,:,:,29288.0,49330.0,30246.0,31512.0,49797.0,:,63003.0,66371.0,78835.0,76849.0,69735.0
Annual,Number,Goods road vehicles,Egypt,:,:,:,:,:,:,:,:,:,:,:,:,:,:,62527.0,95281.0
Annual,Number,Goods road vehicles,Israel,34534.0,33761.0,28462.0,26161.0,29653.0,28250.0,26166.0,25477.0,22100.0,19940.0,23342.0,28558.0,24422.0,24521.0,24606.0,27507.0
Annual,Number,Goods road vehicles,Jordan,2796.0,10163.0,3791.0,3227.0,5055.0,8809.0,8813.0,7095.0,6046.0,2976.0,4376.0,2972.0,3524.0,5151.0,7124.0,8248.0
Annual,Number,Goods road vehicles,Lebanon,:,:,:,:,:,:,:,:,9951.0,14175.0,14572.0,9485.0,9809.0,9115.0,9573.0,:
Annual,Number,Goods road vehicles,Morocco,12186.0,11972.0,12069.0,13769.0,21478.0,22999.0,27807.0,35680.0,41940.0,48942.0,44249.0,45725.0,43866.0,41986.0,36248.0,36299 p
Annual,Number,Goods road vehicles,Palestine*,2082 d,680 d,692 d,1028 d,1448 d,2302 d,1277 d,1711 d,1514 d,1979 d,2392 d,1547 d,1779 d,1457 d,1521 d,:
Annual,Number,Goods road vehicles,Tunisia,:,:,6877.0,7050.0,6680.0,5617.0,6976.0,7795.0,8278.0,10255.0,12884.0,10994.0,11074.0,10521.0,:,:
