Time frequency,Size classes in number of persons employed,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2005.0,2010.0,2015.0,2020.0
Annual,From 10 to 49 persons employed,Females,Percentage,Austria,22.3,23.5,34.7,27.7
Annual,From 10 to 49 persons employed,Females,Percentage,Belgium,19.7,36.0,38.4,39.4
Annual,From 10 to 49 persons employed,Females,Percentage,Bulgaria,4.9,7.4,15.1,11.7
Annual,From 10 to 49 persons employed,Females,Percentage,Cyprus,18.5,25.5,21.2,24.9
Annual,From 10 to 49 persons employed,Females,Percentage,Czechia,36.7,41.4,76.7 b,73.2
Annual,From 10 to 49 persons employed,Females,Percentage,Germany,25.2,27.7,33.3,36.2
Annual,From 10 to 49 persons employed,Females,Percentage,Denmark,36.9,39.2,25.3,22.3
Annual,From 10 to 49 persons employed,Females,Percentage,Estonia,20.0,24.1,20.7,26.8
Annual,From 10 to 49 persons employed,Females,Percentage,Greece,5.7,5.7,4.5,6.5
Annual,From 10 to 49 persons employed,Females,Percentage,Spain,17.8,30.0,37.3,47.4
Annual,From 10 to 49 persons employed,Females,Percentage,European Union - 27 countries (from 2020),19.4,23.4,28.7,27.9
Annual,From 10 to 49 persons employed,Females,Percentage,European Union - 28 countries (2013-2020),20.4,23.1,28.5,:
Annual,From 10 to 49 persons employed,Females,Percentage,Finland,36.6,34.9,37.3,16.2
Annual,From 10 to 49 persons employed,Females,Percentage,France,30.1,28.3,27.4,24.0
Annual,From 10 to 49 persons employed,Females,Percentage,Croatia,:,20.4,17.2,11.8
Annual,From 10 to 49 persons employed,Females,Percentage,Hungary,7.8,11.2,8.7,8.2
Annual,From 10 to 49 persons employed,Females,Percentage,Ireland,22.9,:,32.6,21.4 u
Annual,From 10 to 49 persons employed,Females,Percentage,Italy,9.3,17.5,23.3,27.8
Annual,From 10 to 49 persons employed,Females,Percentage,Lithuania,7.6,11.5,15.7,13.7
Annual,From 10 to 49 persons employed,Females,Percentage,Luxembourg,38.1,31.0,40.0,40.0
Annual,From 10 to 49 persons employed,Females,Percentage,Latvia,9.1,14.1,14.8,17.2 u
Annual,From 10 to 49 persons employed,Females,Percentage,North Macedonia,:,:,19.0,16.1
Annual,From 10 to 49 persons employed,Females,Percentage,Malta,13.5,18.5,21.7,18.6
Annual,From 10 to 49 persons employed,Females,Percentage,Netherlands,19.5,30.8,30.9,25.1
Annual,From 10 to 49 persons employed,Females,Percentage,Norway,28.7,44.0,53.8,43.1 u
Annual,From 10 to 49 persons employed,Females,Percentage,Poland,7.5,8.5,15.3,14.0
Annual,From 10 to 49 persons employed,Females,Percentage,Portugal,14.7,25.0,31.2,26.7 u
Annual,From 10 to 49 persons employed,Females,Percentage,Romania,8.7,5.5,9.0,3.4
Annual,From 10 to 49 persons employed,Females,Percentage,Serbia,:,:,:,17.5
Annual,From 10 to 49 persons employed,Females,Percentage,Sweden,33.6,38.6,46.5 b,41.6 b
Annual,From 10 to 49 persons employed,Females,Percentage,Slovenia,31.7,27.5,47.8,33.1
Annual,From 10 to 49 persons employed,Females,Percentage,Slovakia,16.2,25.3,39.8,23.9
Annual,From 10 to 49 persons employed,Females,Percentage,United Kingdom,27.1,21.4,27.1,:
Annual,From 10 to 49 persons employed,Males,Percentage,Austria,25.1,28.4,35.7,28.0
Annual,From 10 to 49 persons employed,Males,Percentage,Belgium,18.2,33.7,43.2,42.7
Annual,From 10 to 49 persons employed,Males,Percentage,Bulgaria,7.5,9.3,16.2,13.1
Annual,From 10 to 49 persons employed,Males,Percentage,Cyprus,18.2,21.9,22.1,21.6
Annual,From 10 to 49 persons employed,Males,Percentage,Czechia,47.8,49.6,83.5 b,82.6
Annual,From 10 to 49 persons employed,Males,Percentage,Germany,24.2,28.2,31.1,29.8
Annual,From 10 to 49 persons employed,Males,Percentage,Denmark,27.7,33.1,25.5,19.5
Annual,From 10 to 49 persons employed,Males,Percentage,Estonia,18.4,20.1,21.5,21.5
Annual,From 10 to 49 persons employed,Males,Percentage,Greece,4.6,7.7,4.7,5.0
Annual,From 10 to 49 persons employed,Males,Percentage,Spain,17.6,37.9,39.8,41.5
Annual,From 10 to 49 persons employed,Males,Percentage,European Union - 27 countries (from 2020),19.5,25.7,30.7,27.2
Annual,From 10 to 49 persons employed,Males,Percentage,European Union - 28 countries (2013-2020),20.7,25.9,30.9,:
Annual,From 10 to 49 persons employed,Males,Percentage,Finland,26.8,30.5,37.8,17.6
Annual,From 10 to 49 persons employed,Males,Percentage,France,26.2,25.8,27.4,22.7
Annual,From 10 to 49 persons employed,Males,Percentage,Croatia,:,18.5,15.4,9.8
Annual,From 10 to 49 persons employed,Males,Percentage,Hungary,6.8,10.6,11.7,7.9
Annual,From 10 to 49 persons employed,Males,Percentage,Ireland,23.9,:,32.1,22.0 u
Annual,From 10 to 49 persons employed,Males,Percentage,Italy,12.2,23.0,30.9,31.6
Annual,From 10 to 49 persons employed,Males,Percentage,Lithuania,6.4,10.6,13.5,12.9
Annual,From 10 to 49 persons employed,Males,Percentage,Luxembourg,24.9,31.2,35.4,36.7
Annual,From 10 to 49 persons employed,Males,Percentage,Latvia,6.4,14.3,16.3,19.0
Annual,From 10 to 49 persons employed,Males,Percentage,North Macedonia,:,:,16.9,12.3
Annual,From 10 to 49 persons employed,Males,Percentage,Malta,9.1,12.9,17.0,14.2
